Country code,SR Code,SR label,SR level,Country order,#
IS,IS0,Ísland,1,1,1
IS,IS00,Ísland,2,1,2
IS,IS001,Höfuðborgarsvæði,3,1,3
IS,IS002,Landsbyggð,3,1,4
IS,ISZ,Extra-Regio level 1,1,1,5
IS,ISZZ,Extra-Regio level 2,2,1,6
IS,ISZZZ,Extra-Regio level 3,3,1,7
LI,LI0,Liechtenstein,1,2,8
LI,LI00,Liechtenstein,2,2,9
LI,LI000,Liechtenstein,3,2,10
LI,LIZ,Extra-Regio level 1,1,2,11
LI,LIZZ,Extra-Regio level 2,2,2,12
LI,LIZZZ,Extra-Regio level 3,3,2,13
NO,NO0,Norge,1,3,14
NO,NO02,Innlandet,2,3,15
NO,NO020,Innlandet,3,3,16
NO,NO06,Trøndelag/Trööndelage,2,3,17
NO,NO060,Trøndelag/Trööndelage,3,3,18
NO,NO07,Nord-Norge,2,3,19
NO,NO071,Nordland/Nordlánnda,3,3,20
NO,NO072,Troms/Romsa/Tromssa,3,3,21
NO,NO073,Finnmark/Finnmárku/Finmarkku,3,3,22
NO,NO08,Oslo og Viken,2,3,23
NO,NO081,Oslo,3,3,24
NO,NO083,Østfold,3,3,25
NO,NO084,Akershus,3,3,26
NO,NO085,Buskerud,3,3,27
NO,NO09,Agder og Sør-Østlandet,2,3,28
NO,NO092,Agder,3,3,29
NO,NO093,Vestfold,3,3,30
NO,NO094,Telemark,3,3,31
NO,NO0A,Vestlandet,2,3,32
NO,NO0A1,Rogaland,3,3,33
NO,NO0A2,Vestland,3,3,34
NO,NO0A3,Møre og Romsdal,3,3,35
NO,NO0B,Svalbard og Jan Mayen,2,3,36
NO,NO0B1,Jan Mayen,3,3,37
NO,NO0B2,Svalbard,3,3,38
NO,NOZ,Extra-Regio level 1,1,3,39
NO,NOZZ,Extra-Regio level 2,2,3,40
NO,NOZZZ,Extra-Regio level 3,3,3,41
CH,CH0,Schweiz/Suisse/Svizzera,1,4,42
CH,CH01,Région lémanique,2,4,43
CH,CH011,Vaud,3,4,44
CH,CH012,Valais / Wallis,3,4,45
CH,CH013,Genève,3,4,46
CH,CH02,Espace Mittelland,2,4,47
CH,CH021,Bern / Berne,3,4,48
CH,CH022,Fribourg / Freiburg,3,4,49
CH,CH023,Solothurn,3,4,50
CH,CH024,Neuchâtel,3,4,51
CH,CH025,Jura,3,4,52
CH,CH03,Nordwestschweiz,2,4,53
CH,CH031,Basel-Stadt,3,4,54
CH,CH032,Basel-Landschaft,3,4,55
CH,CH033,Aargau,3,4,56
CH,CH04,Zürich,2,4,57
CH,CH040,Zürich,3,4,58
CH,CH05,Ostschweiz,2,4,59
CH,CH051,Glarus,3,4,60
CH,CH052,Schaffhausen,3,4,61
CH,CH053,Appenzell Ausserrhoden,3,4,62
CH,CH054,Appenzell Innerrhoden,3,4,63
CH,CH055,St. Gallen,3,4,64
CH,CH056,Graubünden / Grigioni / Grischun,3,4,65
CH,CH057,Thurgau,3,4,66
CH,CH06,Zentralschweiz,2,4,67
CH,CH061,Luzern,3,4,68
CH,CH062,Uri,3,4,69
CH,CH063,Schwyz,3,4,70
CH,CH064,Obwalden,3,4,71
CH,CH065,Nidwalden,3,4,72
CH,CH066,Zug,3,4,73
CH,CH07,Ticino,2,4,74
CH,CH070,Ticino,3,4,75
CH,CHZ,Extra-Regio level 1,1,4,76
CH,CHZZ,Extra-Regio level 2,2,4,77
CH,CHZZZ,Extra-Regio level 3,3,4,78
ME,ME0,Црна Гора ,1,5,79
ME,ME00,Црна Гора,2,5,80
ME,ME000,Црна Гора,3,5,81
ME,MEZ,Extra-Regio level 1,1,5,82
ME,MEZZ,Extra-Regio level 2,2,5,83
ME,MEZZZ,Extra-Regio level 3,3,5,84
MK,MK0,Северна Македонија,1,6,85
MK,MK00,Северна Македонија,2,6,86
MK,MK001,Вардарски,3,6,87
MK,MK002,Источен,3,6,88
MK,MK003,Југозападен,3,6,89
MK,MK004,Југоисточен,3,6,90
MK,MK005,Пелагониски,3,6,91
MK,MK006,Полошки,3,6,92
MK,MK007,Североисточен,3,6,93
MK,MK008,Скопски,3,6,94
MK,MKZ,Extra-Regio level 1,1,6,95
MK,MKZZ,Extra-Regio level 2,2,6,96
MK,MKZZZ,Extra-Regio level 3,3,6,97
AL,AL0,Shqipëria,1,7,98
AL,AL01,Veri,2,7,99
AL,AL011,Dibër,3,7,100
AL,AL012,Durrës,3,7,101
AL,AL013,Kukës,3,7,102
AL,AL014,Lezhë,3,7,103
AL,AL015,Shkodër,3,7,104
AL,AL02,Qender,2,7,105
AL,AL021,Elbasan,3,7,106
AL,AL022,Tiranë,3,7,107
AL,AL03,Jug,2,7,108
AL,AL031,Berat,3,7,109
AL,AL032,Fier,3,7,110
AL,AL033,Gjirokastër,3,7,111
AL,AL034,Korçë,3,7,112
AL,AL035,Vlorë,3,7,113
AL,ALZ,Extra-Regio level 1,1,7,114
AL,ALZZ,Extra-Regio level 2,2,7,115
AL,ALZZZ,Extra-Regio level 3,3,7,116
RS,RS1,Србија - север ,1,8,117
RS,RS11,Београдски регион,2,8,118
RS,RS110,Београдска област,3,8,119
RS,RS12,Регион Војводине,2,8,120
RS,RS121,Западнобачка област,3,8,121
RS,RS122,Јужнобанатска област,3,8,122
RS,RS123,Јужнобачка област,3,8,123
RS,RS124,Севернобанатска област,3,8,124
RS,RS125,Севернобачка област,3,8,125
RS,RS126,Средњобанатска област,3,8,126
RS,RS127,Сремска област,3,8,127
RS,RS2,Србија - југ ,1,8,128
RS,RS21,Регион Шумадије и Западне Србије,2,8,129
RS,RS211,Златиборска област,3,8,130
RS,RS212,Колубарска област,3,8,131
RS,RS213,Мачванска област,3,8,132
RS,RS214,Моравичка област,3,8,133
RS,RS215,Поморавска област,3,8,134
RS,RS216,Расинска област,3,8,135
RS,RS217,Рашка област,3,8,136
RS,RS218,Шумадијска област,3,8,137
RS,RS22,Регион Јужне и Источне Србије,2,8,138
RS,RS221,Борска област,3,8,139
RS,RS222,Браничевска област,3,8,140
RS,RS223,Зајечарска област,3,8,141
RS,RS224,Јабланичка област,3,8,142
RS,RS225,Нишавска област,3,8,143
RS,RS226,Пиротска област,3,8,144
RS,RS227,Подунавска област,3,8,145
RS,RS228,Пчињска област,3,8,146
RS,RS229,Топличка област,3,8,147
RS,RSZ,Extra-Regio level 1,1,8,148
RS,RSZZ,Extra-Regio level 2,2,8,149
RS,RSZZZ,Extra-Regio level 3,3,8,150
TR,TR1,İstanbul,1,9,151
TR,TR10,İstanbul,2,9,152
TR,TR100,İstanbul,3,9,153
TR,TR2,Batı Marmara,1,9,154
TR,TR21,"Tekirdağ, Edirne, Kırklareli",2,9,155
TR,TR211,Tekirdağ,3,9,156
TR,TR212,Edirne,3,9,157
TR,TR213,Kırklareli,3,9,158
TR,TR22,"Balıkesir, Çanakkale",2,9,159
TR,TR221,Balıkesir,3,9,160
TR,TR222,Çanakkale,3,9,161
TR,TR3,Ege,1,9,162
TR,TR31,İzmir,2,9,163
TR,TR310,İzmir,3,9,164
TR,TR32,"Aydın, Denizli, Muğla",2,9,165
TR,TR321,Aydın,3,9,166
TR,TR322,Denizli,3,9,167
TR,TR323,Muğla,3,9,168
TR,TR33,"Manisa, Afyonkarahisar, Kütahya, Uşak",2,9,169
TR,TR331,Manisa,3,9,170
TR,TR332,Afyonkarahisar,3,9,171
TR,TR333,Kütahya,3,9,172
TR,TR334,Uşak,3,9,173
TR,TR4,Doğu Marmara,1,9,174
TR,TR41,"Bursa, Eskişehir, Bilecik",2,9,175
TR,TR411,Bursa,3,9,176
TR,TR412,Eskişehir,3,9,177
TR,TR413,Bilecik,3,9,178
TR,TR42,"Kocaeli, Sakarya, Düzce, Bolu, Yalova",2,9,179
TR,TR421,Kocaeli,3,9,180
TR,TR422,Sakarya,3,9,181
TR,TR423,Düzce,3,9,182
TR,TR424,Bolu,3,9,183
TR,TR425,Yalova,3,9,184
TR,TR5,Batı Anadolu,1,9,185
TR,TR51,Ankara,2,9,186
TR,TR510,Ankara,3,9,187
TR,TR52,"Konya, Karaman",2,9,188
TR,TR521,Konya,3,9,189
TR,TR522,Karaman,3,9,190
TR,TR6,Akdeniz,1,9,191
TR,TR61,"Antalya, Isparta, Burdur",2,9,192
