code,label,total,age,male,female
AT,Austria,423924,LT5,217721,206203
AT1,Ostösterreich,184530,LT5,94771,89759
AT11,Burgenland,11798,LT5,6041,5757
AT111,Mittelburgenland,1293,LT5,680,613
AT112,Nordburgenland,6888,LT5,3516,3372
AT113,Südburgenland,3617,LT5,1845,1772
AT12,Niederösterreich,77323,LT5,39610,37713
AT121,Mostviertel-Eisenwurzen,12358,LT5,6323,6035
AT122,Niederösterreich-Süd,12124,LT5,6156,5968
AT123,Sankt Pölten,7546,LT5,3935,3611
AT124,Waldviertel,8876,LT5,4565,4311
AT125,Weinviertel,5387,LT5,2751,2636
AT126,Wiener Umland/Nordteil,15554,LT5,7907,7647
AT127,Wiener Umland/Südteil,15478,LT5,7973,7505
AT13,Wien,95409,LT5,49120,46289
AT130,Wien,95409,LT5,49120,46289
AT2,Südösterreich,78583,LT5,40216,38367
AT21,Kärnten,23147,LT5,11896,11251
AT211,Klagenfurt-Villach,12125,LT5,6282,5843
AT212,Oberkärnten,4970,LT5,2495,2475
AT213,Unterkärnten,6052,LT5,3119,2933
AT22,Steiermark,55436,LT5,28320,27116
AT221,Graz,21817,LT5,11136,10681
AT222,Liezen,3442,LT5,1722,1720
AT223,Östliche Obersteiermark,5960,LT5,3072,2888
AT224,Oststeiermark,11825,LT5,5987,5838
AT225,West- und Südsteiermark,8366,LT5,4325,4041
AT226,Westliche Obersteiermark,4026,LT5,2078,1948
AT3,Westösterreich,160811,LT5,82734,78077
AT31,Oberösterreich,75011,LT5,38580,36431
AT311,Innviertel,15100,LT5,7790,7310
AT312,Linz-Wels,29577,LT5,15155,14422
AT313,Mühlviertel,11006,LT5,5723,5283
AT314,Steyr-Kirchdorf,7568,LT5,3883,3685
AT315,Traunviertel,11760,LT5,6029,5731
AT32,Salzburg,27666,LT5,14277,13389
AT321,Lungau,927,LT5,468,459
AT322,Pinzgau-Pongau,8783,LT5,4502,4281
AT323,Salzburg und Umgebung,17956,LT5,9307,8649
AT33,Tirol,36921,LT5,18862,18059
AT331,Außerfern,1536,LT5,791,745
AT332,Innsbruck,14501,LT5,7442,7059
AT333,Osttirol,2352,LT5,1160,1192
AT334,Tiroler Oberland,5602,LT5,2838,2764
AT335,Tiroler Unterland,12930,LT5,6631,6299
AT34,Vorarlberg,21213,LT5,11015,10198
AT341,Bludenz-Bregenzer Wald,4931,LT5,2570,2361
AT342,Rheintal-Bodenseegebiet,16282,LT5,8445,7837
AT,Austria,453875,5-9,233589,220286
AT1,Ostösterreich,200046,5-9,102845,97201
AT11,Burgenland,13827,5-9,7156,6671
AT111,Mittelburgenland,1637,5-9,834,803
AT112,Nordburgenland,7962,5-9,4103,3859
AT113,Südburgenland,4228,5-9,2219,2009
AT12,Niederösterreich,86185,5-9,44223,41962
AT121,Mostviertel-Eisenwurzen,13451,5-9,6929,6522
AT122,Niederösterreich-Süd,13329,5-9,6843,6486
AT123,Sankt Pölten,8086,5-9,4190,3896
AT124,Waldviertel,9714,5-9,5026,4688
AT125,Weinviertel,5847,5-9,2982,2865
AT126,Wiener Umland/Nordteil,17948,5-9,9137,8811
AT127,Wiener Umland/Südteil,17810,5-9,9116,8694
AT13,Wien,100034,5-9,51466,48568
AT130,Wien,100034,5-9,51466,48568
AT2,Südösterreich,84486,5-9,43547,40939
AT21,Kärnten,25693,5-9,13153,12540
AT211,Klagenfurt-Villach,13451,5-9,6894,6557
AT212,Oberkärnten,5588,5-9,2878,2710
AT213,Unterkärnten,6654,5-9,3381,3273
AT22,Steiermark,58793,5-9,30394,28399
AT221,Graz,22214,5-9,11574,10640
AT222,Liezen,3561,5-9,1855,1706
AT223,Östliche Obersteiermark,6600,5-9,3394,3206
AT224,Oststeiermark,12965,5-9,6624,6341
AT225,West- und Südsteiermark,9163,5-9,4773,4390
AT226,Westliche Obersteiermark,4290,5-9,2174,2116
AT3,Westösterreich,169343,5-9,87197,82146
AT31,Oberösterreich,80058,5-9,41258,38800
AT311,Innviertel,15563,5-9,8007,7556
AT312,Linz-Wels,31872,5-9,16409,15463
AT313,Mühlviertel,11990,5-9,6206,5784
AT314,Steyr-Kirchdorf,7906,5-9,4050,3856
AT315,Traunviertel,12727,5-9,6586,6141
AT32,Salzburg,28428,5-9,14550,13878
AT321,Lungau,972,5-9,508,464
AT322,Pinzgau-Pongau,8939,5-9,4565,4374
AT323,Salzburg und Umgebung,18517,5-9,9477,9040
AT33,Tirol,38514,5-9,19903,18611
AT331,Außerfern,1590,5-9,836,754
AT332,Innsbruck,15194,5-9,7869,7325
AT333,Osttirol,2344,5-9,1199,1145
AT334,Tiroler Oberland,5724,5-9,2964,2760
AT335,Tiroler Unterland,13662,5-9,7035,6627
AT34,Vorarlberg,22343,5-9,11486,10857
AT341,Bludenz-Bregenzer Wald,5226,5-9,2715,2511
AT342,Rheintal-Bodenseegebiet,17117,5-9,8771,8346
AT,Austria,438022,10-14,225693,212329
AT1,Ostösterreich,193795,10-14,100115,93680
AT11,Burgenland,13976,10-14,7129,6847
AT111,Mittelburgenland,1679,10-14,819,860
AT112,Nordburgenland,8017,10-14,4113,3904
AT113,Südburgenland,4280,10-14,2197,2083
AT12,Niederösterreich,85970,10-14,44250,41720
AT121,Mostviertel-Eisenwurzen,13053,10-14,6734,6319
AT122,Niederösterreich-Süd,12984,10-14,6593,6391
AT123,Sankt Pölten,8011,10-14,4146,3865
AT124,Waldviertel,9665,10-14,4935,4730
AT125,Weinviertel,5848,10-14,3044,2804
AT126,Wiener Umland/Nordteil,18101,10-14,9408,8693
AT127,Wiener Umland/Südteil,18308,10-14,9390,8918
AT13,Wien,93849,10-14,48736,45113
AT130,Wien,93849,10-14,48736,45113
AT2,Südösterreich,83048,10-14,42871,40177
AT21,Kärnten,25958,10-14,13349,12609
AT211,Klagenfurt-Villach,13537,10-14,6931,6606
AT212,Oberkärnten,5491,10-14,2903,2588
AT213,Unterkärnten,6930,10-14,3515,3415
AT22,Steiermark,57090,10-14,29522,27568
AT221,Graz,20878,10-14,10789,10089
AT222,Liezen,3458,10-14,1769,1689
AT223,Östliche Obersteiermark,6579,10-14,3424,3155
AT224,Oststeiermark,12741,10-14,6636,6105
AT225,West- und Südsteiermark,9039,10-14,4649,4390
AT226,Westliche Obersteiermark,4395,10-14,2255,2140
AT3,Westösterreich,161179,10-14,82707,78472
AT31,Oberösterreich,76434,10-14,39302,37132
AT311,Innviertel,14790,10-14,7682,7108
AT312,Linz-Wels,30350,10-14,15568,14782
AT313,Mühlviertel,11341,10-14,5709,5632
AT314,Steyr-Kirchdorf,8027,10-14,4250,3777
AT315,Traunviertel,11926,10-14,6093,5833
AT32,Salzburg,27006,10-14,13787,13219
AT321,Lungau,931,10-14,461,470
AT322,Pinzgau-Pongau,8383,10-14,4279,4104
AT323,Salzburg und Umgebung,17692,10-14,9047,8645
AT33,Tirol,36560,10-14,18716,17844
AT331,Außerfern,1618,10-14,819,799
AT332,Innsbruck,14350,10-14,7340,7010
AT333,Osttirol,2316,10-14,1207,1109
AT334,Tiroler Oberland,5286,10-14,2672,2614
AT335,Tiroler Unterland,12990,10-14,6678,6312
AT34,Vorarlberg,21179,10-14,10902,10277
AT341,Bludenz-Bregenzer Wald,4863,10-14,2454,2409
AT342,Rheintal-Bodenseegebiet,16316,10-14,8448,7868
AT,Austria,450385,15-19,232917,217468
AT1,Ostösterreich,199351,15-19,102975,96376
AT11,Burgenland,14065,15-19,7215,6850
AT111,Mittelburgenland,1701,15-19,867,834
AT112,Nordburgenland,7799,15-19,4004,3795
AT113,Südburgenland,4565,15-19,2344,2221
AT12,Niederösterreich,86797,15-19,44828,41969
AT121,Mostviertel-Eisenwurzen,13156,15-19,6860,6296
AT122,Niederösterreich-Süd,13417,15-19,6944,6473
AT123,Sankt Pölten,8359,15-19,4326,4033
AT124,Waldviertel,10231,15-19,5220,5011
AT125,Weinviertel,5845,15-19,2947,2898
AT126,Wiener Umland/Nordteil,17523,15-19,9013,8510
AT127,Wiener Umland/Südteil,18266,15-19,9518,8748
AT13,Wien,98489,15-19,50932,47557
AT130,Wien,98489,15-19,50932,47557
AT2,Südösterreich,86083,15-19,44456,41627
AT21,Kärnten,27306,15-19,14206,13100
AT211,Klagenfurt-Villach,14254,15-19,7485,6769
AT212,Oberkärnten,5721,15-19,2933,2788
AT213,Unterkärnten,7331,15-19,3788,3543
AT22,Steiermark,58777,15-19,30250,28527
AT221,Graz,21837,15-19,11165,10672
AT222,Liezen,3763,15-19,1950,1813
AT223,Östliche Obersteiermark,6865,15-19,3562,3303
AT224,Oststeiermark,12699,15-19,6555,6144
AT225,West- und Südsteiermark,9095,15-19,4620,4475
AT226,Westliche Obersteiermark,4518,15-19,2398,2120
AT3,Westösterreich,164951,15-19,85486,79465
AT31,Oberösterreich,77323,15-19,40064,37259
AT311,Innviertel,14640,15-19,7570,7070
AT312,Linz-Wels,30784,15-19,15932,14852
AT313,Mühlviertel,11541,15-19,6069,5472
AT314,Steyr-Kirchdorf,8182,15-19,4180,4002
AT315,Traunviertel,12176,15-19,6313,5863
AT32,Salzburg,28166,15-19,14507,13659
AT321,Lungau,1042,15-19,561,481
AT322,Pinzgau-Pongau,8431,15-19,4296,4135
AT323,Salzburg und Umgebung,18693,15-19,9650,9043
AT33,Tirol,37439,15-19,19447,17992
AT331,Außerfern,1514,15-19,787,727
AT332,Innsbruck,14760,15-19,7676,7084
AT333,Osttirol,2533,15-19,1313,1220
AT334,Tiroler Oberland,5645,15-19,2895,2750
AT335,Tiroler Unterland,12987,15-19,6776,6211
AT34,Vorarlberg,22023,15-19,11468,10555
AT341,Bludenz-Bregenzer Wald,5046,15-19,2608,2438
AT342,Rheintal-Bodenseegebiet,16977,15-19,8860,8117
AT,Austria,500742,20-24,259070,241672
AT1,Ostösterreich,229475,20-24,117249,112226
AT11,Burgenland,13091,20-24,6908,6183
