code,label,total,age,male,female
BE,Belgium,589746,LT5,301056,288690
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,73511,LT5,37480,36031
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,73511,LT5,37480,36031
BE100,Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,73511,LT5,37480,36031
BE2,Vlaams Gewest,331896,LT5,169380,162516
BE21,Prov. Antwerpen,99947,LT5,50754,49193
BE211,Arr. Antwerpen,60098,LT5,30544,29554
BE212,Arr. Mechelen,17542,LT5,8915,8627
BE213,Arr. Turnhout,22307,LT5,11295,11012
BE22,Prov. Limburg (BE),39743,LT5,20491,19252
BE221,Arr. Hasselt (NUTS 2016),:,LT5,:,:
BE222,Arr. Maaseik (NUTS 2016),:,LT5,:,:
BE223,Arr. Tongeren,9160,LT5,4608,4552
BE224,Arr. Hasselt,18884,LT5,9871,9013
BE225,Arr. Maaseik,11699,LT5,6012,5687
BE23,Prov. Oost-Vlaanderen,76101,LT5,38925,37176
BE231,Arr. Aalst,14683,LT5,7503,7180
BE232,Arr. Dendermonde,9727,LT5,4937,4790
BE233,Arr. Eeklo,4008,LT5,2069,1939
BE234,Arr. Gent,28175,LT5,14433,13742
BE235,Arr. Oudenaarde,6018,LT5,3051,2967
BE236,Arr. Sint-Niklaas,13490,LT5,6932,6558
BE24,Prov. Vlaams-Brabant,60459,LT5,30797,29662
BE241,Arr. Halle-Vilvoorde,36402,LT5,18527,17875
BE242,Arr. Leuven,24057,LT5,12270,11787
BE25,Prov. West-Vlaanderen,55646,LT5,28413,27233
BE251,Arr. Brugge,11476,LT5,5834,5642
BE252,Arr. Diksmuide,2592,LT5,1314,1278
BE253,Arr. Ieper,5209,LT5,2639,2570
BE254,Arr. Kortrijk,15202,LT5,7818,7384
BE255,Arr. Oostende,6369,LT5,3206,3163
BE256,Arr. Roeselare,8104,LT5,4226,3878
BE257,Arr. Tielt,4728,LT5,2391,2337
BE258,Arr. Veurne,1966,LT5,985,981
BE3,Région wallonne,184339,LT5,94196,90143
BE31,Prov. Brabant wallon,19482,LT5,9866,9616
BE310,Arr. Nivelles,19482,LT5,9866,9616
BE32,Prov. Hainaut,68203,LT5,34813,33390
BE321,Arr. Ath (NUTS 2016),:,LT5,:,:
BE322,Arr. Charleroi (NUTS 2016),:,LT5,:,:
BE323,Arr. Mons,12597,LT5,6395,6202
BE324,Arr. Mouscron (NUTS 2016),:,LT5,:,:
BE325,Arr. Soignies (NUTS 2016),:,LT5,:,:
BE326,Arr. Thuin (NUTS 2016),:,LT5,:,:
BE327,Arr. Tournai (NUTS 2016),:,LT5,:,:
BE328,Arr. Tournai-Mouscron,11037,LT5,5648,5389
BE329,Arr. La Louvière,6975,LT5,3643,3332
BE32A,Arr. Ath,6269,LT5,3189,3080
BE32B,Arr. Charleroi,21523,LT5,10899,10624
BE32C,Arr. Soignies,5435,LT5,2794,2641
BE32D,Arr. Thuin,4367,LT5,2245,2122
BE33,Prov. Liège,56335,LT5,28822,27513
BE331,Arr. Huy,5613,LT5,2869,2744
BE332,Arr. Liège,31629,LT5,16140,15489
BE334,Arr. Waremme,3879,LT5,2019,1860
BE335,Arr. Verviers — communes francophones,10933,LT5,5658,5275
BE336,Bezirk Verviers — Deutschsprachige Gemeinschaft,4281,LT5,2136,2145
BE34,Prov. Luxembourg (BE),15670,LT5,7964,7706
BE341,Arr. Arlon,3397,LT5,1706,1691
BE342,Arr. Bastogne,2845,LT5,1469,1376
BE343,Arr. Marche-en-Famenne,2947,LT5,1546,1401
BE344,Arr. Neufchâteau,3634,LT5,1831,1803
BE345,Arr. Virton,2847,LT5,1412,1435
BE35,Prov. Namur,24649,LT5,12731,11918
BE351,Arr. Dinant,5627,LT5,2934,2693
BE352,Arr. Namur,15941,LT5,8205,7736
BE353,Arr. Philippeville,3081,LT5,1592,1489
BE,Belgium,642583,5-9,328723,313860
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,77813,5-9,39714,38099
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,77813,5-9,39714,38099
BE100,Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,77813,5-9,39714,38099
BE2,Vlaams Gewest,361832,5-9,185203,176629
BE21,Prov. Antwerpen,106571,5-9,54475,52096
BE211,Arr. Antwerpen,63277,5-9,32284,30993
BE212,Arr. Mechelen,18846,5-9,9550,9296
BE213,Arr. Turnhout,24448,5-9,12641,11807
BE22,Prov. Limburg (BE),44891,5-9,22873,22018
BE221,Arr. Hasselt (NUTS 2016),:,5-9,:,:
BE222,Arr. Maaseik (NUTS 2016),:,5-9,:,:
BE223,Arr. Tongeren,10361,5-9,5265,5096
BE224,Arr. Hasselt,21503,5-9,10931,10572
BE225,Arr. Maaseik,13027,5-9,6677,6350
BE23,Prov. Oost-Vlaanderen,82601,5-9,42505,40096
BE231,Arr. Aalst,16296,5-9,8357,7939
BE232,Arr. Dendermonde,10807,5-9,5559,5248
BE233,Arr. Eeklo,4471,5-9,2283,2188
BE234,Arr. Gent,29520,5-9,15380,14140
BE235,Arr. Oudenaarde,6642,5-9,3395,3247
BE236,Arr. Sint-Niklaas,14865,5-9,7531,7334
BE24,Prov. Vlaams-Brabant,67778,5-9,34771,33007
BE241,Arr. Halle-Vilvoorde,40975,5-9,21063,19912
BE242,Arr. Leuven,26803,5-9,13708,13095
BE25,Prov. West-Vlaanderen,59991,5-9,30579,29412
BE251,Arr. Brugge,12457,5-9,6430,6027
BE252,Arr. Diksmuide,2872,5-9,1450,1422
BE253,Arr. Ieper,5628,5-9,2830,2798
BE254,Arr. Kortrijk,16545,5-9,8348,8197
BE255,Arr. Oostende,6909,5-9,3556,3353
BE256,Arr. Roeselare,8373,5-9,4275,4098
BE257,Arr. Tielt,5021,5-9,2583,2438
BE258,Arr. Veurne,2186,5-9,1107,1079
BE3,Région wallonne,202938,5-9,103806,99132
BE31,Prov. Brabant wallon,22666,5-9,11590,11076
BE310,Arr. Nivelles,22666,5-9,11590,11076
BE32,Prov. Hainaut,74806,5-9,38456,36350
BE321,Arr. Ath (NUTS 2016),:,5-9,:,:
BE322,Arr. Charleroi (NUTS 2016),:,5-9,:,:
BE323,Arr. Mons,14147,5-9,7221,6926
BE324,Arr. Mouscron (NUTS 2016),:,5-9,:,:
BE325,Arr. Soignies (NUTS 2016),:,5-9,:,:
BE326,Arr. Thuin (NUTS 2016),:,5-9,:,:
BE327,Arr. Tournai (NUTS 2016),:,5-9,:,:
BE328,Arr. Tournai-Mouscron,12176,5-9,6247,5929
BE329,Arr. La Louvière,7669,5-9,3975,3694
BE32A,Arr. Ath,6741,5-9,3487,3254
BE32B,Arr. Charleroi,23394,5-9,11925,11469
BE32C,Arr. Soignies,6049,5-9,3172,2877
BE32D,Arr. Thuin,4630,5-9,2429,2201
BE33,Prov. Liège,62103,5-9,31589,30514
BE331,Arr. Huy,6198,5-9,3165,3033
BE332,Arr. Liège,35050,5-9,17814,17236
BE334,Arr. Waremme,4360,5-9,2211,2149
BE335,Arr. Verviers — communes francophones,12037,5-9,6083,5954
BE336,Bezirk Verviers — Deutschsprachige Gemeinschaft,4458,5-9,2316,2142
BE34,Prov. Luxembourg (BE),16644,5-9,8499,8145
BE341,Arr. Arlon,3617,5-9,1823,1794
BE342,Arr. Bastogne,3129,5-9,1579,1550
BE343,Arr. Marche-en-Famenne,3025,5-9,1589,1436
BE344,Arr. Neufchâteau,3828,5-9,1960,1868
BE345,Arr. Virton,3045,5-9,1548,1497
BE35,Prov. Namur,26719,5-9,13672,13047
BE351,Arr. Dinant,6142,5-9,3092,3050
BE352,Arr. Namur,17291,5-9,8870,8421
BE353,Arr. Philippeville,3286,5-9,1710,1576
BE,Belgium,691971,10-14,353968,338003
BE1,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,78123,10-14,39935,38188
BE10,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,78123,10-14,39935,38188
BE100,Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,78123,10-14,39935,38188
BE2,Vlaams Gewest,391270,10-14,200459,190811
BE21,Prov. Antwerpen,114094,10-14,58460,55634
BE211,Arr. Antwerpen,66297,10-14,34023,32274
BE212,Arr. Mechelen,21015,10-14,10777,10238
BE213,Arr. Turnhout,26782,10-14,13660,13122
BE22,Prov. Limburg (BE),49943,10-14,25636,24307
BE221,Arr. Hasselt (NUTS 2016),:,10-14,:,:
BE222,Arr. Maaseik (NUTS 2016),:,10-14,:,:
BE223,Arr. Tongeren,11522,10-14,5917,5605
BE224,Arr. Hasselt,24020,10-14,12287,11733
BE225,Arr. Maaseik,14401,10-14,7432,6969
BE23,Prov. Oost-Vlaanderen,89986,10-14,45904,44082
BE231,Arr. Aalst,17986,10-14,9256,8730
BE232,Arr. Dendermonde,11759,10-14,5910,5849
BE233,Arr. Eeklo,4807,10-14,2487,2320
BE234,Arr. Gent,31671,10-14,16073,15598
BE235,Arr. Oudenaarde,7553,10-14,3876,3677
BE236,Arr. Sint-Niklaas,16210,10-14,8302,7908
BE24,Prov. Vlaams-Brabant,72594,10-14,37283,35311
BE241,Arr. Halle-Vilvoorde,43469,10-14,22266,21203
BE242,Arr. Leuven,29125,10-14,15017,14108
BE25,Prov. West-Vlaanderen,64653,10-14,33176,31477
BE251,Arr. Brugge,13843,10-14,7124,6719
BE252,Arr. Diksmuide,3054,10-14,1573,1481
BE253,Arr. Ieper,6312,10-14,3282,3030
BE254,Arr. Kortrijk,17406,10-14,8887,8519
BE255,Arr. Oostende,7405,10-14,3812,3593
BE256,Arr. Roeselare,8986,10-14,4528,4458
BE257,Arr. Tielt,5351,10-14,2788,2563
BE258,Arr. Veurne,2296,10-14,1182,1114
