code,label,total,age,male,female
BG,Bulgaria,287271,LT5,147135,140136
BG3,Severna i Yugoiztochna Bulgaria,134597,LT5,68988,65609
BG31,Severozapaden,26964,LT5,13701,13263
BG311,Vidin,2471,LT5,1244,1227
BG312,Montana,4395,LT5,2238,2157
BG313,Vratsa,6344,LT5,3225,3119
BG314,Pleven,9033,LT5,4572,4461
BG315,Lovech,4721,LT5,2422,2299
BG32,Severen tsentralen,25969,LT5,13378,12591
BG321,Veliko Tarnovo,7821,LT5,4021,3800
BG322,Gabrovo,3304,LT5,1661,1643
BG323,Ruse,7054,LT5,3655,3399
BG324,Razgrad,3998,LT5,2040,1958
BG325,Silistra,3792,LT5,2001,1791
BG33,Severoiztochen,35932,LT5,18301,17631
BG331,Varna,20362,LT5,10371,9991
BG332,Dobrich,5690,LT5,2887,2803
BG333,Shumen,6027,LT5,3069,2958
BG334,Targovishte,3853,LT5,1974,1879
BG34,Yugoiztochen,45732,LT5,23608,22124
BG341,Burgas,17056,LT5,8910,8146
BG342,Sliven,10432,LT5,5343,5089
BG343,Yambol,5080,LT5,2636,2444
BG344,Stara Zagora,13164,LT5,6719,6445
BG4,Yugozapadna i Yuzhna tsentralna Bulgaria,152674,LT5,78147,74527
BG41,Yugozapaden,94539,LT5,48391,46148
BG411,Sofia (stolitsa),63024,LT5,32311,30713
BG412,Sofia,10479,LT5,5397,5082
BG413,Blagoevgrad,12779,LT5,6485,6294
BG414,Pernik,4228,LT5,2165,2063
BG415,Kyustendil,4029,LT5,2033,1996
BG42,Yuzhen tsentralen,58135,LT5,29756,28379
BG421,Plovdiv,30701,LT5,15722,14979
BG422,Haskovo,8556,LT5,4408,4148
BG423,Pazardzhik,10202,LT5,5258,4944
BG424,Smolyan,2692,LT5,1329,1363
BG425,Kardzhali,5984,LT5,3039,2945
BG,Bulgaria,305416,5-9,157070,148346
BG3,Severna i Yugoiztochna Bulgaria,146812,5-9,75595,71217
BG31,Severozapaden,29205,5-9,15045,14160
BG311,Vidin,2736,5-9,1418,1318
BG312,Montana,4875,5-9,2476,2399
BG313,Vratsa,6993,5-9,3663,3330
BG314,Pleven,9599,5-9,4936,4663
BG315,Lovech,5002,5-9,2552,2450
BG32,Severen tsentralen,29049,5-9,14994,14055
BG321,Veliko Tarnovo,8779,5-9,4480,4299
BG322,Gabrovo,3716,5-9,1916,1800
BG323,Ruse,7870,5-9,4112,3758
BG324,Razgrad,4493,5-9,2335,2158
BG325,Silistra,4191,5-9,2151,2040
BG33,Severoiztochen,38784,5-9,19997,18787
BG331,Varna,21485,5-9,11095,10390
BG332,Dobrich,6365,5-9,3292,3073
BG333,Shumen,6627,5-9,3424,3203
BG334,Targovishte,4307,5-9,2186,2121
BG34,Yugoiztochen,49774,5-9,25559,24215
BG341,Burgas,19383,5-9,9867,9516
BG342,Sliven,10647,5-9,5502,5145
BG343,Yambol,5328,5-9,2722,2606
BG344,Stara Zagora,14416,5-9,7468,6948
BG4,Yugozapadna i Yuzhna tsentralna Bulgaria,158604,5-9,81475,77129
BG41,Yugozapaden,97504,5-9,50161,47343
BG411,Sofia (stolitsa),63589,5-9,32765,30824
BG412,Sofia,10616,5-9,5450,5166
BG413,Blagoevgrad,14045,5-9,7200,6845
