code,label,total,age,male,female
HR,Croatia,172237,LT5,88204,84033
HR0,Hrvatska,172237,LT5,88204,84033
HR02,Panonska Hrvatska,42727,LT5,22004,20723
HR021,Bjelovarsko-bilogorska županija,4622,LT5,2300,2322
HR022,Virovitičko-podravska županija,2945,LT5,1489,1456
HR023,Požeško-slavonska županija,2755,LT5,1406,1349
HR024,Brodsko-posavska županija,5616,LT5,2873,2743
HR025,Osječko-baranjska županija,10909,LT5,5664,5245
HR026,Vukovarsko-srijemska županija,6029,LT5,3212,2817
HR027,Karlovačka županija,4304,LT5,2187,2117
HR028,Sisačko-moslavačka županija,5547,LT5,2873,2674
HR03,Jadranska Hrvatska,56197,LT5,28733,27464
HR031,Primorsko-goranska županija,9887,LT5,5010,4877
HR032,Ličko-senjska županija,1804,LT5,924,880
HR033,Zadarska županija,7529,LT5,3848,3681
HR034,Šibensko-kninska županija,3896,LT5,1999,1897
HR035,Splitsko-dalmatinska županija,19623,LT5,10105,9518
HR036,Istarska županija,7937,LT5,4001,3936
HR037,Dubrovačko-neretvanska županija,5521,LT5,2846,2675
HR04,Kontinentalna Hrvatska (NUTS 2016),:,LT5,:,:
HR041,Grad Zagreb (NUTS 2016),:,LT5,:,:
HR042,Zagrebacka zupanija (NUTS 2016),:,LT5,:,:
HR043,Krapinsko-zagorska zupanija (NUTS 2016),:,LT5,:,:
HR044,Varazdinska zupanija (NUTS 2016),:,LT5,:,:
HR045,Koprivnicko-krizevacka zupanija (NUTS 2016),:,LT5,:,:
HR046,Medimurska zupanija (NUTS 2016),:,LT5,:,:
HR047,Bjelovarsko-bilogorska zupanija (NUTS 2016),:,LT5,:,:
HR048,Viroviticko-podravska zupanija (NUTS 2016),:,LT5,:,:
HR049,Pozesko-slavonska zupanija (NUTS 2016),:,LT5,:,:
HR04A,Brodsko-posavska zupanija (NUTS 2016),:,LT5,:,:
HR04B,Osjecko-baranjska zupanija (NUTS 2016),:,LT5,:,:
HR04C,Vukovarsko-srijemska zupanija (NUTS 2016),:,LT5,:,:
HR04D,Karlovacka zupanija (NUTS 2016),:,LT5,:,:
HR04E,Sisacko-moslavacka zupanija (NUTS 2016),:,LT5,:,:
HR05,Grad Zagreb,37701,LT5,19326,18375
HR050,Grad Zagreb,37701,LT5,19326,18375
HR06,Sjeverna Hrvatska,35612,LT5,18141,17471
HR061,Međimurska županija,5344,LT5,2751,2593
