code,label,total,age,male,female
CY,Cyprus,51042,LT5,26093,24949
CY0,Kýpros,51042,LT5,26093,24949
CY00,Kýpros,51042,LT5,26093,24949
CY000,Kýpros,51042,LT5,26093,24949
CY,Cyprus,47315,5-9,24561,22754
CY0,Kýpros,47315,5-9,24561,22754
CY00,Kýpros,47315,5-9,24561,22754
CY000,Kýpros,47315,5-9,24561,22754
CY,Cyprus,49099,10-14,25233,23866
CY0,Kýpros,49099,10-14,25233,23866
CY00,Kýpros,49099,10-14,25233,23866
CY000,Kýpros,49099,10-14,25233,23866
CY,Cyprus,46785,15-19,24219,22566
CY0,Kýpros,46785,15-19,24219,22566
CY00,Kýpros,46785,15-19,24219,22566
CY000,Kýpros,46785,15-19,24219,22566
CY,Cyprus,52740,20-24,26936,25804
CY0,Kýpros,52740,20-24,26936,25804
CY00,Kýpros,52740,20-24,26936,25804
CY000,Kýpros,52740,20-24,26936,25804
CY,Cyprus,67821,25-29,35710,32111
CY0,Kýpros,67821,25-29,35710,32111
CY00,Kýpros,67821,25-29,35710,32111
CY000,Kýpros,67821,25-29,35710,32111
CY,Cyprus,77939,30-34,40313,37626
CY0,Kýpros,77939,30-34,40313,37626
CY00,Kýpros,77939,30-34,40313,37626
CY000,Kýpros,77939,30-34,40313,37626
CY,Cyprus,80977,35-39,40380,40597
CY0,Kýpros,80977,35-39,40380,40597
CY00,Kýpros,80977,35-39,40380,40597
CY000,Kýpros,80977,35-39,40380,40597
CY,Cyprus,77208,40-44,37085,40123
CY0,Kýpros,77208,40-44,37085,40123
CY00,Kýpros,77208,40-44,37085,40123
CY000,Kýpros,77208,40-44,37085,40123
CY,Cyprus,64752,45-49,29712,35040
CY0,Kýpros,64752,45-49,29712,35040
CY00,Kýpros,64752,45-49,29712,35040
CY000,Kýpros,64752,45-49,29712,35040
CY,Cyprus,61801,50-54,28568,33233
CY0,Kýpros,61801,50-54,28568,33233
CY00,Kýpros,61801,50-54,28568,33233
CY000,Kýpros,61801,50-54,28568,33233
CY,Cyprus,58937,55-59,28033,30904
CY0,Kýpros,58937,55-59,28033,30904
CY00,Kýpros,58937,55-59,28033,30904
CY000,Kýpros,58937,55-59,28033,30904
CY,Cyprus,58443,60-64,28236,30207
CY0,Kýpros,58443,60-64,28236,30207
CY00,Kýpros,58443,60-64,28236,30207
CY000,Kýpros,58443,60-64,28236,30207
CY,Cyprus,50536,65-69,24694,25842
CY0,Kýpros,50536,65-69,24694,25842
CY00,Kýpros,50536,65-69,24694,25842
CY000,Kýpros,50536,65-69,24694,25842
CY,Cyprus,43813,70-74,20978,22835
CY0,Kýpros,43813,70-74,20978,22835
CY00,Kýpros,43813,70-74,20978,22835
CY000,Kýpros,43813,70-74,20978,22835
CY,Cyprus,36170,75-79,17052,19118
CY0,Kýpros,36170,75-79,17052,19118
CY00,Kýpros,36170,75-79,17052,19118
CY000,Kýpros,36170,75-79,17052,19118
CY,Cyprus,23129,80-84,10455,12674
CY0,Kýpros,23129,80-84,10455,12674
CY00,Kýpros,23129,80-84,10455,12674
CY000,Kýpros,23129,80-84,10455,12674
CY,Cyprus,12426,85-89,5101,7325
CY0,Kýpros,12426,85-89,5101,7325
CY00,Kýpros,12426,85-89,5101,7325
CY000,Kýpros,12426,85-89,5101,7325
CY,Cyprus,17858,GE85,7336,10522
CY0,Kýpros,17858,GE85,7336,10522
CY00,Kýpros,17858,GE85,7336,10522
CY000,Kýpros,17858,GE85,7336,10522
