code,label,total,age,male,female
CZ,Czechia,539772,LT5,276560,263212
CZ0,Česko,539772,LT5,276560,263212
CZ01,Praha,70591,LT5,35952,34639
CZ010,Hlavní město Praha,70591,LT5,35952,34639
CZ02,Střední Čechy,77191,LT5,39522,37669
CZ020,Středočeský kraj,77191,LT5,39522,37669
CZ03,Jihozápad,61270,LT5,31397,29873
CZ031,Jihočeský kraj,32002,LT5,16361,15641
CZ032,Plzeňský kraj,29268,LT5,15036,14232
CZ04,Severozápad,50930,LT5,26083,24847
CZ041,Karlovarský kraj,12915,LT5,6679,6236
CZ042,Ústecký kraj,38015,LT5,19404,18611
CZ05,Severovýchod,74730,LT5,38515,36215
CZ051,Liberecký kraj,21440,LT5,11007,10433
CZ052,Královéhradecký kraj,26690,LT5,13759,12931
CZ053,Pardubický kraj,26600,LT5,13749,12851
CZ06,Jihovýchod,89700,LT5,46165,43535
CZ063,Kraj Vysočina,26281,LT5,13564,12717
CZ064,Jihomoravský kraj,63419,LT5,32601,30818
CZ07,Střední Morava,58992,LT5,30093,28899
CZ071,Olomoucký kraj,31006,LT5,15747,15259
CZ072,Zlínský kraj,27986,LT5,14346,13640
CZ08,Moravskoslezsko,56368,LT5,28833,27535
CZ080,Moravskoslezský kraj,56368,LT5,28833,27535
CZ,Czechia,591876,5-9,303080,288796
CZ0,Česko,591876,5-9,303080,288796
CZ01,Praha,74663,5-9,38219,36444
CZ010,Hlavní město Praha,74663,5-9,38219,36444
CZ02,Střední Čechy,89068,5-9,45507,43561
CZ020,Středočeský kraj,89068,5-9,45507,43561
CZ03,Jihozápad,67348,5-9,34554,32794
CZ031,Jihočeský kraj,35265,5-9,18099,17166
CZ032,Plzeňský kraj,32083,5-9,16455,15628
CZ04,Severozápad,57287,5-9,29240,28047
CZ041,Karlovarský kraj,14560,5-9,7342,7218
CZ042,Ústecký kraj,42727,5-9,21898,20829
CZ05,Severovýchod,82584,5-9,42266,40318
CZ051,Liberecký kraj,24561,5-9,12592,11969
CZ052,Královéhradecký kraj,29177,5-9,14909,14268
CZ053,Pardubický kraj,28846,5-9,14765,14081
CZ06,Jihovýchod,96292,5-9,49227,47065
CZ063,Kraj Vysočina,27698,5-9,14116,13582
CZ064,Jihomoravský kraj,68594,5-9,35111,33483
CZ07,Střední Morava,63717,5-9,32642,31075
CZ071,Olomoucký kraj,33584,5-9,17231,16353
CZ072,Zlínský kraj,30133,5-9,15411,14722
CZ08,Moravskoslezsko,60917,5-9,31425,29492
CZ080,Moravskoslezský kraj,60917,5-9,31425,29492
CZ,Czechia,596110,10-14,304832,291278
CZ0,Česko,596110,10-14,304832,291278
CZ01,Praha,73393,10-14,37434,35959
CZ010,Hlavní město Praha,73393,10-14,37434,35959
CZ02,Střední Čechy,90004,10-14,46006,43998
CZ020,Středočeský kraj,90004,10-14,46006,43998
CZ03,Jihozápad,68173,10-14,34765,33408
CZ031,Jihočeský kraj,35498,10-14,18231,17267
CZ032,Plzeňský kraj,32675,10-14,16534,16141
CZ04,Severozápad,60825,10-14,31269,29556
CZ041,Karlovarský kraj,15918,10-14,8196,7722
CZ042,Ústecký kraj,44907,10-14,23073,21834
CZ05,Severovýchod,84753,10-14,43374,41379
CZ051,Liberecký kraj,25559,10-14,13131,12428
CZ052,Královéhradecký kraj,30080,10-14,15413,14667
CZ053,Pardubický kraj,29114,10-14,14830,14284
CZ06,Jihovýchod,93597,10-14,47776,45821
CZ063,Kraj Vysočina,27193,10-14,13908,13285
CZ064,Jihomoravský kraj,66404,10-14,33868,32536
CZ07,Střední Morava,63592,10-14,32525,31067
CZ071,Olomoucký kraj,33750,10-14,17177,16573
CZ072,Zlínský kraj,29842,10-14,15348,14494
CZ08,Moravskoslezsko,61773,10-14,31683,30090
CZ080,Moravskoslezský kraj,61773,10-14,31683,30090
CZ,Czechia,593320,15-19,307082,286238
CZ0,Česko,593320,15-19,307082,286238
CZ01,Praha,72345,15-19,37766,34579
CZ010,Hlavní město Praha,72345,15-19,37766,34579
CZ02,Střední Čechy,84358,15-19,43806,40552
CZ020,Středočeský kraj,84358,15-19,43806,40552
CZ03,Jihozápad,68569,15-19,35414,33155
CZ031,Jihočeský kraj,35287,15-19,18197,17090
CZ032,Plzeňský kraj,33282,15-19,17217,16065
CZ04,Severozápad,63013,15-19,32380,30633
CZ041,Karlovarský kraj,16314,15-19,8406,7908
CZ042,Ústecký kraj,46699,15-19,23974,22725
CZ05,Severovýchod,85054,15-19,44135,40919
CZ051,Liberecký kraj,25335,15-19,13035,12300
CZ052,Královéhradecký kraj,30765,15-19,16029,14736
CZ053,Pardubický kraj,28954,15-19,15071,13883
CZ06,Jihovýchod,92199,15-19,47863,44336
CZ063,Kraj Vysočina,27809,15-19,14486,13323
CZ064,Jihomoravský kraj,64390,15-19,33377,31013
CZ07,Střední Morava,63978,15-19,32912,31066
CZ071,Olomoucký kraj,33645,15-19,17208,16437
CZ072,Zlínský kraj,30333,15-19,15704,14629
CZ08,Moravskoslezsko,63804,15-19,32806,30998
CZ080,Moravskoslezský kraj,63804,15-19,32806,30998
CZ,Czechia,515810,20-24,259485,256325
CZ0,Česko,515810,20-24,259485,256325
CZ01,Praha,67668,20-24,32992,34676
CZ010,Hlavní město Praha,67668,20-24,32992,34676
CZ02,Střední Čechy,66007,20-24,33423,32584
CZ020,Středočeský kraj,66007,20-24,33423,32584
CZ03,Jihozápad,60185,20-24,30087,30098
CZ031,Jihočeský kraj,30675,20-24,15547,15128
CZ032,Plzeňský kraj,29510,20-24,14540,14970
CZ04,Severozápad,54791,20-24,27735,27056
CZ041,Karlovarský kraj,14334,20-24,7124,7210
CZ042,Ústecký kraj,40457,20-24,20611,19846
CZ05,Severovýchod,73632,20-24,37348,36284
CZ051,Liberecký kraj,21632,20-24,10881,10751
CZ052,Královéhradecký kraj,26442,20-24,13391,13051
CZ053,Pardubický kraj,25558,20-24,13076,12482
CZ06,Jihovýchod,80558,20-24,40589,39969
CZ063,Kraj Vysočina,24655,20-24,12457,12198
CZ064,Jihomoravský kraj,55903,20-24,28132,27771
CZ07,Střední Morava,56429,20-24,28660,27769
CZ071,Olomoucký kraj,29264,20-24,14799,14465
CZ072,Zlínský kraj,27165,20-24,13861,13304
CZ08,Moravskoslezsko,56540,20-24,28651,27889
CZ080,Moravskoslezský kraj,56540,20-24,28651,27889
CZ,Czechia,546286,25-29,278341,267945
CZ0,Česko,546286,25-29,278341,267945
CZ01,Praha,78417,25-29,38865,39552
CZ010,Hlavní město Praha,78417,25-29,38865,39552
CZ02,Střední Čechy,67133,25-29,33900,33233
CZ020,Středočeský kraj,67133,25-29,33900,33233
CZ03,Jihozápad,63415,25-29,32467,30948
CZ031,Jihočeský kraj,32086,25-29,16479,15607
CZ032,Plzeňský kraj,31329,25-29,15988,15341
CZ04,Severozápad,55572,25-29,28295,27277
CZ041,Karlovarský kraj,14823,25-29,7527,7296
CZ042,Ústecký kraj,40749,25-29,20768,19981
CZ05,Severovýchod,76422,25-29,39414,37008
CZ051,Liberecký kraj,22201,25-29,11327,10874
CZ052,Královéhradecký kraj,27188,25-29,14117,13071
CZ053,Pardubický kraj,27033,25-29,13970,13063
CZ06,Jihovýchod,87648,25-29,44845,42803
CZ063,Kraj Vysočina,26517,25-29,13741,12776
CZ064,Jihomoravský kraj,61131,25-29,31104,30027
CZ07,Střední Morava,58721,25-29,30132,28589
CZ071,Olomoucký kraj,30747,25-29,15713,15034
CZ072,Zlínský kraj,27974,25-29,14419,13555
CZ08,Moravskoslezsko,58958,25-29,30423,28535
CZ080,Moravskoslezský kraj,58958,25-29,30423,28535
CZ,Czechia,705795,30-34,361878,343917
CZ0,Česko,705795,30-34,361878,343917
CZ01,Praha,104370,30-34,52659,51711
CZ010,Hlavní město Praha,104370,30-34,52659,51711
CZ02,Střední Čechy,90753,30-34,45578,45175
CZ020,Středočeský kraj,90753,30-34,45578,45175
