code,label,total,age,male,female
DK,Denmark,306638,LT5,157540,149098
DK0,Danmark,306638,LT5,157540,149098
DK01,Hovedstaden,104557,LT5,53762,50795
DK011,Byen København,46662,LT5,23884,22778
DK012,Københavns omegn,31965,LT5,16571,15394
DK013,Nordsjælland,24317,LT5,12465,11852
DK014,Bornholm,1613,LT5,842,771
DK02,Sjælland,39665,LT5,20380,19285
DK021,Østsjælland,13846,LT5,7126,6720
DK022,Vest- og Sydsjælland,25819,LT5,13254,12565
DK03,Syddanmark,60489,LT5,31010,29479
DK031,Fyn,24190,LT5,12358,11832
DK032,Sydjylland,36299,LT5,18652,17647
DK04,Midtjylland,73044,LT5,37469,35575
DK041,Vestjylland,21048,LT5,10745,10303
DK042,Østjylland,51996,LT5,26724,25272
DK05,Nordjylland,28883,LT5,14919,13964
DK050,Nordjylland,28883,LT5,14919,13964
DK,Denmark,311109,5-9,159866,151243
DK0,Danmark,311109,5-9,159866,151243
DK01,Hovedstaden,99907,5-9,51135,48772
DK011,Byen København,37213,5-9,19060,18153
DK012,Københavns omegn,33940,5-9,17328,16612
DK013,Nordsjælland,26984,5-9,13822,13162
DK014,Bornholm,1770,5-9,925,845
DK02,Sjælland,43878,5-9,22640,21238
DK021,Østsjælland,15179,5-9,7854,7325
DK022,Vest- og Sydsjælland,28699,5-9,14786,13913
DK03,Syddanmark,64114,5-9,33019,31095
DK031,Fyn,25167,5-9,12998,12169
DK032,Sydjylland,38947,5-9,20021,18926
DK04,Midtjylland,73316,5-9,37773,35543
DK041,Vestjylland,23087,5-9,11936,11151
DK042,Østjylland,50229,5-9,25837,24392
DK05,Nordjylland,29894,5-9,15299,14595
DK050,Nordjylland,29894,5-9,15299,14595
DK,Denmark,320521,10-14,164296,156225
DK0,Danmark,320521,10-14,164296,156225
DK01,Hovedstaden,100487,10-14,51490,48997
DK011,Byen København,35902,10-14,18415,17487
DK012,Københavns omegn,34899,10-14,17892,17007
DK013,Nordsjælland,27822,10-14,14234,13588
DK014,Bornholm,1864,10-14,949,915
DK02,Sjælland,45812,10-14,23474,22338
DK021,Østsjælland,15139,10-14,7755,7384
DK022,Vest- og Sydsjælland,30673,10-14,15719,14954
DK03,Syddanmark,67986,10-14,34853,33133
DK031,Fyn,26249,10-14,13525,12724
DK032,Sydjylland,41737,10-14,21328,20409
DK04,Midtjylland,75259,10-14,38551,36708
DK041,Vestjylland,24929,10-14,12869,12060
DK042,Østjylland,50330,10-14,25682,24648
DK05,Nordjylland,30977,10-14,15928,15049
DK050,Nordjylland,30977,10-14,15928,15049
DK,Denmark,350913,15-19,179755,171158
DK0,Danmark,350913,15-19,179755,171158
DK01,Hovedstaden,104900,15-19,53886,51014
DK011,Byen København,35922,15-19,18153,17769
DK012,Københavns omegn,35613,15-19,18545,17068
DK013,Nordsjælland,31284,15-19,16092,15192
DK014,Bornholm,2081,15-19,1096,985
DK02,Sjælland,52374,15-19,27012,25362
DK021,Østsjælland,17163,15-19,8714,8449
DK022,Vest- og Sydsjælland,35211,15-19,18298,16913
DK03,Syddanmark,75698,15-19,38817,36881
DK031,Fyn,29887,15-19,15314,14573
DK032,Sydjylland,45811,15-19,23503,22308
DK04,Midtjylland,83161,15-19,42131,41030
DK041,Vestjylland,28733,15-19,14476,14257
DK042,Østjylland,54428,15-19,27655,26773
DK05,Nordjylland,34780,15-19,17909,16871
DK050,Nordjylland,34780,15-19,17909,16871
DK,Denmark,375678,20-24,190874,184804
DK0,Danmark,375678,20-24,190874,184804
DK01,Hovedstaden,132571,20-24,65084,67487
DK011,Byen København,76962,20-24,35184,41778
DK012,Københavns omegn,34562,20-24,18369,16193
DK013,Nordsjælland,19786,20-24,10863,8923
DK014,Bornholm,1261,20-24,668,593
DK02,Sjælland,40746,20-24,21842,18904
DK021,Østsjælland,13011,20-24,6826,6185
DK022,Vest- og Sydsjælland,27735,20-24,15016,12719
DK03,Syddanmark,69899,20-24,36457,33442
DK031,Fyn,32707,20-24,16582,16125
DK032,Sydjylland,37192,20-24,19875,17317
DK04,Midtjylland,94928,20-24,47697,47231
DK041,Vestjylland,21882,20-24,11838,10044
DK042,Østjylland,73046,20-24,35859,37187
DK05,Nordjylland,37534,20-24,19794,17740
DK050,Nordjylland,37534,20-24,19794,17740
DK,Denmark,409715,25-29,208974,200741
