code,label,total,age,male,female
EE,Estonia,66025,LT5,33712,32313
EE0,Eesti,66025,LT5,33712,32313
EE00,Eesti,66025,LT5,33712,32313
EE001,Põhja-Eesti,32633,LT5,16627,16006
EE004,Lääne-Eesti,6810,LT5,3498,3312
EE006,Kesk-Eesti (NUTS 2016),:,LT5,:,:
EE007,Kirde-Eesti (NUTS 2016),:,LT5,:,:
EE008,Lõuna-Eesti,16420,LT5,8347,8073
EE009,Kesk-Eesti,5867,LT5,3016,2851
EE00A,Kirde-Eesti,4295,LT5,2224,2071
EE,Estonia,75696,5-9,38941,36755
EE0,Eesti,75696,5-9,38941,36755
EE00,Eesti,75696,5-9,38941,36755
EE001,Põhja-Eesti,37688,5-9,19402,18286
EE004,Lääne-Eesti,7800,5-9,4035,3765
EE006,Kesk-Eesti (NUTS 2016),:,5-9,:,:
EE007,Kirde-Eesti (NUTS 2016),:,5-9,:,:
EE008,Lõuna-Eesti,17715,5-9,9059,8656
EE009,Kesk-Eesti,6621,5-9,3399,3222
EE00A,Kirde-Eesti,5872,5-9,3046,2826
EE,Estonia,78607,10-14,40162,38445
EE0,Eesti,78607,10-14,40162,38445
EE00,Eesti,78607,10-14,40162,38445
EE001,Põhja-Eesti,38037,10-14,19317,18720
EE004,Lääne-Eesti,8429,10-14,4257,4172
EE006,Kesk-Eesti (NUTS 2016),:,10-14,:,:
EE007,Kirde-Eesti (NUTS 2016),:,10-14,:,:
EE008,Lõuna-Eesti,18658,10-14,9681,8977
EE009,Kesk-Eesti,7087,10-14,3607,3480
EE00A,Kirde-Eesti,6396,10-14,3300,3096
EE,Estonia,76419,15-19,39324,37095
EE0,Eesti,76419,15-19,39324,37095
EE00,Eesti,76419,15-19,39324,37095
EE001,Põhja-Eesti,36105,15-19,18576,17529
EE004,Lääne-Eesti,8212,15-19,4212,4000
EE006,Kesk-Eesti (NUTS 2016),:,15-19,:,:
EE007,Kirde-Eesti (NUTS 2016),:,15-19,:,:
EE008,Lõuna-Eesti,17911,15-19,9227,8684
EE009,Kesk-Eesti,7183,15-19,3708,3475
EE00A,Kirde-Eesti,7008,15-19,3601,3407
EE,Estonia,66338,20-24,33363,32975
EE0,Eesti,66338,20-24,33363,32975
EE00,Eesti,66338,20-24,33363,32975
EE001,Põhja-Eesti,29704,20-24,14714,14990
EE004,Lääne-Eesti,7114,20-24,3603,3511
EE006,Kesk-Eesti (NUTS 2016),:,20-24,:,:
EE007,Kirde-Eesti (NUTS 2016),:,20-24,:,:
EE008,Lõuna-Eesti,17011,20-24,8515,8496
EE009,Kesk-Eesti,6182,20-24,3213,2969
EE00A,Kirde-Eesti,6327,20-24,3318,3009
EE,Estonia,69593,25-29,35547,34046
EE0,Eesti,69593,25-29,35547,34046
EE00,Eesti,69593,25-29,35547,34046
EE001,Põhja-Eesti,34786,25-29,17308,17478
EE004,Lääne-Eesti,6882,25-29,3621,3261
EE006,Kesk-Eesti (NUTS 2016),:,25-29,:,:
EE007,Kirde-Eesti (NUTS 2016),:,25-29,:,:
EE008,Lõuna-Eesti,17456,25-29,9006,8450
EE009,Kesk-Eesti,5816,25-29,3086,2730
EE00A,Kirde-Eesti,4653,25-29,2526,2127
EE,Estonia,95552,30-34,49838,45714
EE0,Eesti,95552,30-34,49838,45714
EE00,Eesti,95552,30-34,49838,45714
EE001,Põhja-Eesti,50356,30-34,25507,24849
EE004,Lääne-Eesti,9297,30-34,4886,4411
EE006,Kesk-Eesti (NUTS 2016),:,30-34,:,:
EE007,Kirde-Eesti (NUTS 2016),:,30-34,:,:
EE008,Lõuna-Eesti,22429,30-34,12017,10412
EE009,Kesk-Eesti,7446,30-34,4120,3326
EE00A,Kirde-Eesti,6024,30-34,3308,2716
EE,Estonia,108061,35-39,56174,51887
EE0,Eesti,108061,35-39,56174,51887
EE00,Eesti,108061,35-39,56174,51887
EE001,Põhja-Eesti,58409,35-39,29659,28750
EE004,Lääne-Eesti,10013,35-39,5317,4696
EE006,Kesk-Eesti (NUTS 2016),:,35-39,:,:
EE007,Kirde-Eesti (NUTS 2016),:,35-39,:,:
EE008,Lõuna-Eesti,23151,35-39,12229,10922
EE009,Kesk-Eesti,8068,35-39,4309,3759
EE00A,Kirde-Eesti,8420,35-39,4660,3760
EE,Estonia,98703,40-44,50916,47787
EE0,Eesti,98703,40-44,50916,47787
EE00,Eesti,98703,40-44,50916,47787
EE001,Põhja-Eesti,52479,40-44,26535,25944
EE004,Lääne-Eesti,9112,40-44,4762,4350
EE006,Kesk-Eesti (NUTS 2016),:,40-44,:,:
EE007,Kirde-Eesti (NUTS 2016),:,40-44,:,:
EE008,Lõuna-Eesti,21121,40-44,11126,9995
EE009,Kesk-Eesti,7665,40-44,4101,3564
EE00A,Kirde-Eesti,8326,40-44,4392,3934
EE,Estonia,94227,45-49,47886,46341
EE0,Eesti,94227,45-49,47886,46341
EE00,Eesti,94227,45-49,47886,46341
EE001,Põhja-Eesti,48337,45-49,24467,23870
EE004,Lääne-Eesti,9148,45-49,4697,4451
EE006,Kesk-Eesti (NUTS 2016),:,45-49,:,:
EE007,Kirde-Eesti (NUTS 2016),:,45-49,:,:
EE008,Lõuna-Eesti,20225,45-49,10261,9964
EE009,Kesk-Eesti,7742,45-49,4053,3689
EE00A,Kirde-Eesti,8775,45-49,4408,4367
EE,Estonia,93129,50-54,46318,46811
EE0,Eesti,93129,50-54,46318,46811
EE00,Eesti,93129,50-54,46318,46811
EE001,Põhja-Eesti,42251,50-54,20993,21258
EE004,Lääne-Eesti,10590,50-54,5150,5440
EE006,Kesk-Eesti (NUTS 2016),:,50-54,:,:
EE007,Kirde-Eesti (NUTS 2016),:,50-54,:,:
EE008,Lõuna-Eesti,22143,50-54,11064,11079
EE009,Kesk-Eesti,8632,50-54,4415,4217
EE00A,Kirde-Eesti,9513,50-54,4696,4817
EE,Estonia,83393,55-59,39939,43454
EE0,Eesti,83393,55-59,39939,43454
EE00,Eesti,83393,55-59,39939,43454
EE001,Põhja-Eesti,35268,55-59,16950,18318
EE004,Lääne-Eesti,10393,55-59,4884,5509
EE006,Kesk-Eesti (NUTS 2016),:,55-59,:,:
EE007,Kirde-Eesti (NUTS 2016),:,55-59,:,:
EE008,Lõuna-Eesti,20554,55-59,9997,10557
EE009,Kesk-Eesti,8283,55-59,4015,4268
EE00A,Kirde-Eesti,8895,55-59,4093,4802
EE,Estonia,87483,60-64,39987,47496
EE0,Eesti,87483,60-64,39987,47496
EE00,Eesti,87483,60-64,39987,47496
EE001,Põhja-Eesti,35929,60-64,16054,19875
EE004,Lääne-Eesti,10818,60-64,5062,5756
EE006,Kesk-Eesti (NUTS 2016),:,60-64,:,:
EE007,Kirde-Eesti (NUTS 2016),:,60-64,:,:
EE008,Lõuna-Eesti,20557,60-64,9671,10886
EE009,Kesk-Eesti,8814,60-64,4185,4629
EE00A,Kirde-Eesti,11365,60-64,5015,6350
EE,Estonia,81897,65-69,34651,47246
EE0,Eesti,81897,65-69,34651,47246
EE00,Eesti,81897,65-69,34651,47246
EE001,Põhja-Eesti,33684,65-69,13779,19905
EE004,Lääne-Eesti,9644,65-69,4219,5425
EE006,Kesk-Eesti (NUTS 2016),:,65-69,:,:
EE007,Kirde-Eesti (NUTS 2016),:,65-69,:,:
EE008,Lõuna-Eesti,18929,65-69,8288,10641
EE009,Kesk-Eesti,8275,65-69,3684,4591
EE00A,Kirde-Eesti,11365,65-69,4681,6684
EE,Estonia,70199,70-74,26914,43285
EE0,Eesti,70199,70-74,26914,43285
EE00,Eesti,70199,70-74,26914,43285
EE001,Põhja-Eesti,28720,70-74,10640,18080
EE004,Lääne-Eesti,8175,70-74,3287,4888
EE006,Kesk-Eesti (NUTS 2016),:,70-74,:,:
EE007,Kirde-Eesti (NUTS 2016),:,70-74,:,:
EE008,Lõuna-Eesti,16161,70-74,6512,9649
EE009,Kesk-Eesti,7008,70-74,2746,4262
EE00A,Kirde-Eesti,10135,70-74,3729,6406
EE,Estonia,49875,75-79,17216,32659
EE0,Eesti,49875,75-79,17216,32659
EE00,Eesti,49875,75-79,17216,32659
EE001,Põhja-Eesti,20586,75-79,7025,13561
EE004,Lääne-Eesti,6360,75-79,2229,4131
EE006,Kesk-Eesti (NUTS 2016),:,75-79,:,:
EE007,Kirde-Eesti (NUTS 2016),:,75-79,:,:
EE008,Lõuna-Eesti,12062,75-79,4290,7772
EE009,Kesk-Eesti,5145,75-79,1840,3305
EE00A,Kirde-Eesti,5722,75-79,1832,3890
EE,Estonia,40095,80-84,11864,28231
EE0,Eesti,40095,80-84,11864,28231
EE00,Eesti,40095,80-84,11864,28231
EE001,Põhja-Eesti,15952,80-84,4809,11143
EE004,Lääne-Eesti,5282,80-84,1608,3674
EE006,Kesk-Eesti (NUTS 2016),:,80-84,:,:
EE007,Kirde-Eesti (NUTS 2016),:,80-84,:,:
EE008,Lõuna-Eesti,10501,80-84,3199,7302
EE009,Kesk-Eesti,4102,80-84,1211,2891
EE00A,Kirde-Eesti,4258,80-84,1037,3221
EE,Estonia,26338,85-89,6396,19942
EE0,Eesti,26338,85-89,6396,19942
EE00,Eesti,26338,85-89,6396,19942
EE001,Põhja-Eesti,10535,85-89,2619,7916
EE004,Lääne-Eesti,3247,85-89,758,2489
EE006,Kesk-Eesti (NUTS 2016),:,85-89,:,:
EE007,Kirde-Eesti (NUTS 2016),:,85-89,:,:
EE008,Lõuna-Eesti,6650,85-89,1692,4958
EE009,Kesk-Eesti,2542,85-89,618,1924
EE00A,Kirde-Eesti,3364,85-89,709,2655
EE,Estonia,39395,GE85,8861,30534
EE0,Eesti,39395,GE85,8861,30534
EE00,Eesti,39395,GE85,8861,30534
EE001,Põhja-Eesti,15391,GE85,3611,11780
EE004,Lääne-Eesti,4876,GE85,1055,3821
EE006,Kesk-Eesti (NUTS 2016),:,GE85,:,:
EE007,Kirde-Eesti (NUTS 2016),:,GE85,:,:
EE008,Lõuna-Eesti,10261,GE85,2366,7895
EE009,Kesk-Eesti,3930,GE85,845,3085
EE00A,Kirde-Eesti,4937,GE85,984,3953
