code,label,total,age,male,female
FI,Finland,235606,LT5,120395,115211
FI1,Manner-Suomi,234205,LT5,119704,114501
FI19,Länsi-Suomi,57062,LT5,29187,27875
FI193,Keski-Suomi (NUTS 2021),:,LT5,:,:
FI194,Etelä-Pohjanmaa (NUTS 2021),:,LT5,:,:
FI195,Pohjanmaa (NUTS 2021),:,LT5,:,:
FI196,Satakunta,7702,LT5,3905,3797
FI197,Pirkanmaa (NUTS 2021),:,LT5,:,:
FI198,Keski-Suomi,10693,LT5,5511,5182
FI199,Etelä-Pohjanmaa,7863,LT5,3993,3870
FI19A,Pohjanmaa,8365,LT5,4309,4056
FI19B,Pirkanmaa,22439,LT5,11469,10970
FI1B,Helsinki-Uusimaa,83214,LT5,42625,40589
FI1B1,Helsinki-Uusimaa,83214,LT5,42625,40589
FI1C,Etelä-Suomi,42551,LT5,21822,20729
FI1C1,Varsinais-Suomi,19918,LT5,10274,9644
FI1C2,Kanta-Häme,6275,LT5,3202,3073
FI1C3,Päijät-Häme (NUTS 2021),:,LT5,:,:
FI1C4,Kymenlaakso (NUTS 2021),:,LT5,:,:
FI1C5,Etelä-Karjala,3954,LT5,2018,1936
FI1C6,Päijät-Häme,7471,LT5,3805,3666
FI1C7,Kymenlaakso,4933,LT5,2523,2410
FI1D,Pohjois- ja Itä-Suomi,51378,LT5,26070,25308
FI1D1,Etelä-Savo (NUTS 2021),:,LT5,:,:
FI1D2,Pohjois-Savo (NUTS 2021),:,LT5,:,:
FI1D3,Pohjois-Karjala (NUTS 2021),:,LT5,:,:
FI1D5,Keski-Pohjanmaa,3268,LT5,1659,1609
FI1D7,Lappi,6845,LT5,3460,3385
FI1D8,Kainuu,2358,LT5,1200,1158
FI1D9,Pohjois-Pohjanmaa,20067,LT5,10197,9870
FI1DA,Etelä-Savo,3910,LT5,1947,1963
FI1DB,Pohjois-Savo,9392,LT5,4761,4631
FI1DC,Pohjois-Karjala,5538,LT5,2846,2692
FI2,Åland,1401,LT5,691,710
FI20,Åland,1401,LT5,691,710
FI200,Åland,1401,LT5,691,710
FI,Finland,278318,5-9,142306,136012
FI1,Manner-Suomi,276609,5-9,141441,135168
FI19,Länsi-Suomi,68967,5-9,35336,33631
FI193,Keski-Suomi (NUTS 2021),:,5-9,:,:
FI194,Etelä-Pohjanmaa (NUTS 2021),:,5-9,:,:
FI195,Pohjanmaa (NUTS 2021),:,5-9,:,:
FI196,Satakunta,9818,5-9,4948,4870
FI197,Pirkanmaa (NUTS 2021),:,5-9,:,:
FI198,Keski-Suomi,13331,5-9,6821,6510
FI199,Etelä-Pohjanmaa,10103,5-9,5152,4951
FI19A,Pohjanmaa,9779,5-9,5112,4667
FI19B,Pirkanmaa,25936,5-9,13303,12633
FI1B,Helsinki-Uusimaa,91880,5-9,47081,44799
FI1B1,Helsinki-Uusimaa,91880,5-9,47081,44799
FI1C,Etelä-Suomi,52106,5-9,26675,25431
FI1C1,Varsinais-Suomi,23174,5-9,11839,11335
FI1C2,Kanta-Häme,7915,5-9,4103,3812
FI1C3,Päijät-Häme (NUTS 2021),:,5-9,:,:
FI1C4,Kymenlaakso (NUTS 2021),:,5-9,:,:
FI1C5,Etelä-Karjala,5244,5-9,2733,2511
FI1C6,Päijät-Häme,9207,5-9,4730,4477
FI1C7,Kymenlaakso,6566,5-9,3270,3296
FI1D,Pohjois- ja Itä-Suomi,63656,5-9,32349,31307
FI1D1,Etelä-Savo (NUTS 2021),:,5-9,:,:
FI1D2,Pohjois-Savo (NUTS 2021),:,5-9,:,:
FI1D3,Pohjois-Karjala (NUTS 2021),:,5-9,:,:
FI1D5,Keski-Pohjanmaa,4135,5-9,2098,2037
FI1D7,Lappi,8143,5-9,4126,4017
FI1D8,Kainuu,3119,5-9,1601,1518
FI1D9,Pohjois-Pohjanmaa,24353,5-9,12438,11915
FI1DA,Etelä-Savo,5188,5-9,2579,2609
FI1DB,Pohjois-Savo,11524,5-9,5827,5697
