code,label,total,age,male,female
FR,France,3446636,LT5,1762357,1684279
FR1,Ile de France,712461,LT5,363545,348916
FR10,Ile de France,712461,LT5,363545,348916
FR101,Paris,83279,LT5,42476,40803
FR102,Seine-et-Marne,89052,LT5,45685,43367
FR103,Yvelines,87330,LT5,44343,42987
FR104,Essonne,83465,LT5,42406,41059
FR105,Hauts-de-Seine,91552,LT5,47033,44519
FR106,Seine-Saint-Denis,112581,LT5,57658,54923
FR107,Val-de-Marne,81271,LT5,41071,40200
FR108,Val-d'Oise,83931,LT5,42873,41058
FRB,Centre — Val de Loire,125455,LT5,64811,60644
FRB0,Centre — Val de Loire,125455,LT5,64811,60644
FRB01,Cher,13232,LT5,6814,6418
FRB02,Eure-et-Loir,22674,LT5,11884,10790
FRB03,Indre,8912,LT5,4658,4254
FRB04,Indre-et-Loire,29132,LT5,15026,14106
FRB05,Loir-et-Cher,14952,LT5,7586,7366
FRB06,Loiret,36553,LT5,18843,17710
FRC,Bourgogne-Franche-Comté,126977,LT5,64890,62087
FRC1,Bourgogne,71669,LT5,36797,34872
FRC11,Côte-d’Or,24821,LT5,12902,11919
FRC12,Nièvre,7711,LT5,3844,3867
FRC13,Saône-et-Loire,23928,LT5,12339,11589
FRC14,Yonne,15209,LT5,7712,7497
FRC2,Franche-Comté,55308,LT5,28093,27215
FRC21,Doubs,27160,LT5,13789,13371
FRC22,Jura,11639,LT5,5840,5799
FRC23,Haute-Saône,9952,LT5,5082,4870
FRC24,Territoire de Belfort,6557,LT5,3382,3175
FRD,Normandie,163104,LT5,83439,79665
FRD1,Basse-Normandie,67282,LT5,34601,32681
FRD11,Calvados,32941,LT5,16861,16080
FRD12,Manche,22538,LT5,11518,11020
FRD13,Orne,11803,LT5,6222,5581
FRD2,Haute-Normandie,95822,LT5,48838,46984
FRD21,Eure,31464,LT5,16185,15279
FRD22,Seine-Maritime,64358,LT5,32653,31705
FRE,Hauts-de-France,311771,LT5,158894,152877
FRE1,Nord-Pas de Calais,212437,LT5,108582,103855
FRE11,Nord,138478,LT5,71009,67469
FRE12,Pas-de-Calais,73959,LT5,37573,36386
FRE2,Picardie,99334,LT5,50312,49022
FRE21,Aisne,26385,LT5,13500,12885
FRE22,Oise,46151,LT5,23260,22891
FRE23,Somme,26798,LT5,13552,13246
FRF,Grand Est,257180,LT5,131178,126002
FRF1,Alsace,90278,LT5,45906,44372
FRF11,Bas-Rhin,55079,LT5,27919,27160
FRF12,Haut-Rhin,35199,LT5,17987,17212
FRF2,Champagne-Ardenne,62177,LT5,31637,30540
FRF21,Ardennes,12740,LT5,6533,6207
FRF22,Aube,15461,LT5,7935,7526
FRF23,Marne,26773,LT5,13508,13265
FRF24,Haute-Marne,7203,LT5,3661,3542
FRF3,Lorraine,104725,LT5,53635,51090
FRF31,Meurthe-et-Moselle,33192,LT5,17048,16144
FRF32,Meuse,7752,LT5,4018,3734
FRF33,Moselle,48840,LT5,24962,23878
FRF34,Vosges,14941,LT5,7607,7334
FRG,Pays de la Loire,193996,LT5,100029,93967
FRG0,Pays de la Loire,193996,LT5,100029,93967
FRG01,Loire-Atlantique,78903,LT5,40761,38142
FRG02,Maine-et-Loire,42142,LT5,21569,20573
FRG03,Mayenne,14698,LT5,7509,7189
FRG04,Sarthe,28129,LT5,14482,13647
FRG05,Vendée,30124,LT5,15708,14416
FRH,Bretagne,159144,LT5,81837,77307
FRH0,Bretagne,159144,LT5,81837,77307
FRH01,Côtes-d’Armor,26722,LT5,13768,12954
FRH02,Finistère,40589,LT5,20988,19601
FRH03,Ille-et-Vilaine,57679,LT5,29370,28309
FRH04,Morbihan,34154,LT5,17711,16443
