code,label,total,age,male,female
DE,Germany,3791359,LT5,1944270,1847089
DE1,Baden-Württemberg,542346,LT5,277473,264873
DE11,Stuttgart,204356,LT5,104565,99791
DE111,"Stuttgart, Stadtkreis",27671,LT5,14206,13465
DE112,Böblingen,20470,LT5,10482,9988
DE113,Esslingen,25945,LT5,13223,12722
DE114,Göppingen,12544,LT5,6353,6191
DE115,Ludwigsburg,27172,LT5,13981,13191
DE116,Rems-Murr-Kreis,21277,LT5,10767,10510
DE117,"Heilbronn, Stadtkreis",6526,LT5,3342,3184
DE118,"Heilbronn, Landkreis",18593,LT5,9595,8998
DE119,Hohenlohekreis,5859,LT5,2990,2869
DE11A,Schwäbisch Hall,10293,LT5,5161,5132
DE11B,Main-Tauber-Kreis,6156,LT5,3207,2949
DE11C,Heidenheim,6318,LT5,3216,3102
DE11D,Ostalbkreis,15532,LT5,8042,7490
DE12,Karlsruhe,130734,LT5,66872,63862
DE121,"Baden-Baden, Stadtkreis",2287,LT5,1152,1135
DE122,"Karlsruhe, Stadtkreis",12494,LT5,6507,5987
DE123,"Karlsruhe, Landkreis",21116,LT5,10833,10283
DE124,Rastatt,10650,LT5,5417,5233
DE125,"Heidelberg, Stadtkreis",6534,LT5,3292,3242
DE126,"Mannheim, Stadtkreis",14171,LT5,7191,6980
DE127,Neckar-Odenwald-Kreis,6712,LT5,3492,3220
DE128,Rhein-Neckar-Kreis,25575,LT5,13103,12472
DE129,"Pforzheim, Stadtkreis",7150,LT5,3695,3455
DE12A,Calw,8119,LT5,4095,4024
DE12B,Enzkreis,10121,LT5,5102,5019
DE12C,Freudenstadt,5805,LT5,2993,2812
DE13,Freiburg,113167,LT5,58088,55079
DE131,"Freiburg im Breisgau, Stadtkreis",11093,LT5,5769,5324
DE132,Breisgau-Hochschwarzwald,13316,LT5,6829,6487
DE133,Emmendingen,8451,LT5,4312,4139
DE134,Ortenaukreis,21525,LT5,11026,10499
DE135,Rottweil,7353,LT5,3852,3501
DE136,Schwarzwald-Baar-Kreis,10696,LT5,5395,5301
