code,label,total,age,male,female
EL,Greece,396199,LT5,203662,192537
EL3,Attiki,144233,LT5,73647,70586
EL30,Attiki,144233,LT5,73647,70586
EL301,Voreios Tomeas Athinon,22452,LT5,11343,11109
EL302,Dytikos Tomeas Athinon,18502,LT5,9513,8989
EL303,Kentrikos Tomeas Athinon,33550,LT5,17415,16135
EL304,Notios Tomeas Athinon,19065,LT5,9754,9311
EL305,Anatoliki Attiki,22298,LT5,11204,11094
EL306,Dytiki Attiki,8778,LT5,4405,4373
EL307,"Peiraias, Nisoi",19588,LT5,10013,9575
EL4,"Nisia Aigaiou, Kriti",53382,LT5,27637,25745
EL41,Voreio Aigaio,8076,LT5,4230,3846
EL411,"Lesvos, Limnos",4535,LT5,2362,2173
EL412,"Ikaria, Samos",1540,LT5,835,705
EL413,Chios,2001,LT5,1033,968
EL42,Notio Aigaio,15632,LT5,8020,7612
EL421,"Kalymnos, Karpathos – Iroiki Nisos Kasos, Kos, Rodos",9745,LT5,5016,4729
EL422,"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",5887,LT5,3004,2883
EL43,Kriti,29674,LT5,15387,14287
EL431,Irakleio,14649,LT5,7545,7104
EL432,Lasithi,3065,LT5,1657,1408
EL433,Rethymni,4451,LT5,2314,2137
EL434,Chania,7509,LT5,3871,3638
EL5,Voreia Elláda,103648,LT5,53070,50578
EL51,"Anatoliki Makedonia, Thraki",20545,LT5,10638,9907
EL511,Evros,4735,LT5,2503,2232
EL512,Xanthi,4658,LT5,2401,2257
EL513,Rodopi,3395,LT5,1782,1613
EL514,Drama,3184,LT5,1653,1531
EL515,"Thasos, Kavala",4573,LT5,2299,2274
EL52,Kentriki Makedonia,64211,LT5,32802,31409
EL521,Imathia,4715,LT5,2452,2263
EL522,Thessaloniki,39817,LT5,20343,19474
EL523,Kilkis,2325,LT5,1193,1132
EL524,Pella,4442,LT5,2210,2232
EL525,Pieria,4246,LT5,2117,2129
EL526,Serres,4822,LT5,2514,2308
EL527,Chalkidiki,3844,LT5,1973,1871
EL53,Dytiki Makedonia,7928,LT5,4115,3813
EL531,"Grevena, Kozani",5175,LT5,2703,2472
EL532,Kastoria,1315,LT5,682,633
EL533,Florina,1438,LT5,730,708
EL54,Ipeiros,10964,LT5,5515,5449
EL541,"Arta, Preveza",3711,LT5,1897,1814
EL542,Thesprotia,1382,LT5,681,701
EL543,Ioannina,5871,LT5,2937,2934
EL6,Kentriki Elláda,94936,LT5,49308,45628
EL61,Thessalia,24794,LT5,12923,11871
EL611,"Karditsa, Trikala",7469,LT5,3893,3576
EL612,Larisa,10351,LT5,5429,4922
EL613,"Magnisia, Sporades",6974,LT5,3601,3373
EL62,Ionia Nisia,8166,LT5,4240,3926
EL621,Zakynthos,2004,LT5,1033,971
EL622,Kerkyra,3816,LT5,1976,1840
EL623,"Ithaki, Kefallinia",1411,LT5,741,670
EL624,Lefkada,935,LT5,490,445
EL63,Dytiki Elláda,24555,LT5,12646,11909
EL631,Aitoloakarnania,7342,LT5,3774,3568
EL632,Achaia,11966,LT5,6095,5871
EL633,Ileia,5247,LT5,2777,2470
EL64,Sterea Elláda,18136,LT5,9505,8631
EL641,Voiotia,4235,LT5,2275,1960
EL642,Evvoia,8151,LT5,4205,3946
EL643,Evrytania,454,LT5,232,222
EL644,Fthiotida,4363,LT5,2309,2054
EL645,Fokida,933,LT5,484,449
EL65,Peloponnisos,19285,LT5,9994,9291
EL651,"Argolida, Arkadia",5898,LT5,3092,2806
EL652,Korinthia,5292,LT5,2754,2538
EL653,"Lakonia, Messinia",8095,LT5,4148,3947
EL,Greece,449370,5-9,231457,217913
EL3,Attiki,161061,5-9,82884,78177
EL30,Attiki,161061,5-9,82884,78177
EL301,Voreios Tomeas Athinon,27656,5-9,14198,13458
EL302,Dytikos Tomeas Athinon,20189,5-9,10478,9711
EL303,Kentrikos Tomeas Athinon,35174,5-9,18120,17054
EL304,Notios Tomeas Athinon,21888,5-9,11092,10796
EL305,Anatoliki Attiki,25545,5-9,13102,12443
EL306,Dytiki Attiki,9061,5-9,4719,4342
EL307,"Peiraias, Nisoi",21548,5-9,11175,10373
EL4,"Nisia Aigaiou, Kriti",56878,5-9,29501,27377
EL41,Voreio Aigaio,8962,5-9,4734,4228
EL411,"Lesvos, Limnos",5072,5-9,2665,2407
EL412,"Ikaria, Samos",1679,5-9,859,820
EL413,Chios,2211,5-9,1210,1001
EL42,Notio Aigaio,16514,5-9,8628,7886
EL421,"Kalymnos, Karpathos – Iroiki Nisos Kasos, Kos, Rodos",10524,5-9,5501,5023
EL422,"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",5990,5-9,3127,2863
EL43,Kriti,31402,5-9,16139,15263
EL431,Irakleio,15484,5-9,7960,7524
EL432,Lasithi,3445,5-9,1768,1677
EL433,Rethymni,4536,5-9,2347,2189
EL434,Chania,7937,5-9,4064,3873
EL5,Voreia Elláda,122593,5-9,62905,59688
EL51,"Anatoliki Makedonia, Thraki",24213,5-9,12513,11700
EL511,Evros,5739,5-9,2944,2795
EL512,Xanthi,5328,5-9,2736,2592
EL513,Rodopi,4054,5-9,2165,1889
EL514,Drama,3744,5-9,1956,1788
EL515,"Thasos, Kavala",5348,5-9,2712,2636
EL52,Kentriki Makedonia,75575,5-9,38688,36887
EL521,Imathia,5493,5-9,2869,2624
EL522,Thessaloniki,46862,5-9,23853,23009
EL523,Kilkis,2839,5-9,1425,1414
EL524,Pella,5229,5-9,2712,2517
EL525,Pieria,5063,5-9,2608,2455
EL526,Serres,5696,5-9,2968,2728
EL527,Chalkidiki,4393,5-9,2253,2140
EL53,Dytiki Makedonia,9757,5-9,4988,4769
EL531,"Grevena, Kozani",6263,5-9,3152,3111
EL532,Kastoria,1659,5-9,856,803
EL533,Florina,1835,5-9,980,855
EL54,Ipeiros,13048,5-9,6716,6332
EL541,"Arta, Preveza",4523,5-9,2332,2191
EL542,Thesprotia,1610,5-9,831,779
EL543,Ioannina,6915,5-9,3553,3362
EL6,Kentriki Elláda,108838,5-9,56167,52671
EL61,Thessalia,29056,5-9,15029,14027
EL611,"Karditsa, Trikala",8895,5-9,4596,4299
EL612,Larisa,12198,5-9,6379,5819
EL613,"Magnisia, Sporades",7963,5-9,4054,3909
EL62,Ionia Nisia,9184,5-9,4814,4370
EL621,Zakynthos,2069,5-9,1086,983
EL622,Kerkyra,4314,5-9,2240,2074
EL623,"Ithaki, Kefallinia",1767,5-9,959,808
EL624,Lefkada,1034,5-9,529,505
EL63,Dytiki Elláda,27479,5-9,14133,13346
EL631,Aitoloakarnania,8055,5-9,4158,3897
EL632,Achaia,13442,5-9,6937,6505
EL633,Ileia,5982,5-9,3038,2944
EL64,Sterea Elláda,21500,5-9,11104,10396
EL641,Voiotia,5025,5-9,2644,2381
EL642,Evvoia,9527,5-9,4909,4618
EL643,Evrytania,554,5-9,286,268
EL644,Fthiotida,5111,5-9,2593,2518
EL645,Fokida,1283,5-9,672,611
EL65,Peloponnisos,21619,5-9,11087,10532
EL651,"Argolida, Arkadia",6851,5-9,3561,3290
EL652,Korinthia,5999,5-9,3110,2889
EL653,"Lakonia, Messinia",8769,5-9,4416,4353
EL,Greece,513950,10-14,264464,249486
EL3,Attiki,181102,10-14,92915,88187
EL30,Attiki,181102,10-14,92915,88187
EL301,Voreios Tomeas Athinon,31217,10-14,16056,15161
EL302,Dytikos Tomeas Athinon,22380,10-14,11387,10993
EL303,Kentrikos Tomeas Athinon,38129,10-14,19728,18401
EL304,Notios Tomeas Athinon,24821,10-14,12658,12163
EL305,Anatoliki Attiki,30769,10-14,15801,14968
EL306,Dytiki Attiki,9861,10-14,5034,4827
EL307,"Peiraias, Nisoi",23925,10-14,12251,11674
EL4,"Nisia Aigaiou, Kriti",61669,10-14,31741,29928
EL41,Voreio Aigaio,9838,10-14,5207,4631
EL411,"Lesvos, Limnos",5524,10-14,2945,2579
EL412,"Ikaria, Samos",1791,10-14,961,830
EL413,Chios,2523,10-14,1301,1222
EL42,Notio Aigaio,17597,10-14,8966,8631
EL421,"Kalymnos, Karpathos – Iroiki Nisos Kasos, Kos, Rodos",11046,10-14,5624,5422
EL422,"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",6551,10-14,3342,3209
EL43,Kriti,34234,10-14,17568,16666
EL431,Irakleio,17028,10-14,8712,8316
EL432,Lasithi,3848,10-14,1937,1911
EL433,Rethymni,4901,10-14,2520,2381
EL434,Chania,8457,10-14,4399,4058
EL5,Voreia Elláda,145465,10-14,74753,70712
EL51,"Anatoliki Makedonia, Thraki",27869,10-14,14424,13445
EL511,Evros,6544,10-14,3434,3110
EL512,Xanthi,6235,10-14,3197,3038
EL513,Rodopi,4642,10-14,2437,2205
EL514,Drama,4195,10-14,2166,2029
EL515,"Thasos, Kavala",6253,10-14,3190,3063
EL52,Kentriki Makedonia,90575,10-14,46388,44187
EL521,Imathia,6956,10-14,3596,3360
EL522,Thessaloniki,55353,10-14,28311,27042
EL523,Kilkis,3601,10-14,1815,1786
EL524,Pella,6352,10-14,3273,3079
EL525,Pieria,6255,10-14,3246,3009
EL526,Serres,6779,10-14,3538,3241
EL527,Chalkidiki,5279,10-14,2609,2670
EL53,Dytiki Makedonia,11713,10-14,5999,5714
EL531,"Grevena, Kozani",7604,10-14,3897,3707
EL532,Kastoria,1985,10-14,1025,960
EL533,Florina,2124,10-14,1077,1047
EL54,Ipeiros,15308,10-14,7942,7366
EL541,"Arta, Preveza",5393,10-14,2815,2578
EL542,Thesprotia,1888,10-14,934,954
EL543,Ioannina,8027,10-14,4193,3834
EL6,Kentriki Elláda,125714,10-14,65055,60659
EL61,Thessalia,34280,10-14,17587,16693
EL611,"Karditsa, Trikala",10385,10-14,5344,5041
EL612,Larisa,14625,10-14,7563,7062
EL613,"Magnisia, Sporades",9270,10-14,4680,4590
EL62,Ionia Nisia,10048,10-14,5183,4865
EL621,Zakynthos,2119,10-14,1104,1015
EL622,Kerkyra,4815,10-14,2543,2272
EL623,"Ithaki, Kefallinia",1934,10-14,962,972
EL624,Lefkada,1180,10-14,574,606
EL63,Dytiki Elláda,32132,10-14,16644,15488
EL631,Aitoloakarnania,9443,10-14,4882,4561
EL632,Achaia,15596,10-14,8037,7559
EL633,Ileia,7093,10-14,3725,3368
EL64,Sterea Elláda,24400,10-14,12753,11647
EL641,Voiotia,5496,10-14,2926,2570
EL642,Evvoia,10600,10-14,5601,4999
EL643,Evrytania,653,10-14,324,329
EL644,Fthiotida,6239,10-14,3163,3076
EL645,Fokida,1412,10-14,739,673
EL65,Peloponnisos,24854,10-14,12888,11966
EL651,"Argolida, Arkadia",7889,10-14,4108,3781
EL652,Korinthia,6824,10-14,3525,3299
EL653,"Lakonia, Messinia",10141,10-14,5255,4886
EL,Greece,547699,15-19,286149,261550
EL3,Attiki,192417,15-19,99843,92574
EL30,Attiki,192417,15-19,99843,92574
EL301,Voreios Tomeas Athinon,29877,15-19,15316,14561
EL302,Dytikos Tomeas Athinon,24489,15-19,12562,11927
EL303,Kentrikos Tomeas Athinon,43976,15-19,22858,21118
EL304,Notios Tomeas Athinon,25393,15-19,13001,12392
EL305,Anatoliki Attiki,32678,15-19,17363,15315
EL306,Dytiki Attiki,10196,15-19,5312,4884
EL307,"Peiraias, Nisoi",25808,15-19,13431,12377
EL4,"Nisia Aigaiou, Kriti",63987,15-19,34091,29896
EL41,Voreio Aigaio,11387,15-19,6775,4612
EL411,"Lesvos, Limnos",6459,15-19,3931,2528
EL412,"Ikaria, Samos",2135,15-19,1284,851
EL413,Chios,2793,15-19,1560,1233
EL42,Notio Aigaio,17420,15-19,9358,8062
EL421,"Kalymnos, Karpathos – Iroiki Nisos Kasos, Kos, Rodos",11677,15-19,6412,5265
EL422,"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",5743,15-19,2946,2797
EL43,Kriti,35180,15-19,17958,17222
EL431,Irakleio,17471,15-19,8986,8485
EL432,Lasithi,3753,15-19,1901,1852
EL433,Rethymni,5650,15-19,2707,2943
EL434,Chania,8306,15-19,4364,3942
EL5,Voreia Elláda,160233,15-19,83401,76832
EL51,"Anatoliki Makedonia, Thraki",32425,15-19,17360,15065
EL511,Evros,7867,15-19,4493,3374
EL512,Xanthi,7061,15-19,3858,3203
EL513,Rodopi,6936,15-19,3345,3591
EL514,Drama,4406,15-19,2479,1927
EL515,"Thasos, Kavala",6155,15-19,3185,2970
EL52,Kentriki Makedonia,97988,15-19,50532,47456
EL521,Imathia,7408,15-19,4005,3403
EL522,Thessaloniki,61619,15-19,31115,30504
EL523,Kilkis,3677,15-19,2007,1670
EL524,Pella,6009,15-19,3110,2899
EL525,Pieria,6173,15-19,3178,2995
EL526,Serres,7700,15-19,4293,3407
EL527,Chalkidiki,5402,15-19,2824,2578
EL53,Dytiki Makedonia,12689,15-19,6531,6158
EL531,"Grevena, Kozani",8219,15-19,4280,3939
EL532,Kastoria,2055,15-19,1091,964
EL533,Florina,2415,15-19,1160,1255
EL54,Ipeiros,17131,15-19,8978,8153
EL541,"Arta, Preveza",5400,15-19,2933,2467
EL542,Thesprotia,1800,15-19,977,823
EL543,Ioannina,9931,15-19,5068,4863
EL6,Kentriki Elláda,131062,15-19,68814,62248
EL61,Thessalia,36346,15-19,18984,17362
EL611,"Karditsa, Trikala",10718,15-19,5565,5153
EL612,Larisa,15303,15-19,8131,7172
EL613,"Magnisia, Sporades",10325,15-19,5288,5037
EL62,Ionia Nisia,9864,15-19,5115,4749
EL621,Zakynthos,2156,15-19,1084,1072
EL622,Kerkyra,4732,15-19,2475,2257
EL623,"Ithaki, Kefallinia",1882,15-19,991,891
EL624,Lefkada,1094,15-19,565,529
EL63,Dytiki Elláda,34806,15-19,18115,16691
EL631,Aitoloakarnania,9441,15-19,4897,4544
EL632,Achaia,18170,15-19,9466,8704
EL633,Ileia,7195,15-19,3752,3443
EL64,Sterea Elláda,24501,15-19,13188,11313
EL641,Voiotia,5459,15-19,3005,2454
EL642,Evvoia,10593,15-19,5780,4813
EL643,Evrytania,587,15-19,308,279
EL644,Fthiotida,6406,15-19,3345,3061
EL645,Fokida,1456,15-19,750,706
EL65,Peloponnisos,25545,15-19,13412,12133
EL651,"Argolida, Arkadia",7815,15-19,4100,3715
EL652,Korinthia,7026,15-19,3758,3268
EL653,"Lakonia, Messinia",10704,15-19,5554,5150
EL,Greece,533331,20-24,279864,253467
EL3,Attiki,186816,20-24,95802,91014
EL30,Attiki,186816,20-24,95802,91014
EL301,Voreios Tomeas Athinon,26183,20-24,13264,12919
EL302,Dytikos Tomeas Athinon,23572,20-24,11689,11883
EL303,Kentrikos Tomeas Athinon,50130,20-24,25421,24709
EL304,Notios Tomeas Athinon,23709,20-24,11805,11904
EL305,Anatoliki Attiki,29079,20-24,15813,13266
EL306,Dytiki Attiki,9149,20-24,4873,4276
EL307,"Peiraias, Nisoi",24994,20-24,12937,12057
EL4,"Nisia Aigaiou, Kriti",63536,20-24,36348,27188
EL41,Voreio Aigaio,13694,20-24,9280,4414
EL411,"Lesvos, Limnos",7358,20-24,5016,2342
EL412,"Ikaria, Samos",3292,20-24,2320,972
EL413,Chios,3044,20-24,1944,1100
EL42,Notio Aigaio,17203,20-24,10210,6993
EL421,"Kalymnos, Karpathos – Iroiki Nisos Kasos, Kos, Rodos",12702,20-24,7915,4787
EL422,"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",4501,20-24,2295,2206
EL43,Kriti,32639,20-24,16858,15781
EL431,Irakleio,15934,20-24,8166,7768
EL432,Lasithi,3310,20-24,1767,1543
EL433,Rethymni,5850,20-24,2700,3150
EL434,Chania,7545,20-24,4225,3320
EL5,Voreia Elláda,159284,20-24,82530,76754
EL51,"Anatoliki Makedonia, Thraki",35550,20-24,20386,15164
EL511,Evros,9936,20-24,6810,3126
EL512,Xanthi,6871,20-24,3855,3016
EL513,Rodopi,8962,20-24,4354,4608
EL514,Drama,4438,20-24,2554,1884
EL515,"Thasos, Kavala",5343,20-24,2813,2530
EL52,Kentriki Makedonia,94496,20-24,47453,47043
EL521,Imathia,6246,20-24,3390,2856
EL522,Thessaloniki,63131,20-24,30505,32626
EL523,Kilkis,3254,20-24,1896,1358
EL524,Pella,4963,20-24,2505,2458
EL525,Pieria,5174,20-24,2783,2391
EL526,Serres,7558,20-24,4309,3249
EL527,Chalkidiki,4170,20-24,2065,2105
EL53,Dytiki Makedonia,12299,20-24,6414,5885
EL531,"Grevena, Kozani",7855,20-24,4235,3620
EL532,Kastoria,1852,20-24,1022,830
EL533,Florina,2592,20-24,1157,1435
EL54,Ipeiros,16939,20-24,8277,8662
EL541,"Arta, Preveza",4574,20-24,2426,2148
EL542,Thesprotia,1413,20-24,690,723
EL543,Ioannina,10952,20-24,5161,5791
EL6,Kentriki Elláda,123695,20-24,65184,58511
EL61,Thessalia,33160,20-24,17036,16124
EL611,"Karditsa, Trikala",9722,20-24,4841,4881
EL612,Larisa,13179,20-24,6917,6262
EL613,"Magnisia, Sporades",10259,20-24,5278,4981
EL62,Ionia Nisia,7630,20-24,3790,3840
EL621,Zakynthos,1540,20-24,751,789
EL622,Kerkyra,3713,20-24,1859,1854
EL623,"Ithaki, Kefallinia",1613,20-24,780,833
EL624,Lefkada,764,20-24,400,364
EL63,Dytiki Elláda,37244,20-24,19387,17857
EL631,Aitoloakarnania,8038,20-24,4013,4025
EL632,Achaia,22126,20-24,11345,10781
EL633,Ileia,7080,20-24,4029,3051
EL64,Sterea Elláda,22714,20-24,12615,10099
EL641,Voiotia,5125,20-24,3096,2029
EL642,Evvoia,9844,20-24,5558,4286
EL643,Evrytania,672,20-24,330,342
EL644,Fthiotida,5635,20-24,2920,2715
EL645,Fokida,1438,20-24,711,727
EL65,Peloponnisos,22947,20-24,12356,10591
EL651,"Argolida, Arkadia",6718,20-24,3479,3239
EL652,Korinthia,6063,20-24,3308,2755
EL653,"Lakonia, Messinia",10166,20-24,5569,4597
EL,Greece,521570,25-29,272930,248640
EL3,Attiki,194606,25-29,98438,96168
EL30,Attiki,194606,25-29,98438,96168
EL301,Voreios Tomeas Athinon,25687,25-29,12684,13003
EL302,Dytikos Tomeas Athinon,24755,25-29,12384,12371
EL303,Kentrikos Tomeas Athinon,58703,25-29,29162,29541
EL304,Notios Tomeas Athinon,24984,25-29,12381,12603
EL305,Anatoliki Attiki,24935,25-29,13208,11727
EL306,Dytiki Attiki,9234,25-29,5019,4215
EL307,"Peiraias, Nisoi",26308,25-29,13600,12708
EL4,"Nisia Aigaiou, Kriti",60643,25-29,33309,27334
EL41,Voreio Aigaio,11310,25-29,7065,4245
EL411,"Lesvos, Limnos",6307,25-29,3982,2325
EL412,"Ikaria, Samos",2337,25-29,1531,806
EL413,Chios,2666,25-29,1552,1114
EL42,Notio Aigaio,17171,25-29,9528,7643
EL421,"Kalymnos, Karpathos – Iroiki Nisos Kasos, Kos, Rodos",12159,25-29,7025,5134
EL422,"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",5012,25-29,2503,2509
EL43,Kriti,32162,25-29,16716,15446
EL431,Irakleio,15772,25-29,7959,7813
EL432,Lasithi,3845,25-29,2162,1683
EL433,Rethymni,4703,25-29,2386,2317
EL434,Chania,7842,25-29,4209,3633
EL5,Voreia Elláda,148255,25-29,77468,70787
EL51,"Anatoliki Makedonia, Thraki",29049,25-29,16194,12855
EL511,Evros,7542,25-29,4723,2819
EL512,Xanthi,5891,25-29,3094,2797
EL513,Rodopi,5157,25-29,2777,2380
EL514,Drama,4693,25-29,2576,2117
EL515,"Thasos, Kavala",5766,25-29,3024,2742
EL52,Kentriki Makedonia,93590,25-29,47694,45896
EL521,Imathia,6260,25-29,3360,2900
EL522,Thessaloniki,60387,25-29,29736,30651
EL523,Kilkis,3251,25-29,1870,1381
EL524,Pella,5787,25-29,3034,2753
EL525,Pieria,5588,25-29,3008,2580
EL526,Serres,7539,25-29,4191,3348
EL527,Chalkidiki,4778,25-29,2495,2283
EL53,Dytiki Makedonia,11139,25-29,5947,5192
EL531,"Grevena, Kozani",7117,25-29,3833,3284
EL532,Kastoria,1879,25-29,1023,856
EL533,Florina,2143,25-29,1091,1052
EL54,Ipeiros,14477,25-29,7633,6844
EL541,"Arta, Preveza",4622,25-29,2419,2203
EL542,Thesprotia,1587,25-29,820,767
EL543,Ioannina,8268,25-29,4394,3874
EL6,Kentriki Elláda,118066,25-29,63715,54351
EL61,Thessalia,31794,25-29,16604,15190
EL611,"Karditsa, Trikala",9832,25-29,5205,4627
EL612,Larisa,13179,25-29,6930,6249
EL613,"Magnisia, Sporades",8783,25-29,4469,4314
EL62,Ionia Nisia,8326,25-29,4159,4167
EL621,Zakynthos,1822,25-29,893,929
EL622,Kerkyra,4066,25-29,2037,2029
EL623,"Ithaki, Kefallinia",1613,25-29,800,813
EL624,Lefkada,825,25-29,429,396
EL63,Dytiki Elláda,32097,25-29,17506,14591
EL631,Aitoloakarnania,8382,25-29,4419,3963
EL632,Achaia,15380,25-29,7920,7460
EL633,Ileia,8335,25-29,5167,3168
EL64,Sterea Elláda,22822,25-29,12668,10154
EL641,Voiotia,5154,25-29,3037,2117
EL642,Evvoia,9850,25-29,5407,4443
EL643,Evrytania,697,25-29,362,335
EL644,Fthiotida,5535,25-29,3004,2531
EL645,Fokida,1586,25-29,858,728
EL65,Peloponnisos,23027,25-29,12778,10249
EL651,"Argolida, Arkadia",6898,25-29,3753,3145
EL652,Korinthia,6132,25-29,3417,2715
EL653,"Lakonia, Messinia",9997,25-29,5608,4389
EL,Greece,548794,30-34,282786,266008
EL3,Attiki,215303,30-34,109613,105690
EL30,Attiki,215303,30-34,109613,105690
EL301,Voreios Tomeas Athinon,28651,30-34,13944,14707
EL302,Dytikos Tomeas Athinon,27046,30-34,13856,13190
EL303,Kentrikos Tomeas Athinon,67435,30-34,34670,32765
EL304,Notios Tomeas Athinon,27948,30-34,13589,14359
EL305,Anatoliki Attiki,25105,30-34,12893,12212
EL306,Dytiki Attiki,9700,30-34,5189,4511
EL307,"Peiraias, Nisoi",29418,30-34,15472,13946
EL4,"Nisia Aigaiou, Kriti",63513,30-34,32267,31246
EL41,Voreio Aigaio,10364,30-34,5536,4828
EL411,"Lesvos, Limnos",5701,30-34,3086,2615
EL412,"Ikaria, Samos",1941,30-34,1016,925
EL413,Chios,2722,30-34,1434,1288
EL42,Notio Aigaio,18551,30-34,9151,9400
EL421,"Kalymnos, Karpathos – Iroiki Nisos Kasos, Kos, Rodos",12246,30-34,6044,6202
EL422,"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",6305,30-34,3107,3198
EL43,Kriti,34598,30-34,17580,17018
EL431,Irakleio,16884,30-34,8455,8429
EL432,Lasithi,4161,30-34,2179,1982
EL433,Rethymni,4770,30-34,2426,2344
EL434,Chania,8783,30-34,4520,4263
EL5,Voreia Elláda,144519,30-34,74324,70195
EL51,"Anatoliki Makedonia, Thraki",27218,30-34,14167,13051
EL511,Evros,6156,30-34,3295,2861
EL512,Xanthi,5979,30-34,3039,2940
EL513,Rodopi,4979,30-34,2581,2398
EL514,Drama,4119,30-34,2217,1902
EL515,"Thasos, Kavala",5985,30-34,3035,2950
EL52,Kentriki Makedonia,91837,30-34,46718,45119
EL521,Imathia,5969,30-34,3180,2789
EL522,Thessaloniki,59128,30-34,29354,29774
EL523,Kilkis,3236,30-34,1770,1466
EL524,Pella,5889,30-34,3083,2806
EL525,Pieria,5496,30-34,2842,2654
EL526,Serres,7029,30-34,3887,3142
EL527,Chalkidiki,5090,30-34,2602,2488
EL53,Dytiki Makedonia,10916,30-34,5834,5082
EL531,"Grevena, Kozani",7102,30-34,3810,3292
EL532,Kastoria,1887,30-34,1026,861
EL533,Florina,1927,30-34,998,929
EL54,Ipeiros,14548,30-34,7605,6943
EL541,"Arta, Preveza",4883,30-34,2537,2346
EL542,Thesprotia,1728,30-34,900,828
EL543,Ioannina,7937,30-34,4168,3769
EL6,Kentriki Elláda,125459,30-34,66582,58877
EL61,Thessalia,32014,30-34,16752,15262
EL611,"Karditsa, Trikala",9986,30-34,5289,4697
EL612,Larisa,12905,30-34,6845,6060
EL613,"Magnisia, Sporades",9123,30-34,4618,4505
EL62,Ionia Nisia,10360,30-34,5072,5288
EL621,Zakynthos,2343,30-34,1120,1223
EL622,Kerkyra,4985,30-34,2445,2540
EL623,"Ithaki, Kefallinia",1918,30-34,967,951
EL624,Lefkada,1114,30-34,540,574
EL63,Dytiki Elláda,32943,30-34,18116,14827
EL631,Aitoloakarnania,8744,30-34,4558,4186
EL632,Achaia,15268,30-34,7857,7411
EL633,Ileia,8931,30-34,5701,3230
EL64,Sterea Elláda,24517,30-34,13028,11489
EL641,Voiotia,5429,30-34,3003,2426
EL642,Evvoia,10539,30-34,5475,5064
EL643,Evrytania,716,30-34,395,321
EL644,Fthiotida,6091,30-34,3224,2867
EL645,Fokida,1742,30-34,931,811
EL65,Peloponnisos,25625,30-34,13614,12011
EL651,"Argolida, Arkadia",7976,30-34,4158,3818
EL652,Korinthia,6441,30-34,3409,3032
EL653,"Lakonia, Messinia",11208,30-34,6047,5161
EL,Greece,622737,35-39,313618,309119
EL3,Attiki,239842,35-39,120338,119504
EL30,Attiki,239842,35-39,120338,119504
EL301,Voreios Tomeas Athinon,34628,35-39,16522,18106
EL302,Dytikos Tomeas Athinon,29946,35-39,14995,14951
EL303,Kentrikos Tomeas Athinon,69355,35-39,35882,33473
EL304,Notios Tomeas Athinon,32268,35-39,15800,16468
EL305,Anatoliki Attiki,29890,35-39,14544,15346
EL306,Dytiki Attiki,11148,35-39,5831,5317
EL307,"Peiraias, Nisoi",32607,35-39,16764,15843
EL4,"Nisia Aigaiou, Kriti",73227,35-39,36405,36822
EL41,Voreio Aigaio,11980,35-39,6147,5833
EL411,"Lesvos, Limnos",6168,35-39,3197,2971
EL412,"Ikaria, Samos",2486,35-39,1245,1241
EL413,Chios,3326,35-39,1705,1621
EL42,Notio Aigaio,21765,35-39,10742,11023
EL421,"Kalymnos, Karpathos – Iroiki Nisos Kasos, Kos, Rodos",13973,35-39,6969,7004
EL422,"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",7792,35-39,3773,4019
