code,label,total,age,male,female
HU,Hungary,458609,LT5,236014,222595
HU1,Közép-Magyarország,140678,LT5,72305,68373
HU11,Budapest,68351,LT5,35143,33208
HU110,Budapest,68351,LT5,35143,33208
HU12,Pest,72327,LT5,37162,35165
HU120,Pest,72327,LT5,37162,35165
HU2,Dunántúl,131172,LT5,67812,63360
HU21,Közép-Dunántúl,49369,LT5,25478,23891
HU211,Fejér,20686,LT5,10660,10026
HU212,Komárom-Esztergom,14145,LT5,7324,6821
HU213,Veszprém,14538,LT5,7494,7044
HU22,Nyugat-Dunántúl,44838,LT5,23166,21672
HU221,Győr-Moson-Sopron,23793,LT5,12235,11558
HU222,Vas,11085,LT5,5726,5359
HU223,Zala,9960,LT5,5205,4755
HU23,Dél-Dunántúl,36965,LT5,19168,17797
HU231,Baranya,14986,LT5,7758,7228
HU232,Somogy,12527,LT5,6502,6025
HU233,Tolna,9452,LT5,4908,4544
HU3,Alföld és Észak,186759,LT5,95897,90862
HU31,Észak-Magyarország,57042,LT5,29463,27579
HU311,Borsod-Abaúj-Zemplén,34476,LT5,17758,16718
HU312,Heves,13644,LT5,7063,6581
HU313,Nógrád,8922,LT5,4642,4280
HU32,Észak-Alföld,74865,LT5,38283,36582
HU321,Hajdú-Bihar,27506,LT5,14066,13440
HU322,Jász-Nagykun-Szolnok,17451,LT5,9036,8415
HU323,Szabolcs-Szatmár-Bereg,29908,LT5,15181,14727
HU33,Dél-Alföld,54852,LT5,28151,26701
HU331,Bács-Kiskun,23984,LT5,12255,11729
HU332,Békés,13387,LT5,6858,6529
HU333,Csongrád-Csanád,17481,LT5,9038,8443
HUX,Not regionalised/Unknown NUTS 1,:,LT5,:,:
HUXX,Not regionalised/Unknown NUTS 2,:,LT5,:,:
HUXXX,Not regionalised/Unknown NUTS 3,:,LT5,:,:
HU,Hungary,471368,5-9,242033,229335
HU1,Közép-Magyarország,145622,5-9,75095,70527
HU11,Budapest,69674,5-9,35936,33738
HU110,Budapest,69674,5-9,35936,33738
HU12,Pest,75948,5-9,39159,36789
HU120,Pest,75948,5-9,39159,36789
HU2,Dunántúl,136971,5-9,69993,66978
HU21,Közép-Dunántúl,51697,5-9,26413,25284
HU211,Fejér,20979,5-9,10744,10235
HU212,Komárom-Esztergom,15014,5-9,7679,7335
HU213,Veszprém,15704,5-9,7990,7714
HU22,Nyugat-Dunántúl,45680,5-9,23387,22293
HU221,Győr-Moson-Sopron,23206,5-9,11823,11383
HU222,Vas,11334,5-9,5752,5582
HU223,Zala,11140,5-9,5812,5328
HU23,Dél-Dunántúl,39594,5-9,20193,19401
HU231,Baranya,15770,5-9,8038,7732
HU232,Somogy,13754,5-9,7048,6706
HU233,Tolna,10070,5-9,5107,4963
HU3,Alföld és Észak,188775,5-9,96945,91830
HU31,Észak-Magyarország,57903,5-9,29727,28176
HU311,Borsod-Abaúj-Zemplén,34907,5-9,17850,17057
HU312,Heves,14140,5-9,7338,6802
HU313,Nógrád,8856,5-9,4539,4317
HU32,Észak-Alföld,74473,5-9,38278,36195
HU321,Hajdú-Bihar,27037,5-9,13852,13185
HU322,Jász-Nagykun-Szolnok,18347,5-9,9384,8963
HU323,Szabolcs-Szatmár-Bereg,29089,5-9,15042,14047
HU33,Dél-Alföld,56399,5-9,28940,27459
