code,label,total,age,male,female
IE,Ireland,293631,LT5,149260,144371
IE0,Ireland,293631,LT5,149260,144371
IE04,Northern and Western,53591,LT5,27054,26537
IE041,Border,25903,LT5,13116,12787
IE042,West,27688,LT5,13938,13750
IE05,Southern,92355,LT5,46697,45658
IE051,Mid-West,27931,LT5,14166,13765
IE052,South-East,24918,LT5,12543,12375
IE053,South-West,39506,LT5,19988,19518
IE06,Eastern and Midland,147685,LT5,75509,72176
IE061,Dublin,84269,LT5,42950,41319
IE062,Mid-East,45362,LT5,23320,22042
IE063,Midland,18054,LT5,9239,8815
IE,Ireland,338288,5-9,173143,165145
IE0,Ireland,338288,5-9,173143,165145
IE04,Northern and Western,61905,5-9,31545,30360
IE041,Border,30235,5-9,15410,14825
IE042,West,31670,5-9,16135,15535
IE05,Southern,109583,5-9,55876,53707
IE051,Mid-West,32587,5-9,16505,16082
IE052,South-East,29576,5-9,15038,14538
IE053,South-West,47420,5-9,24333,23087
IE06,Eastern and Midland,166800,5-9,85722,81078
IE061,Dublin,92178,5-9,47245,44933
IE062,Mid-East,52790,5-9,27271,25519
IE063,Midland,21832,5-9,11206,10626
IE,Ireland,380824,10-14,195084,185740
IE0,Ireland,380824,10-14,195084,185740
IE04,Northern and Western,69336,10-14,35748,33588
IE041,Border,34094,10-14,17596,16498
IE042,West,35242,10-14,18152,17090
IE05,Southern,124801,10-14,63659,61142
IE051,Mid-West,36912,10-14,18914,17998
IE052,South-East,34296,10-14,17428,16868
IE053,South-West,53593,10-14,27317,26276
IE06,Eastern and Midland,186687,10-14,95677,91010
IE061,Dublin,100316,10-14,51385,48931
IE062,Mid-East,61354,10-14,31418,29936
IE063,Midland,25017,10-14,12874,12143
IE,Ireland,355598,15-19,183781,171817
IE0,Ireland,355598,15-19,183781,171817
IE04,Northern and Western,63497,15-19,33683,29814
IE041,Border,30561,15-19,16064,14497
IE042,West,32936,15-19,17619,15317
IE05,Southern,121533,15-19,62721,58812
IE051,Mid-West,36144,15-19,18591,17553
IE052,South-East,34256,15-19,18305,15951
IE053,South-West,51133,15-19,25825,25308
IE06,Eastern and Midland,170568,15-19,87377,83191
IE061,Dublin,88407,15-19,45105,43302
IE062,Mid-East,58046,15-19,29902,28144
IE063,Midland,24115,15-19,12370,11745
IE,Ireland,319584,20-24,163867,155717
IE0,Ireland,319584,20-24,163867,155717
IE04,Northern and Western,54302,20-24,28276,26026
IE041,Border,24237,20-24,12697,11540
IE042,West,30065,20-24,15579,14486
