code,label,total,age,male,female
LV,Latvia,103060,LT5,53490,49570
LV0,Latvija,103060,LT5,53490,49570
LV00,Latvija,103060,LT5,53490,49570
LV003,Kurzeme (NUTS 2021),12387,LT5,6371,6016
LV005,Latgale,11118,LT5,5822,5296
LV006,Rīga (NUTS 2021),34374,LT5,17915,16459
LV007,Pieriga (NUTS 2021),23486,LT5,12102,11384
LV008,Vidzeme (NUTS 2021),9420,LT5,4972,4448
LV009,Zemgale,12275,LT5,6308,5967
LV00A,Rīga,:,LT5,:,:
LV00B,Kurzeme,:,LT5,:,:
LV00C,Vidzeme,:,LT5,:,:
LV,Latvia,99627,5-9,51481,48146
LV0,Latvija,99627,5-9,51481,48146
LV00,Latvija,99627,5-9,51481,48146
LV003,Kurzeme (NUTS 2021),12218,5-9,6295,5923
LV005,Latgale,11298,5-9,5844,5454
LV006,Rīga (NUTS 2021),32024,5-9,16377,15647
LV007,Pieriga (NUTS 2021),22731,5-9,11860,10871
LV008,Vidzeme (NUTS 2021),9214,5-9,4793,4421
LV009,Zemgale,12142,5-9,6312,5830
LV00A,Rīga,:,5-9,:,:
LV00B,Kurzeme,:,5-9,:,:
LV00C,Vidzeme,:,5-9,:,:
LV,Latvia,102501,10-14,52312,50189
LV0,Latvija,102501,10-14,52312,50189
LV00,Latvija,102501,10-14,52312,50189
LV003,Kurzeme (NUTS 2021),13214,10-14,6729,6485
LV005,Latgale,12611,10-14,6445,6166
LV006,Rīga (NUTS 2021),31464,10-14,16064,15400
LV007,Pieriga (NUTS 2021),22944,10-14,11707,11237
LV008,Vidzeme (NUTS 2021),9621,10-14,5004,4617
LV009,Zemgale,12647,10-14,6363,6284
LV00A,Rīga,:,10-14,:,:
LV00B,Kurzeme,:,10-14,:,:
LV00C,Vidzeme,:,10-14,:,:
LV,Latvia,89522,15-19,45871,43651
LV0,Latvija,89522,15-19,45871,43651
LV00,Latvija,89522,15-19,45871,43651
LV003,Kurzeme (NUTS 2021),12384,15-19,6378,6006
