code,label,total,age,male,female
LT,Lithuania,119444,LT5,61177,58267
LT0,Lietuva,119444,LT5,61177,58267
LT01,Sostinės regionas,41322,LT5,21096,20226
LT011,Vilniaus apskritis,41322,LT5,21096,20226
LT02,Vidurio ir vakarų Lietuvos regionas,78122,LT5,40081,38041
LT021,Alytaus apskritis,4149,LT5,2155,1994
LT022,Kauno apskritis,25203,LT5,13021,12182
LT023,Klaipėdos apskritis,15140,LT5,7761,7379
LT024,Marijampolės apskritis,4840,LT5,2484,2356
LT025,Panevėžio apskritis,7067,LT5,3644,3423
LT026,Šiaulių apskritis,9746,LT5,4950,4796
LT027,Tauragės apskritis,3227,LT5,1573,1654
LT028,Telšių apskritis,5050,LT5,2591,2459
LT029,Utenos apskritis,3700,LT5,1902,1798
LT,Lithuania,149106,5-9,76659,72447
LT0,Lietuva,149106,5-9,76659,72447
LT01,Sostinės regionas,50486,5-9,26153,24333
LT011,Vilniaus apskritis,50486,5-9,26153,24333
LT02,Vidurio ir vakarų Lietuvos regionas,98620,5-9,50506,48114
LT021,Alytaus apskritis,5765,5-9,2914,2851
LT022,Kauno apskritis,30360,5-9,15606,14754
LT023,Klaipėdos apskritis,18826,5-9,9747,9079
LT024,Marijampolės apskritis,6331,5-9,3214,3117
LT025,Panevėžio apskritis,9147,5-9,4656,4491
LT026,Šiaulių apskritis,12702,5-9,6473,6229
LT027,Tauragės apskritis,4249,5-9,2149,2100
LT028,Telšių apskritis,6365,5-9,3209,3156
LT029,Utenos apskritis,4875,5-9,2538,2337
LT,Lithuania,150333,10-14,76897,73436
LT0,Lietuva,150333,10-14,76897,73436
LT01,Sostinės regionas,48979,10-14,24963,24016
LT011,Vilniaus apskritis,48979,10-14,24963,24016
LT02,Vidurio ir vakarų Lietuvos regionas,101354,10-14,51934,49420
LT021,Alytaus apskritis,6126,10-14,3165,2961
LT022,Kauno apskritis,30741,10-14,15661,15080
LT023,Klaipėdos apskritis,18978,10-14,9668,9310
LT024,Marijampolės apskritis,6778,10-14,3546,3232
LT025,Panevėžio apskritis,9529,10-14,4863,4666
LT026,Šiaulių apskritis,12804,10-14,6585,6219
LT027,Tauragės apskritis,4368,10-14,2290,2078
LT028,Telšių apskritis,6929,10-14,3558,3371
LT029,Utenos apskritis,5101,10-14,2598,2503
LT,Lithuania,138595,15-19,70825,67770
LT0,Lietuva,138595,15-19,70825,67770
LT01,Sostinės regionas,41862,15-19,21330,20532
LT011,Vilniaus apskritis,41862,15-19,21330,20532
LT02,Vidurio ir vakarų Lietuvos regionas,96733,15-19,49495,47238
LT021,Alytaus apskritis,5949,15-19,3020,2929
LT022,Kauno apskritis,27757,15-19,14192,13565
LT023,Klaipėdos apskritis,16867,15-19,8621,8246
LT024,Marijampolės apskritis,6841,15-19,3560,3281
LT025,Panevėžio apskritis,9899,15-19,5028,4871
LT026,Šiaulių apskritis,12604,15-19,6344,6260
LT027,Tauragės apskritis,4502,15-19,2340,2162
LT028,Telšių apskritis,6914,15-19,3563,3351
LT029,Utenos apskritis,5400,15-19,2827,2573
LT,Lithuania,136341,20-24,70525,65816
LT0,Lietuva,136341,20-24,70525,65816
LT01,Sostinės regionas,38435,20-24,19738,18697
LT011,Vilniaus apskritis,38435,20-24,19738,18697
LT02,Vidurio ir vakarų Lietuvos regionas,97906,20-24,50787,47119
LT021,Alytaus apskritis,6714,20-24,3438,3276
LT022,Kauno apskritis,28202,20-24,14521,13681
LT023,Klaipėdos apskritis,15036,20-24,7740,7296
LT024,Marijampolės apskritis,7352,20-24,3788,3564
LT025,Panevėžio apskritis,10421,20-24,5442,4979
LT026,Šiaulių apskritis,12618,20-24,6658,5960
LT027,Tauragės apskritis,4916,20-24,2583,2333
LT028,Telšių apskritis,6881,20-24,3594,3287
LT029,Utenos apskritis,5766,20-24,3023,2743
LT,Lithuania,159361,25-29,83838,75523
LT0,Lietuva,159361,25-29,83838,75523
LT01,Sostinės regionas,47948,25-29,24868,23080
LT011,Vilniaus apskritis,47948,25-29,24868,23080
LT02,Vidurio ir vakarų Lietuvos regionas,111413,25-29,58970,52443
LT021,Alytaus apskritis,7152,25-29,3860,3292
LT022,Kauno apskritis,34759,25-29,17963,16796
LT023,Klaipėdos apskritis,18026,25-29,9327,8699
LT024,Marijampolės apskritis,7590,25-29,4076,3514
LT025,Panevėžio apskritis,10864,25-29,5635,5229
LT026,Šiaulių apskritis,14310,25-29,8016,6294
LT027,Tauragės apskritis,5092,25-29,2783,2309
LT028,Telšių apskritis,7157,25-29,3748,3409
LT029,Utenos apskritis,6463,25-29,3562,2901
LT,Lithuania,:,30-34,:,:
LT0,Lietuva,206322,30-34,109004,97318
LT01,Sostinės regionas,70006,30-34,36037,33969
