code,label,total,age,male,female
LU,Luxembourg,33923,LT5,17265,16658
LU0,Luxembourg,33923,LT5,17265,16658
LU00,Luxembourg,33923,LT5,17265,16658
LU000,Luxembourg,33923,LT5,17265,16658
LU,Luxembourg,35928,5-9,18443,17485
LU0,Luxembourg,35928,5-9,18443,17485
LU00,Luxembourg,35928,5-9,18443,17485
LU000,Luxembourg,35928,5-9,18443,17485
LU,Luxembourg,35896,10-14,18385,17511
LU0,Luxembourg,35896,10-14,18385,17511
LU00,Luxembourg,35896,10-14,18385,17511
LU000,Luxembourg,35896,10-14,18385,17511
LU,Luxembourg,35074,15-19,18185,16889
LU0,Luxembourg,35074,15-19,18185,16889
LU00,Luxembourg,35074,15-19,18185,16889
LU000,Luxembourg,35074,15-19,18185,16889
LU,Luxembourg,39132,20-24,20239,18893
LU0,Luxembourg,39132,20-24,20239,18893
LU00,Luxembourg,39132,20-24,20239,18893
LU000,Luxembourg,39132,20-24,20239,18893
LU,Luxembourg,51035,25-29,26179,24856
LU0,Luxembourg,51035,25-29,26179,24856
LU00,Luxembourg,51035,25-29,26179,24856
LU000,Luxembourg,51035,25-29,26179,24856
LU,Luxembourg,54743,30-34,28129,26614
LU0,Luxembourg,54743,30-34,28129,26614
LU00,Luxembourg,54743,30-34,28129,26614
LU000,Luxembourg,54743,30-34,28129,26614
LU,Luxembourg,53218,35-39,26859,26359
LU0,Luxembourg,53218,35-39,26859,26359
LU00,Luxembourg,53218,35-39,26859,26359
LU000,Luxembourg,53218,35-39,26859,26359
LU,Luxembourg,51306,40-44,25854,25452
LU0,Luxembourg,51306,40-44,25854,25452
LU00,Luxembourg,51306,40-44,25854,25452
LU000,Luxembourg,51306,40-44,25854,25452
LU,Luxembourg,48101,45-49,24328,23773
LU0,Luxembourg,48101,45-49,24328,23773
LU00,Luxembourg,48101,45-49,24328,23773
LU000,Luxembourg,48101,45-49,24328,23773
LU,Luxembourg,47001,50-54,24075,22926
LU0,Luxembourg,47001,50-54,24075,22926
LU00,Luxembourg,47001,50-54,24075,22926
LU000,Luxembourg,47001,50-54,24075,22926
LU,Luxembourg,46178,55-59,24036,22142
LU0,Luxembourg,46178,55-59,24036,22142
LU00,Luxembourg,46178,55-59,24036,22142
LU000,Luxembourg,46178,55-59,24036,22142
LU,Luxembourg,39485,60-64,20064,19421
LU0,Luxembourg,39485,60-64,20064,19421
LU00,Luxembourg,39485,60-64,20064,19421
LU000,Luxembourg,39485,60-64,20064,19421
LU,Luxembourg,31146,65-69,15344,15802
LU0,Luxembourg,31146,65-69,15344,15802
LU00,Luxembourg,31146,65-69,15344,15802
LU000,Luxembourg,31146,65-69,15344,15802
LU,Luxembourg,24713,70-74,11885,12828
LU0,Luxembourg,24713,70-74,11885,12828
LU00,Luxembourg,24713,70-74,11885,12828
LU000,Luxembourg,24713,70-74,11885,12828
LU,Luxembourg,18661,75-79,8763,9898
LU0,Luxembourg,18661,75-79,8763,9898
LU00,Luxembourg,18661,75-79,8763,9898
LU000,Luxembourg,18661,75-79,8763,9898
LU,Luxembourg,13198,80-84,5609,7589
LU0,Luxembourg,13198,80-84,5609,7589
LU00,Luxembourg,13198,80-84,5609,7589
LU000,Luxembourg,13198,80-84,5609,7589
LU,Luxembourg,8416,85-89,3141,5275
LU0,Luxembourg,8416,85-89,3141,5275
LU00,Luxembourg,8416,85-89,3141,5275
LU000,Luxembourg,8416,85-89,3141,5275
LU,Luxembourg,13312,GE85,4632,8680
LU0,Luxembourg,13312,GE85,4632,8680
LU00,Luxembourg,13312,GE85,4632,8680
LU000,Luxembourg,13312,GE85,4632,8680
