code,label,total,age,male,female
MT,Malta,22423,LT5,11529,10894
MT0,Malta,22423,LT5,11529,10894
MT00,Malta,22423,LT5,11529,10894
MT001,Malta,20805,LT5,10706,10099
MT002,Gozo and Comino/Għawdex u Kemmuna,1618,LT5,823,795
MT,Malta,23766,5-9,12347,11419
MT0,Malta,23766,5-9,12347,11419
MT00,Malta,23766,5-9,12347,11419
MT001,Malta,22046,5-9,11496,10550
MT002,Gozo and Comino/Għawdex u Kemmuna,1720,5-9,851,869
MT,Malta,23293,10-14,12008,11285
MT0,Malta,23293,10-14,12008,11285
MT00,Malta,23293,10-14,12008,11285
MT001,Malta,21530,10-14,11102,10428
MT002,Gozo and Comino/Għawdex u Kemmuna,1763,10-14,906,857
MT,Malta,22632,15-19,11882,10750
MT0,Malta,22632,15-19,11882,10750
MT00,Malta,22632,15-19,11882,10750
MT001,Malta,20973,15-19,11006,9967
MT002,Gozo and Comino/Għawdex u Kemmuna,1659,15-19,876,783
MT,Malta,31883,20-24,17704,14179
MT0,Malta,31883,20-24,17704,14179
MT00,Malta,31883,20-24,17704,14179
MT001,Malta,29695,20-24,16522,13173
MT002,Gozo and Comino/Għawdex u Kemmuna,2188,20-24,1182,1006
MT,Malta,50672,25-29,29844,20828
MT0,Malta,50672,25-29,29844,20828
MT00,Malta,50672,25-29,29844,20828
MT001,Malta,47616,25-29,28084,19532
MT002,Gozo and Comino/Għawdex u Kemmuna,3056,25-29,1760,1296
MT,Malta,56779,30-34,32258,24521
MT0,Malta,56779,30-34,32258,24521
MT00,Malta,56779,30-34,32258,24521
MT001,Malta,53563,30-34,30409,23154
MT002,Gozo and Comino/Għawdex u Kemmuna,3216,30-34,1849,1367
MT,Malta,51886,35-39,29238,22648
MT0,Malta,51886,35-39,29238,22648
MT00,Malta,51886,35-39,29238,22648
MT001,Malta,48683,35-39,27453,21230
MT002,Gozo and Comino/Għawdex u Kemmuna,3203,35-39,1785,1418
MT,Malta,45652,40-44,25115,20537
MT0,Malta,45652,40-44,25115,20537
MT00,Malta,45652,40-44,25115,20537
MT001,Malta,42787,40-44,23505,19282
MT002,Gozo and Comino/Għawdex u Kemmuna,2865,40-44,1610,1255
MT,Malta,39339,45-49,21307,18032
MT0,Malta,39339,45-49,21307,18032
MT00,Malta,39339,45-49,21307,18032
MT001,Malta,36777,45-49,19906,16871
MT002,Gozo and Comino/Għawdex u Kemmuna,2562,45-49,1401,1161
MT,Malta,32257,50-54,17052,15205
MT0,Malta,32257,50-54,17052,15205
MT00,Malta,32257,50-54,17052,15205
MT001,Malta,29742,50-54,15689,14053
MT002,Gozo and Comino/Għawdex u Kemmuna,2515,50-54,1363,1152
MT,Malta,28682,55-59,14790,13892
MT0,Malta,28682,55-59,14790,13892
MT00,Malta,28682,55-59,14790,13892
MT001,Malta,26201,55-59,13516,12685
MT002,Gozo and Comino/Għawdex u Kemmuna,2481,55-59,1274,1207
MT,Malta,30773,60-64,15622,15151
MT0,Malta,30773,60-64,15622,15151
MT00,Malta,30773,60-64,15622,15151
MT001,Malta,27864,60-64,14131,13733
MT002,Gozo and Comino/Għawdex u Kemmuna,2909,60-64,1491,1418
MT,Malta,29578,65-69,14753,14825
MT0,Malta,29578,65-69,14753,14825
MT00,Malta,29578,65-69,14753,14825
MT001,Malta,26860,65-69,13407,13453
MT002,Gozo and Comino/Għawdex u Kemmuna,2718,65-69,1346,1372
MT,Malta,26736,70-74,13022,13714
MT0,Malta,26736,70-74,13022,13714
MT00,Malta,26736,70-74,13022,13714
MT001,Malta,24389,70-74,11836,12553
MT002,Gozo and Comino/Għawdex u Kemmuna,2347,70-74,1186,1161
MT,Malta,24730,75-79,11578,13152
MT0,Malta,24730,75-79,11578,13152
MT00,Malta,24730,75-79,11578,13152
MT001,Malta,22623,75-79,10568,12055
MT002,Gozo and Comino/Għawdex u Kemmuna,2107,75-79,1010,1097
MT,Malta,11261,80-84,4804,6457
MT0,Malta,11261,80-84,4804,6457
MT00,Malta,11261,80-84,4804,6457
MT001,Malta,10245,80-84,4359,5886
MT002,Gozo and Comino/Għawdex u Kemmuna,1016,80-84,445,571
MT,Malta,7490,85-89,2850,4640
MT0,Malta,7490,85-89,2850,4640
MT00,Malta,7490,85-89,2850,4640
MT001,Malta,6854,85-89,2627,4227
MT002,Gozo and Comino/Għawdex u Kemmuna,636,85-89,223,413
MT,Malta,11101,GE85,3893,7208
MT0,Malta,11101,GE85,3893,7208
MT00,Malta,11101,GE85,3893,7208
MT001,Malta,10118,GE85,3563,6555
MT002,Gozo and Comino/Għawdex u Kemmuna,983,GE85,330,653
