code,label,total,age,male,female
NL,Netherlands,863862,LT5,442219,421643
NL1,Noord-Nederland,77498,LT5,39588,37910
NL11,Groningen,25137,LT5,12965,12172
NL111,Oost-Groningen (NUTS 2021),:,LT5,:,:
NL112,Delfzijl en omgeving,1966,LT5,1015,951
NL113,Overig Groningen (NUTS 2021),:,LT5,:,:
NL114,Oost-Groningen,5622,LT5,2939,2683
NL115,Overig Groningen,17549,LT5,9011,8538
NL12,Friesland (NL),30514,LT5,15572,14942
NL124,Noord-Friesland (NUTS 2021),:,LT5,:,:
NL125,Zuidwest-Friesland (NUTS 2021),:,LT5,:,:
NL126,Zuidoost-Friesland,8611,LT5,4441,4170
NL127,Noord-Friesland,15366,LT5,7780,7586
NL128,Zuidwest-Friesland,6537,LT5,3351,3186
NL13,Drenthe,21847,LT5,11051,10796
NL131,Noord-Drenthe,8657,LT5,4408,4249
NL132,Zuidoost-Drenthe,7124,LT5,3603,3521
NL133,Zuidwest-Drenthe,6066,LT5,3040,3026
NL2,Oost-Nederland,186503,LT5,95670,90833
NL21,Overijssel,57483,LT5,29474,28009
NL211,Noord-Overijssel,20773,LT5,10687,10086
NL212,Zuidwest-Overijssel,7650,LT5,3899,3751
NL213,Twente,29060,LT5,14888,14172
NL22,Gelderland,102480,LT5,52672,49808
NL221,Veluwe,37842,LT5,19436,18406
NL224,Zuidwest-Gelderland,13478,LT5,6977,6501
NL225,Achterhoek,17039,LT5,8747,8292
NL226,Arnhem/Nijmegen,34121,LT5,17512,16609
NL23,Flevoland,26540,LT5,13524,13016
NL230,Flevoland,26540,LT5,13524,13016
NL3,West-Nederland,430755,LT5,220462,210293
NL31,Utrecht (NUTS 2021),:,LT5,:,:
NL310,Utrecht (NUTS 2021),:,LT5,:,:
NL32,Noord-Holland,143260,LT5,72976,70284
NL321,Kop van Noord-Holland,18019,LT5,9217,8802
NL323,IJmond,9681,LT5,5003,4678
NL324,Agglomeratie Haarlem (NUTS 2021),:,LT5,:,:
NL325,Zaanstreek,9239,LT5,4625,4614
NL327,Het Gooi en Vechtstreek,12637,LT5,6374,6263
NL328,Alkmaar en omgeving,11931,LT5,5980,5951
NL329,Groot-Amsterdam (NUTS 2021),:,LT5,:,:
NL32A,Agglomeratie Haarlem,11902,LT5,5990,5912
NL32B,Groot-Amsterdam,69851,LT5,35787,34064
NL33,Zuid-Holland (NUTS 2021),:,LT5,:,:
NL332,Agglomeratie 's-Gravenhage (NUTS 2021),:,LT5,:,:
NL333,Delft en Westland (NUTS 2021),:,LT5,:,:
NL337,Agglomeratie Leiden en Bollenstreek (NUTS 2021),:,LT5,:,:
NL33A,Zuidoost-Zuid-Holland (NUTS 2021),:,LT5,:,:
NL33B,Oost-Zuid-Holland (NUTS 2021),:,LT5,:,:
NL33C,Groot-Rijnmond (NUTS 2021),:,LT5,:,:
NL34,Zeeland,18003,LT5,9200,8803
