code,label,total,age,male,female
PL,Poland,1630387,LT5,836057,794330
PL2,Makroregion południowy,335958,LT5,172129,163829
PL21,Małopolskie,165479,LT5,84763,80716
PL213,Miasto Kraków,40584,LT5,20682,19902
PL214,Krakowski,38589,LT5,19749,18840
PL217,Tarnowski,19489,LT5,10017,9472
PL218,Nowosądecki,28630,LT5,14667,13963
PL219,Nowotarski,16407,LT5,8462,7945
PL21A,Oświęcimski,21780,LT5,11186,10594
PL22,Śląskie,170479,LT5,87366,83113
PL224,Częstochowski,17726,LT5,9037,8689
PL225,Bielski,28413,LT5,14586,13827
PL227,Rybnicki,24571,LT5,12615,11956
PL228,Bytomski,16230,LT5,8263,7967
PL229,Gliwicki,17545,LT5,9067,8478
PL22A,Katowicki,26934,LT5,13697,13237
PL22B,Sosnowiecki,21759,LT5,11167,10592
PL22C,Tyski,17301,LT5,8934,8367
PL4,Makroregion północno-zachodni,264884,LT5,135705,129179
PL41,Wielkopolskie,163683,LT5,84009,79674
PL411,Pilski,16722,LT5,8544,8178
PL414,Koniński,27911,LT5,14241,13670
PL415,Miasto Poznań,23777,LT5,12335,11442
PL416,Kaliski,29654,LT5,15323,14331
PL417,Leszczyński,27444,LT5,13966,13478
PL418,Poznański,38175,LT5,19600,18575
PL42,Zachodniopomorskie,62576,LT5,32152,30424
PL424,Miasto Szczecin,15930,LT5,8193,7737
PL426,Koszaliński,12759,LT5,6640,6119
PL427,Szczecinecko-pyrzycki,14532,LT5,7446,7086
PL428,Szczeciński,19355,LT5,9873,9482
PL43,Lubuskie,38625,LT5,19544,19081
PL431,Gorzowski,14328,LT5,7204,7124
PL432,Zielonogórski,24297,LT5,12340,11957
PL5,Makroregion południowo-zachodni,155567,LT5,79782,75785
PL51,Dolnośląskie,118906,LT5,61111,57795
PL514,Miasto Wrocław,32858,LT5,16892,15966
PL515,Jeleniogórski,18158,LT5,9311,8847
PL516,Legnicko-głogowski,17088,LT5,8680,8408
PL517,Wałbrzyski,19716,LT5,10134,9582
PL518,Wrocławski,31086,LT5,16094,14992
PL52,Opolskie,36661,LT5,18671,17990
PL523,Nyski,12753,LT5,6509,6244
PL524,Opolski,23908,LT5,12162,11746
PL6,Makroregion północny,248819,LT5,127587,121232
PL61,Kujawsko-pomorskie,82019,LT5,42140,39879
PL613,Bydgosko-toruński,31465,LT5,16279,15186
PL616,Grudziądzki,15843,LT5,8064,7779
PL617,Inowrocławski,13956,LT5,7072,6884
PL618,Świecki,7859,LT5,4036,3823
PL619,Włocławski,12896,LT5,6689,6207
PL62,Warmińsko-mazurskie,53491,LT5,27418,26073
PL621,Elbląski,19689,LT5,10148,9541
PL622,Olsztyński,22882,LT5,11688,11194
PL623,Ełcki,10920,LT5,5582,5338
PL63,Pomorskie,113309,LT5,58029,55280
PL633,Trójmiejski,33623,LT5,17196,16427
PL634,Gdański,36350,LT5,18675,17675
PL636,Słupski,14061,LT5,7157,6904
PL637,Chojnicki,10986,LT5,5660,5326
PL638,Starogardzki,18289,LT5,9341,8948
PL7,Makroregion centralny,138853,LT5,71014,67839
PL71,Łódzkie,95331,LT5,48768,46563
PL711,Miasto Łódź,25332,LT5,13031,12301
PL712,Łódzki,15535,LT5,7900,7635
PL713,Piotrkowski,22706,LT5,11579,11127
PL714,Sieradzki,17570,LT5,9016,8554
PL715,Skierniewicki,14188,LT5,7242,6946
PL72,Świętokrzyskie,43522,LT5,22246,21276
PL721,Kielecki,27080,LT5,13869,13211
PL722,Sandomiersko-jędrzejowski,16442,LT5,8377,8065
PL8,Makroregion wschodni,220852,LT5,113794,107058
PL81,Lubelskie,81459,LT5,41970,39489
PL811,Bialski,11740,LT5,6152,5588
PL812,Chełmsko-zamojski,20351,LT5,10381,9970
PL814,Lubelski,30990,LT5,16093,14897
PL815,Puławski,18378,LT5,9344,9034
PL82,Podkarpackie,90229,LT5,46657,43572
PL821,Krośnieński,18078,LT5,9335,8743
PL822,Przemyski,14886,LT5,7650,7236
PL823,Rzeszowski,32525,LT5,16933,15592
PL824,Tarnobrzeski,24740,LT5,12739,12001
PL84,Podlaskie,49164,LT5,25167,23997
PL841,Białostocki,23573,LT5,12029,11544
PL842,Łomżyński,15118,LT5,7767,7351
PL843,Suwalski,10473,LT5,5371,5102
PL9,Makroregion województwo mazowieckie,265454,LT5,136046,129408
PL91,Warszawski stołeczny,163376,LT5,83820,79556
PL911,Miasto Warszawa,90809,LT5,46499,44310
PL912,Warszawski wschodni,36223,LT5,18571,17652
PL913,Warszawski zachodni,36344,LT5,18750,17594
PL92,Mazowiecki regionalny,102078,LT5,52226,49852
PL921,Radomski,24759,LT5,12581,12178
PL922,Ciechanowski,14797,LT5,7557,7240
PL923,Płocki,12604,LT5,6502,6102
PL924,Ostrołęcki,17478,LT5,8912,8566
PL925,Siedlecki,20577,LT5,10606,9971
PL926,Żyrardowski,11863,LT5,6068,5795
PL,Poland,1942717,5-9,997875,944842
PL2,Makroregion południowy,401386,5-9,206500,194886
PL21,Małopolskie,187992,5-9,97025,90967
PL213,Miasto Kraków,38733,5-9,19783,18950
PL214,Krakowski,47649,5-9,24695,22954
PL217,Tarnowski,23268,5-9,12012,11256
PL218,Nowosądecki,32544,5-9,16820,15724
PL219,Nowotarski,18677,5-9,9621,9056
PL21A,Oświęcimski,27121,5-9,14094,13027
PL22,Śląskie,213394,5-9,109475,103919
PL224,Częstochowski,21746,5-9,11017,10729
PL225,Bielski,35661,5-9,18476,17185
PL227,Rybnicki,31607,5-9,16223,15384
PL228,Bytomski,20271,5-9,10388,9883
PL229,Gliwicki,21000,5-9,10829,10171
PL22A,Katowicki,32293,5-9,16429,15864
PL22B,Sosnowiecki,28132,5-9,14549,13583
PL22C,Tyski,22684,5-9,11564,11120
PL4,Makroregion północno-zachodni,320004,5-9,164459,155545
PL41,Wielkopolskie,193235,5-9,99423,93812
PL411,Pilski,20841,5-9,10706,10135
PL414,Koniński,33115,5-9,17079,16036
PL415,Miasto Poznań,24154,5-9,12540,11614
PL416,Kaliski,35196,5-9,18001,17195
PL417,Leszczyński,32006,5-9,16495,15511
PL418,Poznański,47923,5-9,24602,23321
PL42,Zachodniopomorskie,77903,5-9,39829,38074
PL424,Miasto Szczecin,17602,5-9,9076,8526
PL426,Koszaliński,16397,5-9,8410,7987
PL427,Szczecinecko-pyrzycki,18479,5-9,9455,9024
PL428,Szczeciński,25425,5-9,12888,12537
PL43,Lubuskie,48866,5-9,25207,23659
PL431,Gorzowski,18573,5-9,9576,8997
PL432,Zielonogórski,30293,5-9,15631,14662
PL5,Makroregion południowo-zachodni,184967,5-9,94833,90134
PL51,Dolnośląskie,141154,5-9,72275,68879
PL514,Miasto Wrocław,31716,5-9,16359,15357
PL515,Jeleniogórski,23481,5-9,11878,11603
PL516,Legnicko-głogowski,21294,5-9,10898,10396
PL517,Wałbrzyski,25242,5-9,12972,12270
PL518,Wrocławski,39421,5-9,20168,19253
PL52,Opolskie,43813,5-9,22558,21255
PL523,Nyski,16063,5-9,8207,7856
PL524,Opolski,27750,5-9,14351,13399
PL6,Makroregion północny,299681,5-9,153972,145709
PL61,Kujawsko-pomorskie,99657,5-9,51294,48363
PL613,Bydgosko-toruński,38006,5-9,19490,18516
PL616,Grudziądzki,19284,5-9,9834,9450
PL617,Inowrocławski,17096,5-9,8893,8203
PL618,Świecki,9591,5-9,4920,4671
PL619,Włocławski,15680,5-9,8157,7523
PL62,Warmińsko-mazurskie,67819,5-9,34852,32967
PL621,Elbląski,25039,5-9,12886,12153
PL622,Olsztyński,29378,5-9,15085,14293
PL623,Ełcki,13402,5-9,6881,6521
PL63,Pomorskie,132205,5-9,67826,64379
PL633,Trójmiejski,35996,5-9,18438,17558
PL634,Gdański,43590,5-9,22309,21281
PL636,Słupski,17217,5-9,8836,8381
PL637,Chojnicki,12902,5-9,6709,6193
PL638,Starogardzki,22500,5-9,11534,10966
PL7,Makroregion centralny,166412,5-9,85535,80877
PL71,Łódzkie,113329,5-9,58473,54856
PL711,Miasto Łódź,27375,5-9,14138,13237
PL712,Łódzki,20081,5-9,10321,9760
PL713,Piotrkowski,27848,5-9,14214,13634
PL714,Sieradzki,21238,5-9,11007,10231
PL715,Skierniewicki,16787,5-9,8793,7994
PL72,Świętokrzyskie,53083,5-9,27062,26021
PL721,Kielecki,32956,5-9,16760,16196
PL722,Sandomiersko-jędrzejowski,20127,5-9,10302,9825
PL8,Makroregion wschodni,262550,5-9,134492,128058
PL81,Lubelskie,97864,5-9,50039,47825
PL811,Bialski,14391,5-9,7365,7026
PL812,Chełmsko-zamojski,25392,5-9,13083,12309
PL814,Lubelski,36348,5-9,18584,17764
PL815,Puławski,21733,5-9,11007,10726
PL82,Podkarpackie,106493,5-9,54541,51952
PL821,Krośnieński,22344,5-9,11401,10943
PL822,Przemyski,17805,5-9,9115,8690
PL823,Rzeszowski,37127,5-9,19012,18115
PL824,Tarnobrzeski,29217,5-9,15013,14204
PL84,Podlaskie,58193,5-9,29912,28281
PL841,Białostocki,27207,5-9,13937,13270
PL842,Łomżyński,17922,5-9,9191,8731
PL843,Suwalski,13064,5-9,6784,6280
PL9,Makroregion województwo mazowieckie,307717,5-9,158084,149633
PL91,Warszawski stołeczny,187755,5-9,96434,91321
PL911,Miasto Warszawa,97463,5-9,50127,47336
PL912,Warszawski wschodni,44477,5-9,22712,21765
PL913,Warszawski zachodni,45815,5-9,23595,22220
PL92,Mazowiecki regionalny,119962,5-9,61650,58312
PL921,Radomski,29520,5-9,15217,14303
PL922,Ciechanowski,17129,5-9,8715,8414
PL923,Płocki,15163,5-9,7726,7437
PL924,Ostrołęcki,20442,5-9,10532,9910
PL925,Siedlecki,23532,5-9,12101,11431
PL926,Żyrardowski,14176,5-9,7359,6817
PL,Poland,1964886,10-14,1009085,955801
PL2,Makroregion południowy,404844,10-14,207804,197040
PL21,Małopolskie,184635,10-14,94887,89748
PL213,Miasto Kraków,33686,10-14,17360,16326
PL214,Krakowski,47145,10-14,24455,22690
PL217,Tarnowski,23598,10-14,12183,11415
PL218,Nowosądecki,32933,10-14,16833,16100
PL219,Nowotarski,19079,10-14,9633,9446
PL21A,Oświęcimski,28194,10-14,14423,13771
PL22,Śląskie,220209,10-14,112917,107292
PL224,Częstochowski,23709,10-14,12176,11533
PL225,Bielski,36211,10-14,18748,17463
PL227,Rybnicki,32275,10-14,16620,15655
PL228,Bytomski,21031,10-14,10761,10270
PL229,Gliwicki,21206,10-14,10877,10329
PL22A,Katowicki,32247,10-14,16434,15813
PL22B,Sosnowiecki,30574,10-14,15644,14930
PL22C,Tyski,22956,10-14,11657,11299
PL4,Makroregion północno-zachodni,325094,10-14,167092,158002
PL41,Wielkopolskie,194368,10-14,99946,94422
PL411,Pilski,21852,10-14,11171,10681
PL414,Koniński,34973,10-14,17977,16996
PL415,Miasto Poznań,22807,10-14,11751,11056
PL416,Kaliski,35678,10-14,18323,17355
PL417,Leszczyński,32384,10-14,16712,15672
PL418,Poznański,46674,10-14,24012,22662
PL42,Zachodniopomorskie,79621,10-14,40903,38718
PL424,Miasto Szczecin,16978,10-14,8692,8286
PL426,Koszaliński,16830,10-14,8762,8068
PL427,Szczecinecko-pyrzycki,19763,10-14,10138,9625
PL428,Szczeciński,26050,10-14,13311,12739
PL43,Lubuskie,51105,10-14,26243,24862
PL431,Gorzowski,19730,10-14,10131,9599
PL432,Zielonogórski,31375,10-14,16112,15263
PL5,Makroregion południowo-zachodni,183793,10-14,94358,89435
PL51,Dolnośląskie,139974,10-14,71868,68106
PL514,Miasto Wrocław,28180,10-14,14407,13773
PL515,Jeleniogórski,24395,10-14,12522,11873
PL516,Legnicko-głogowski,22338,10-14,11438,10900
PL517,Wałbrzyski,26912,10-14,13916,12996
PL518,Wrocławski,38149,10-14,19585,18564
PL52,Opolskie,43819,10-14,22490,21329
PL523,Nyski,16605,10-14,8533,8072
PL524,Opolski,27214,10-14,13957,13257
PL6,Makroregion północny,303605,10-14,156272,147333
PL61,Kujawsko-pomorskie,103916,10-14,53352,50564
PL613,Bydgosko-toruński,38473,10-14,19642,18831
PL616,Grudziądzki,20315,10-14,10451,9864
PL617,Inowrocławski,18086,10-14,9228,8858
PL618,Świecki,10222,10-14,5376,4846
PL619,Włocławski,16820,10-14,8655,8165
PL62,Warmińsko-mazurskie,70272,10-14,36284,33988
PL621,Elbląski,26342,10-14,13601,12741
PL622,Olsztyński,29777,10-14,15378,14399
PL623,Ełcki,14153,10-14,7305,6848
PL63,Pomorskie,129417,10-14,66636,62781
PL633,Trójmiejski,33651,10-14,17363,16288
PL634,Gdański,42247,10-14,21751,20496
PL636,Słupski,17027,10-14,8811,8216
PL637,Chojnicki,12957,10-14,6685,6272
PL638,Starogardzki,23535,10-14,12026,11509
PL7,Makroregion centralny,175359,10-14,90351,85008
PL71,Łódzkie,118478,10-14,60843,57635
PL711,Miasto Łódź,27211,10-14,13823,13388
PL712,Łódzki,21194,10-14,10955,10239
PL713,Piotrkowski,29860,10-14,15465,14395
PL714,Sieradzki,22422,10-14,11468,10954
PL715,Skierniewicki,17791,10-14,9132,8659
PL72,Świętokrzyskie,56881,10-14,29508,27373
PL721,Kielecki,34977,10-14,18191,16786
PL722,Sandomiersko-jędrzejowski,21904,10-14,11317,10587
PL8,Makroregion wschodni,266727,10-14,136657,130070
PL81,Lubelskie,102430,10-14,52364,50066
PL811,Bialski,15067,10-14,7850,7217
PL812,Chełmsko-zamojski,28011,10-14,14257,13754
PL814,Lubelski,36219,10-14,18388,17831
PL815,Puławski,23133,10-14,11869,11264
PL82,Podkarpackie,107792,10-14,55242,52550
PL821,Krośnieński,23960,10-14,12327,11633
PL822,Przemyski,18625,10-14,9487,9138
PL823,Rzeszowski,35486,10-14,18251,17235
PL824,Tarnobrzeski,29721,10-14,15177,14544
PL84,Podlaskie,56505,10-14,29051,27454
PL841,Białostocki,25644,10-14,13198,12446
PL842,Łomżyński,18114,10-14,9304,8810
PL843,Suwalski,12747,10-14,6549,6198
PL9,Makroregion województwo mazowieckie,305464,10-14,156551,148913
PL91,Warszawski stołeczny,182439,10-14,93537,88902
PL911,Miasto Warszawa,91578,10-14,47019,44559
PL912,Warszawski wschodni,44993,10-14,22984,22009
PL913,Warszawski zachodni,45868,10-14,23534,22334
PL92,Mazowiecki regionalny,123025,10-14,63014,60011
PL921,Radomski,30975,10-14,15915,15060
PL922,Ciechanowski,17473,10-14,8907,8566
PL923,Płocki,16348,10-14,8414,7934
PL924,Ostrołęcki,20816,10-14,10713,10103
PL925,Siedlecki,23026,10-14,11704,11322
PL926,Żyrardowski,14387,10-14,7361,7026
PL,Poland,1822716,15-19,933889,888827
PL2,Makroregion południowy,367596,15-19,187763,179833
PL21,Małopolskie,167870,15-19,85762,82108
PL213,Miasto Kraków,29310,15-19,14899,14411
PL214,Krakowski,41807,15-19,21306,20501
PL217,Tarnowski,22170,15-19,11324,10846
PL218,Nowosądecki,30680,15-19,15828,14852
PL219,Nowotarski,18051,15-19,9218,8833
PL21A,Oświęcimski,25852,15-19,13187,12665
PL22,Śląskie,199726,15-19,102001,97725
PL224,Częstochowski,22064,15-19,11246,10818
PL225,Bielski,32901,15-19,16698,16203
PL227,Rybnicki,29644,15-19,15213,14431
PL228,Bytomski,18810,15-19,9561,9249
PL229,Gliwicki,19289,15-19,9848,9441
PL22A,Katowicki,29432,15-19,15060,14372
PL22B,Sosnowiecki,28037,15-19,14406,13631
PL22C,Tyski,19549,15-19,9969,9580
PL4,Makroregion północno-zachodni,304646,15-19,156387,148259
PL41,Wielkopolskie,179933,15-19,92697,87236
PL411,Pilski,21491,15-19,11212,10279
PL414,Koniński,33578,15-19,17392,16186
PL415,Miasto Poznań,20318,15-19,10404,9914
PL416,Kaliski,33882,15-19,17386,16496
PL417,Leszczyński,30139,15-19,15500,14639
PL418,Poznański,40525,15-19,20803,19722
PL42,Zachodniopomorskie,76100,15-19,38892,37208
PL424,Miasto Szczecin,16326,15-19,8409,7917
PL426,Koszaliński,15875,15-19,8076,7799
PL427,Szczecinecko-pyrzycki,19407,15-19,10013,9394
PL428,Szczeciński,24492,15-19,12394,12098
PL43,Lubuskie,48613,15-19,24798,23815
PL431,Gorzowski,18845,15-19,9579,9266
PL432,Zielonogórski,29768,15-19,15219,14549
PL5,Makroregion południowo-zachodni,167934,15-19,85982,81952
PL51,Dolnośląskie,127275,15-19,65084,62191
PL514,Miasto Wrocław,22911,15-19,11574,11337
PL515,Jeleniogórski,24127,15-19,12460,11667
PL516,Legnicko-głogowski,21142,15-19,10859,10283
PL517,Wałbrzyski,25618,15-19,13087,12531
PL518,Wrocławski,33477,15-19,17104,16373
PL52,Opolskie,40659,15-19,20898,19761
PL523,Nyski,15682,15-19,8122,7560
PL524,Opolski,24977,15-19,12776,12201
PL6,Makroregion północny,285162,15-19,146134,139028
PL61,Kujawsko-pomorskie,98692,15-19,50431,48261
PL613,Bydgosko-toruński,35623,15-19,18241,17382
PL616,Grudziądzki,19120,15-19,9863,9257
PL617,Inowrocławski,17485,15-19,8868,8617
PL618,Świecki,9851,15-19,5072,4779
PL619,Włocławski,16613,15-19,8387,8226
PL62,Warmińsko-mazurskie,67548,15-19,34650,32898
PL621,Elbląski,25274,15-19,12983,12291
