code,label,total,age,male,female
PT,Portugal,429772,LT5,221121,208651
PT1,Continente,409843,LT5,210827,199016
PT11,Norte,136517,LT5,70395,66122
PT111,Alto Minho,7780,LT5,3964,3816
PT112,Cávado,17150,LT5,8969,8181
PT119,Ave,16173,LT5,8366,7807
PT11A,Área Metropolitana do Porto,69619,LT5,35793,33826
PT11B,Alto Tâmega e Barroso,2113,LT5,1075,1038
PT11C,Tâmega e Sousa,15039,LT5,7836,7203
PT11D,Douro,5499,LT5,2738,2761
PT11E,Terras de Trás-os-Montes,3144,LT5,1654,1490
PT15,Algarve,21487,LT5,10917,10570
PT150,Algarve,21487,LT5,10917,10570
PT16,Centro (PT) (NUTS 2021),:,LT5,:,:
PT16B,Oeste (NUTS 2021),:,LT5,:,:
PT16D,Região de Aveiro (NUTS 2021),:,LT5,:,:
PT16E,Região de Coimbra (NUTS 2021),:,LT5,:,:
PT16F,Região de Leiria (NUTS 2021),:,LT5,:,:
PT16G,Viseu Dão Lafões (NUTS 2021),:,LT5,:,:
PT16H,Beira Baixa (NUTS 2021),:,LT5,:,:
PT16I,Médio Tejo (NUTS 2021),:,LT5,:,:
PT16J,Beiras e Serra da Estrela (NUTS 2021),:,LT5,:,:
PT17,Área Metropolitana de Lisboa (NUTS 2021),:,LT5,:,:
PT170,Área Metropolitana de Lisboa (NUTS 2021),:,LT5,:,:
PT18,Alentejo (NUTS 2021),:,LT5,:,:
PT181,Alentejo Litoral (NUTS 2021),:,LT5,:,:
PT184,Baixo Alentejo (NUTS 2021),:,LT5,:,:
PT185,Lezíria do Tejo (NUTS 2021),:,LT5,:,:
PT186,Alto Alentejo (NUTS 2021),:,LT5,:,:
PT187,Alentejo Central (NUTS 2021),:,LT5,:,:
PT19,Centro (PT),59890,LT5,30874,29016
PT191,Região de Aveiro,15137,LT5,7788,7349
PT192,Região de Coimbra,15433,LT5,7920,7513
PT193,Região de Leiria,11476,LT5,5922,5554
PT194,Viseu Dão Lafões,8583,LT5,4467,4116
PT195,Beira Baixa,3111,LT5,1637,1474
PT196,Beiras e Serra da Estrela,6150,LT5,3140,3010
PT1A,Grande Lisboa,102308,LT5,52547,49761
PT1A0,Grande Lisboa,102308,LT5,52547,49761
PT1B,Península de Setúbal,38424,LT5,19682,18742
PT1B0,Península de Setúbal,38424,LT5,19682,18742
PT1C,Alentejo,18276,LT5,9391,8885
PT1C1,Alentejo Litoral,3958,LT5,2053,1905
PT1C2,Baixo Alentejo,4841,LT5,2494,2347
PT1C3,Alto Alentejo,3615,LT5,1819,1796
PT1C4,Alentejo Central,5862,LT5,3025,2837
PT1D,Oeste e Vale do Tejo,32941,LT5,17021,15920
PT1D1,Oeste,15807,LT5,8156,7651
PT1D2,Médio Tejo,7382,LT5,3870,3512
PT1D3,Lezíria do Tejo,9752,LT5,4995,4757
PT2,Região Autónoma dos Açores,10606,LT5,5475,5131
PT20,Região Autónoma dos Açores,10606,LT5,5475,5131
PT200,Região Autónoma dos Açores,10606,LT5,5475,5131
PT3,Região Autónoma da Madeira,9323,LT5,4819,4504
PT30,Região Autónoma da Madeira,9323,LT5,4819,4504
PT300,Região Autónoma da Madeira,9323,LT5,4819,4504
PT,Portugal,448180,5-9,229621,218559
PT1,Continente,426705,5-9,218647,208058
PT11,Norte,145931,5-9,74798,71133
PT111,Alto Minho,8495,5-9,4395,4100
PT112,Cávado,18311,5-9,9388,8923
PT119,Ave,16893,5-9,8684,8209
PT11A,Área Metropolitana do Porto,73744,5-9,37702,36042
PT11B,Alto Tâmega e Barroso,2556,5-9,1325,1231
PT11C,Tâmega e Sousa,16394,5-9,8458,7936
PT11D,Douro,6177,5-9,3136,3041
PT11E,Terras de Trás-os-Montes,3361,5-9,1710,1651
PT15,Algarve,21975,5-9,11205,10770
PT150,Algarve,21975,5-9,11205,10770
PT16,Centro (PT) (NUTS 2021),:,5-9,:,:
PT16B,Oeste (NUTS 2021),:,5-9,:,:
PT16D,Região de Aveiro (NUTS 2021),:,5-9,:,:
PT16E,Região de Coimbra (NUTS 2021),:,5-9,:,:
PT16F,Região de Leiria (NUTS 2021),:,5-9,:,:
PT16G,Viseu Dão Lafões (NUTS 2021),:,5-9,:,:
PT16H,Beira Baixa (NUTS 2021),:,5-9,:,:
PT16I,Médio Tejo (NUTS 2021),:,5-9,:,:
PT16J,Beiras e Serra da Estrela (NUTS 2021),:,5-9,:,:
PT17,Área Metropolitana de Lisboa (NUTS 2021),:,5-9,:,:
PT170,Área Metropolitana de Lisboa (NUTS 2021),:,5-9,:,:
PT18,Alentejo (NUTS 2021),:,5-9,:,:
PT181,Alentejo Litoral (NUTS 2021),:,5-9,:,:
PT184,Baixo Alentejo (NUTS 2021),:,5-9,:,:
PT185,Lezíria do Tejo (NUTS 2021),:,5-9,:,:
PT186,Alto Alentejo (NUTS 2021),:,5-9,:,:
PT187,Alentejo Central (NUTS 2021),:,5-9,:,:
PT19,Centro (PT),65132,5-9,33559,31573
PT191,Região de Aveiro,16061,5-9,8380,7681
PT192,Região de Coimbra,16980,5-9,8779,8201
PT193,Região de Leiria,12176,5-9,6188,5988
PT194,Viseu Dão Lafões,9626,5-9,4922,4704
PT195,Beira Baixa,3479,5-9,1808,1671
PT196,Beiras e Serra da Estrela,6810,5-9,3482,3328
PT1A,Grande Lisboa,100222,5-9,51418,48804
PT1A0,Grande Lisboa,100222,5-9,51418,48804
PT1B,Península de Setúbal,38977,5-9,19885,19092
PT1B0,Península de Setúbal,38977,5-9,19885,19092
PT1C,Alentejo,18990,5-9,9783,9207
PT1C1,Alentejo Litoral,3816,5-9,1977,1839
PT1C2,Baixo Alentejo,4852,5-9,2514,2338
PT1C3,Alto Alentejo,4113,5-9,2077,2036
PT1C4,Alentejo Central,6209,5-9,3215,2994
PT1D,Oeste e Vale do Tejo,35478,5-9,17999,17479
PT1D1,Oeste,16708,5-9,8479,8229
PT1D2,Médio Tejo,8227,5-9,4200,4027
PT1D3,Lezíria do Tejo,10543,5-9,5320,5223
PT2,Região Autónoma dos Açores,11144,5-9,5748,5396
PT20,Região Autónoma dos Açores,11144,5-9,5748,5396
PT200,Região Autónoma dos Açores,11144,5-9,5748,5396
PT3,Região Autónoma da Madeira,10331,5-9,5226,5105
PT30,Região Autónoma da Madeira,10331,5-9,5226,5105
PT300,Região Autónoma da Madeira,10331,5-9,5226,5105
PT,Portugal,485816,10-14,247542,238274
PT1,Continente,461514,10-14,235193,226321
PT11,Norte,160179,10-14,81498,78681
PT111,Alto Minho,9510,10-14,4797,4713
PT112,Cávado,20096,10-14,10254,9842
PT119,Ave,18172,10-14,9433,8739
PT11A,Área Metropolitana do Porto,80327,10-14,40749,39578
PT11B,Alto Tâmega e Barroso,2790,10-14,1430,1360
PT11C,Tâmega e Sousa,18528,10-14,9416,9112
PT11D,Douro,7075,10-14,3561,3514
PT11E,Terras de Trás-os-Montes,3681,10-14,1858,1823
PT15,Algarve,23030,10-14,11832,11198
PT150,Algarve,23030,10-14,11832,11198
