code,label,total,age,male,female
RO,Romania,919806,LT5,473159,446647
RO1,Macroregiunea Unu,245729,LT5,126589,119140
RO11,Nord-Vest,128147,LT5,66028,62119
RO111,Bihor,29033,LT5,15015,14018
RO112,Bistriţa-Năsăud,15939,LT5,8195,7744
RO113,Cluj,34855,LT5,17894,16961
RO114,Maramureş,21224,LT5,10964,10260
RO115,Satu Mare,15872,LT5,8183,7689
RO116,Sălaj,11224,LT5,5777,5447
RO12,Centru,117582,LT5,60561,57021
RO121,Alba,14403,LT5,7416,6987
RO122,Braşov,30161,LT5,15442,14719
RO123,Covasna,10307,LT5,5326,4981
RO124,Harghita,15240,LT5,7896,7344
RO125,Mureş,26901,LT5,13899,13002
RO126,Sibiu,20570,LT5,10582,9988
RO2,Macroregiunea Doi,278806,LT5,142884,135922
RO21,Nord-Est,173599,LT5,88947,84652
RO211,Bacău,29442,LT5,15077,14365
RO212,Botoşani,18847,LT5,9721,9126
RO213,Iaşi,46317,LT5,23685,22632
RO214,Neamţ,20166,LT5,10293,9873
RO215,Suceava,39574,LT5,20263,19311
RO216,Vaslui,19253,LT5,9908,9345
RO22,Sud-Est,105207,LT5,53937,51270
RO221,Brăila,10615,LT5,5507,5108
RO222,Buzău,16781,LT5,8634,8147
RO223,Constanţa,31552,LT5,16107,15445
RO224,Galaţi,23305,LT5,11945,11360
RO225,Tulcea,7703,LT5,3898,3805
RO226,Vrancea,15251,LT5,7846,7405
RO3,Macroregiunea Trei,241320,LT5,124376,116944
RO31,Sud-Muntenia,122928,LT5,63310,59618
RO311,Argeş,23637,LT5,12193,11444
RO312,Călăraşi,13308,LT5,6863,6445
RO313,Dâmboviţa,21451,LT5,11033,10418
RO314,Giurgiu,11512,LT5,5947,5565
RO315,Ialomiţa,13071,LT5,6799,6272
RO316,Prahova,28165,LT5,14320,13845
RO317,Teleorman,11784,LT5,6155,5629
RO32,Bucureşti-Ilfov,118392,LT5,61066,57326
RO321,Bucureşti,86949,LT5,44942,42007
RO322,Ilfov,31443,LT5,16124,15319
RO4,Macroregiunea Patru,153951,LT5,79310,74641
RO41,Sud-Vest Oltenia,76314,LT5,39329,36985
RO411,Dolj,28418,LT5,14670,13748
RO412,Gorj,11801,LT5,6109,5692
RO413,Mehedinţi,8473,LT5,4324,4149
RO414,Olt,14848,LT5,7639,7209
RO415,Vâlcea,12774,LT5,6587,6187
RO42,Vest,77637,LT5,39981,37656
RO421,Arad,19675,LT5,10191,9484
RO422,Caraş-Severin,9667,LT5,5030,4637
RO423,Hunedoara,13749,LT5,7011,6738
RO424,Timiş,34546,LT5,17749,16797
RO,Romania,1045721,5-9,536945,508776
RO1,Macroregiunea Unu,272459,5-9,139765,132694
RO11,Nord-Vest,142043,5-9,72734,69309
RO111,Bihor,31029,5-9,16025,15004
RO112,Bistriţa-Năsăud,18080,5-9,9188,8892
RO113,Cluj,37236,5-9,19124,18112
RO114,Maramureş,24640,5-9,12559,12081
RO115,Satu Mare,18871,5-9,9692,9179
RO116,Sălaj,12187,5-9,6146,6041
RO12,Centru,130416,5-9,67031,63385
RO121,Alba,16188,5-9,8317,7871
RO122,Braşov,33355,5-9,17155,16200
RO123,Covasna,11327,5-9,5714,5613
RO124,Harghita,16526,5-9,8467,8059
RO125,Mureş,29449,5-9,15204,14245
RO126,Sibiu,23571,5-9,12174,11397
RO2,Macroregiunea Doi,324927,5-9,166557,158370
RO21,Nord-Est,202019,5-9,103757,98262
RO211,Bacău,35049,5-9,18012,17037
RO212,Botoşani,21607,5-9,11049,10558
RO213,Iaşi,54398,5-9,27915,26483
RO214,Neamţ,24710,5-9,12658,12052
RO215,Suceava,43390,5-9,22312,21078
RO216,Vaslui,22865,5-9,11811,11054
RO22,Sud-Est,122908,5-9,62800,60108
RO221,Brăila,12250,5-9,6261,5989
RO222,Buzău,18986,5-9,9788,9198
RO223,Constanţa,37306,5-9,19126,18180
RO224,Galaţi,26383,5-9,13399,12984
RO225,Tulcea,9451,5-9,4762,4689
RO226,Vrancea,18532,5-9,9464,9068
RO3,Macroregiunea Trei,271305,5-9,139616,131689
RO31,Sud-Muntenia,143194,5-9,73678,69516
RO311,Argeş,27969,5-9,14297,13672
RO312,Călăraşi,15368,5-9,7934,7434
RO313,Dâmboviţa,24469,5-9,12629,11840
RO314,Giurgiu,13202,5-9,6796,6406
RO315,Ialomiţa,14694,5-9,7489,7205
RO316,Prahova,33378,5-9,17186,16192
RO317,Teleorman,14114,5-9,7347,6767
RO32,Bucureşti-Ilfov,128111,5-9,65938,62173
RO321,Bucureşti,90671,5-9,46711,43960
RO322,Ilfov,37440,5-9,19227,18213
RO4,Macroregiunea Patru,177030,5-9,91007,86023
RO41,Sud-Vest Oltenia,90008,5-9,46246,43762
RO411,Dolj,32049,5-9,16467,15582
RO412,Gorj,14165,5-9,7382,6783
RO413,Mehedinţi,11141,5-9,5719,5422
RO414,Olt,16887,5-9,8615,8272
RO415,Vâlcea,15766,5-9,8063,7703
RO42,Vest,87022,5-9,44761,42261
RO421,Arad,22113,5-9,11352,10761
RO422,Caraş-Severin,11525,5-9,5911,5614
RO423,Hunedoara,15976,5-9,8294,7682
RO424,Timiş,37408,5-9,19204,18204
RO,Romania,1067612,10-14,548443,519169
RO1,Macroregiunea Unu,271925,10-14,139868,132057
RO11,Nord-Vest,141555,10-14,72552,69003
RO111,Bihor,31762,10-14,16258,15504
RO112,Bistriţa-Năsăud,18087,10-14,9207,8880
RO113,Cluj,34671,10-14,17857,16814
RO114,Maramureş,24983,10-14,12883,12100
RO115,Satu Mare,19920,10-14,10227,9693
RO116,Sălaj,12132,10-14,6120,6012
RO12,Centru,130370,10-14,67316,63054
RO121,Alba,16972,10-14,8792,8180
RO122,Braşov,32409,10-14,16759,15650
RO123,Covasna,11826,10-14,6152,5674
RO124,Harghita,16890,10-14,8637,8253
RO125,Mureş,29581,10-14,15259,14322
RO126,Sibiu,22692,10-14,11717,10975
RO2,Macroregiunea Doi,339499,10-14,173905,165594
RO21,Nord-Est,208725,10-14,106927,101798
RO211,Bacău,37426,10-14,19177,18249
RO212,Botoşani,23312,10-14,11916,11396
RO213,Iaşi,52985,10-14,27128,25857
RO214,Neamţ,26687,10-14,13648,13039
RO215,Suceava,43136,10-14,22177,20959
RO216,Vaslui,25179,10-14,12881,12298
RO22,Sud-Est,130774,10-14,66978,63796
RO221,Brăila,13502,10-14,6989,6513
RO222,Buzău,21291,10-14,11016,10275
RO223,Constanţa,38480,10-14,19551,18929
RO224,Galaţi,27312,10-14,13877,13435
RO225,Tulcea,10451,10-14,5388,5063
RO226,Vrancea,19738,10-14,10157,9581
RO3,Macroregiunea Trei,276499,10-14,142473,134026
RO31,Sud-Muntenia,152142,10-14,78626,73516
RO311,Argeş,28982,10-14,14913,14069
RO312,Călăraşi,16401,10-14,8508,7893
