code,label,total,age,male,female
SK,Slovakia,278020,LT5,142035,135985
SK0,Slovensko,278020,LT5,142035,135985
SK01,Bratislavský kraj,39954,LT5,20517,19437
SK010,Bratislavský kraj,39954,LT5,20517,19437
SK02,Západné Slovensko,81578,LT5,41750,39828
SK021,Trnavský kraj,27002,LT5,13790,13212
SK022,Trenčiansky kraj,25328,LT5,12942,12386
SK023,Nitriansky kraj,29248,LT5,15018,14230
SK03,Stredné Slovensko,64214,LT5,32727,31487
SK031,Žilinský kraj,35562,LT5,18079,17483
SK032,Banskobystrický kraj,28652,LT5,14648,14004
SK04,Východné Slovensko,92274,LT5,47041,45233
SK041,Prešovský kraj,49090,LT5,24999,24091
SK042,Košický kraj,43184,LT5,22042,21142
SK,Slovakia,298553,5-9,153101,145452
SK0,Slovensko,298553,5-9,153101,145452
SK01,Bratislavský kraj,44830,5-9,23069,21761
SK010,Bratislavský kraj,44830,5-9,23069,21761
SK02,Západné Slovensko,88679,5-9,45645,43034
SK021,Trnavský kraj,29231,5-9,15089,14142
SK022,Trenčiansky kraj,27716,5-9,14270,13446
SK023,Nitriansky kraj,31732,5-9,16286,15446
SK03,Stredné Slovensko,68805,5-9,35300,33505
SK031,Žilinský kraj,37315,5-9,19177,18138
SK032,Banskobystrický kraj,31490,5-9,16123,15367
SK04,Východné Slovensko,96239,5-9,49087,47152
SK041,Prešovský kraj,50087,5-9,25464,24623
SK042,Košický kraj,46152,5-9,23623,22529
SK,Slovakia,290824,10-14,148887,141937
SK0,Slovensko,290824,10-14,148887,141937
SK01,Bratislavský kraj,39345,10-14,20045,19300
SK010,Bratislavský kraj,39345,10-14,20045,19300
SK02,Západné Slovensko,87454,10-14,44994,42460
SK021,Trnavský kraj,28040,10-14,14482,13558
SK022,Trenčiansky kraj,27761,10-14,14130,13631
SK023,Nitriansky kraj,31653,10-14,16382,15271
SK03,Stredné Slovensko,68093,10-14,34813,33280
SK031,Žilinský kraj,36651,10-14,18883,17768
SK032,Banskobystrický kraj,31442,10-14,15930,15512
SK04,Východné Slovensko,95932,10-14,49035,46897
SK041,Prešovský kraj,49422,10-14,25295,24127
SK042,Košický kraj,46510,10-14,23740,22770
SK,Slovakia,269926,15-19,138465,131461
SK0,Slovensko,269926,15-19,138465,131461
SK01,Bratislavský kraj,31379,15-19,16051,15328
SK010,Bratislavský kraj,31379,15-19,16051,15328
SK02,Západné Slovensko,81725,15-19,41946,39779
SK021,Trnavský kraj,25963,15-19,13278,12685
SK022,Trenčiansky kraj,25450,15-19,13050,12400
