code,label,total,age,male,female
SI,Slovenia,92953,LT5,47833,45120
SI0,Slovenija,92953,LT5,47833,45120
SI03,Vzhodna Slovenija,47940,LT5,24592,23348
SI031,Pomurska,4280,LT5,2228,2052
SI032,Podravska,13389,LT5,6801,6588
SI033,Koroška,3019,LT5,1530,1489
SI034,Savinjska,11660,LT5,5996,5664
SI035,Zasavska,2292,LT5,1213,1079
SI036,Posavska,3447,LT5,1778,1669
SI037,Jugovzhodna Slovenija,7484,LT5,3818,3666
SI038,Primorsko-notranjska,2369,LT5,1228,1141
SI04,Zahodna Slovenija,45013,LT5,23241,21772
SI041,Osrednjeslovenska,25972,LT5,13385,12587
SI042,Gorenjska,9655,LT5,4978,4677
SI043,Goriška,4862,LT5,2524,2338
SI044,Obalno-kraška,4524,LT5,2354,2170
SI,Slovenia,105759,5-9,54530,51229
SI0,Slovenija,105759,5-9,54530,51229
SI03,Vzhodna Slovenija,54362,5-9,28065,26297
SI031,Pomurska,4977,5-9,2579,2398
SI032,Podravska,15384,5-9,8007,7377
SI033,Koroška,3457,5-9,1721,1736
SI034,Savinjska,13022,5-9,6626,6396
SI035,Zasavska,2789,5-9,1439,1350
SI036,Posavska,3786,5-9,2012,1774
SI037,Jugovzhodna Slovenija,8238,5-9,4241,3997
SI038,Primorsko-notranjska,2709,5-9,1440,1269
SI04,Zahodna Slovenija,51397,5-9,26465,24932
SI041,Osrednjeslovenska,29411,5-9,15061,14350
SI042,Gorenjska,10779,5-9,5611,5168
SI043,Goriška,5690,5-9,2922,2768
SI044,Obalno-kraška,5517,5-9,2871,2646
SI,Slovenia,114133,10-14,58844,55289
SI0,Slovenija,114133,10-14,58844,55289
SI03,Vzhodna Slovenija,57479,10-14,29596,27883
SI031,Pomurska,5344,10-14,2781,2563
SI032,Podravska,16204,10-14,8326,7878
SI033,Koroška,3570,10-14,1826,1744
SI034,Savinjska,14117,10-14,7241,6876
SI035,Zasavska,2962,10-14,1556,1406
SI036,Posavska,3932,10-14,1988,1944
SI037,Jugovzhodna Slovenija,8312,10-14,4316,3996
SI038,Primorsko-notranjska,3038,10-14,1562,1476
SI04,Zahodna Slovenija,56654,10-14,29248,27406
SI041,Osrednjeslovenska,32046,10-14,16526,15520
SI042,Gorenjska,11893,10-14,6201,5692
SI043,Goriška,6603,10-14,3413,3190
SI044,Obalno-kraška,6112,10-14,3108,3004
SI,Slovenia,103993,15-19,53371,50622
SI0,Slovenija,103993,15-19,53371,50622
SI03,Vzhodna Slovenija,52117,15-19,26825,25292
SI031,Pomurska,4841,15-19,2440,2401
SI032,Podravska,15553,15-19,7933,7620
SI033,Koroška,3238,15-19,1682,1556
SI034,Savinjska,12579,15-19,6553,6026
SI035,Zasavska,2609,15-19,1378,1231
SI036,Posavska,3470,15-19,1745,1725
SI037,Jugovzhodna Slovenija,7207,15-19,3752,3455
SI038,Primorsko-notranjska,2620,15-19,1342,1278
SI04,Zahodna Slovenija,51876,15-19,26546,25330
SI041,Osrednjeslovenska,30081,15-19,15283,14798
SI042,Gorenjska,10834,15-19,5645,5189
SI043,Goriška,5488,15-19,2807,2681
SI044,Obalno-kraška,5473,15-19,2811,2662
SI,Slovenia,102784,20-24,54705,48079
SI0,Slovenija,102784,20-24,54705,48079
SI03,Vzhodna Slovenija,48224,20-24,26768,21456
SI031,Pomurska,4147,20-24,2278,1869
SI032,Podravska,16735,20-24,9140,7595
SI033,Koroška,2760,20-24,1531,1229
SI034,Savinjska,10832,20-24,6167,4665
SI035,Zasavska,2327,20-24,1280,1047
SI036,Posavska,3134,20-24,1797,1337
SI037,Jugovzhodna Slovenija,6233,20-24,3432,2801
SI038,Primorsko-notranjska,2056,20-24,1143,913
SI04,Zahodna Slovenija,54560,20-24,27937,26623
SI041,Osrednjeslovenska,34961,20-24,17249,17712
SI042,Gorenjska,9922,20-24,5444,4478
SI043,Goriška,4222,20-24,2429,1793
SI044,Obalno-kraška,5455,20-24,2815,2640
SI,Slovenia,111875,25-29,60637,51238
SI0,Slovenija,111875,25-29,60637,51238
SI03,Vzhodna Slovenija,57452,25-29,31681,25771
SI031,Pomurska,5241,25-29,2721,2520
SI032,Podravska,17052,25-29,9452,7600
SI033,Koroška,3638,25-29,2040,1598
SI034,Savinjska,14219,25-29,7921,6298
SI035,Zasavska,2945,25-29,1606,1339
SI036,Posavska,3871,25-29,2158,1713
SI037,Jugovzhodna Slovenija,7866,25-29,4314,3552
SI038,Primorsko-notranjska,2620,25-29,1469,1151
SI04,Zahodna Slovenija,54423,25-29,28956,25467
SI041,Osrednjeslovenska,31973,25-29,16774,15199
SI042,Gorenjska,11166,25-29,6087,5079
SI043,Goriška,5696,25-29,3124,2572
SI044,Obalno-kraška,5588,25-29,2971,2617
SI,Slovenia,121881,30-34,65351,56530
SI0,Slovenija,121881,30-34,65351,56530
SI03,Vzhodna Slovenija,63468,30-34,34750,28718
SI031,Pomurska,5963,30-34,3180,2783
SI032,Podravska,18923,30-34,10459,8464
SI033,Koroška,3893,30-34,2137,1756
SI034,Savinjska,15086,30-34,8339,6747
SI035,Zasavska,3184,30-34,1697,1487
SI036,Posavska,4307,30-34,2354,1953
SI037,Jugovzhodna Slovenija,9062,30-34,4902,4160
SI038,Primorsko-notranjska,3050,30-34,1682,1368
SI04,Zahodna Slovenija,58413,30-34,30601,27812
SI041,Osrednjeslovenska,33669,30-34,17434,16235
