code,label,total,age,male,female
ES,Spain,1745534,LT5,896682,848852
ES1,Noroeste,120263,LT5,61531,58732
ES11,Galicia,77506,LT5,39634,37872
ES111,A Coruña,33035,LT5,16847,16188
ES112,Lugo,8787,LT5,4555,4232
ES113,Ourense,7443,LT5,3860,3583
ES114,Pontevedra,28241,LT5,14372,13869
ES12,Principado de Asturias,25435,LT5,12948,12487
ES120,Asturias,25435,LT5,12948,12487
ES13,Cantabria,17322,LT5,8949,8373
ES130,Cantabria,17322,LT5,8949,8373
ES2,Noreste,158668,LT5,81582,77086
ES21,País Vasco,73306,LT5,37804,35502
ES211,Araba/Álava,12156,LT5,6305,5851
ES212,Gipuzkoa,24859,LT5,12716,12143
ES213,Bizkaia,36291,LT5,18783,17508
ES22,Comunidad Foral de Navarra,25862,LT5,13381,12481
ES220,Navarra,25862,LT5,13381,12481
ES23,La Rioja,11624,LT5,5894,5730
ES230,La Rioja,11624,LT5,5894,5730
ES24,Aragón,47876,LT5,24503,23373
ES241,Huesca,8142,LT5,4253,3889
ES242,Teruel,4859,LT5,2427,2432
ES243,Zaragoza,34875,LT5,17823,17052
ES3,Comunidad de Madrid,263689,LT5,135427,128262
ES30,Comunidad de Madrid,263689,LT5,135427,128262
ES300,Madrid,263689,LT5,135427,128262
ES4,Centro (ES),185306,LT5,95443,89863
ES41,Castilla y León,70235,LT5,36253,33982
ES411,Ávila,4791,LT5,2484,2307
ES412,Burgos,11297,LT5,5815,5482
ES413,León,11744,LT5,6110,5634
ES414,Palencia,4608,LT5,2385,2223
ES415,Salamanca,9294,LT5,4810,4484
ES416,Segovia,5173,LT5,2668,2505
ES417,Soria,2984,LT5,1568,1416
ES418,Valladolid,16427,LT5,8376,8051
ES419,Zamora,3917,LT5,2037,1880
ES42,Castilla-La Mancha,78354,LT5,40279,38075
ES421,Albacete,13916,LT5,7157,6759
ES422,Ciudad Real,17655,LT5,9114,8541
ES423,Cuenca,6641,LT5,3413,3228
ES424,Guadalajara,10706,LT5,5450,5256
ES425,Toledo,29436,LT5,15145,14291
ES43,Extremadura,36717,LT5,18911,17806
ES431,Badajoz,24572,LT5,12714,11858
ES432,Cáceres,12145,LT5,6197,5948
ES5,Este,539239,LT5,276888,262351
ES51,Cataluña,298445,LT5,153030,145415
ES511,Barcelona,214966,LT5,110295,104671
ES512,Girona,32989,LT5,16864,16125
ES513,Lleida,17198,LT5,8845,8353
ES514,Tarragona,33292,LT5,17026,16266
ES52,Comunitat Valenciana,193037,LT5,99376,93661
ES521,Alicante/Alacant,72815,LT5,37486,35329
ES522,Castellón/Castelló,22771,LT5,11716,11055
ES523,Valencia/València,97451,LT5,50174,47277
ES53,Illes Balears,47757,LT5,24482,23275
ES531,Eivissa y Formentera,6740,LT5,3506,3234
ES532,Mallorca,37573,LT5,19221,18352
ES533,Menorca,3444,LT5,1755,1689
ES6,Sur,411628,LT5,211571,200057
ES61,Andalucía,333846,LT5,171542,162304
ES611,Almería,35304,LT5,18213,17091
ES612,Cádiz,46240,LT5,23834,22406
ES613,Córdoba,28815,LT5,14583,14232
ES614,Granada,36533,LT5,18684,17849
ES615,Huelva,20872,LT5,10651,10221
ES616,Jaén,22455,LT5,11685,10770
ES617,Málaga,66105,LT5,34042,32063
ES618,Sevilla,77522,LT5,39850,37672
ES62,Región de Murcia,69294,LT5,35636,33658
ES620,Murcia,69294,LT5,35636,33658
ES63,Ciudad de Ceuta,3774,LT5,1958,1816
ES630,Ceuta,3774,LT5,1958,1816
ES64,Ciudad de Melilla,4714,LT5,2435,2279
ES640,Melilla,4714,LT5,2435,2279
ES7,Canarias,66741,LT5,34240,32501
ES70,Canarias,66741,LT5,34240,32501
ES703,El Hierro,333,LT5,172,161
ES704,Fuerteventura,4840,LT5,2525,2315
ES705,Gran Canaria,24802,LT5,12701,12101
ES706,La Gomera,542,LT5,276,266
ES707,La Palma,2285,LT5,1190,1095
ES708,Lanzarote,6024,LT5,3110,2914
ES709,Tenerife,27915,LT5,14266,13649
ES,Spain,2196171,5-9,1129681,1066490
ES1,Noroeste,159854,5-9,82382,77472
ES11,Galicia,101947,5-9,52626,49321
ES111,A Coruña,43672,5-9,22499,21173
ES112,Lugo,11353,5-9,5742,5611
ES113,Ourense,9865,5-9,5128,4737
ES114,Pontevedra,37057,5-9,19257,17800
ES12,Principado de Asturias,34389,5-9,17783,16606
ES120,Asturias,34389,5-9,17783,16606
ES13,Cantabria,23518,5-9,11973,11545
ES130,Cantabria,23518,5-9,11973,11545
ES2,Noreste,203085,5-9,104236,98849
ES21,País Vasco,94983,5-9,48678,46305
ES211,Araba/Álava,16102,5-9,8197,7905
ES212,Gipuzkoa,31597,5-9,16125,15472
ES213,Bizkaia,47284,5-9,24356,22928
ES22,Comunidad Foral de Navarra,33257,5-9,16928,16329
ES220,Navarra,33257,5-9,16928,16329
ES23,La Rioja,14651,5-9,7638,7013
ES230,La Rioja,14651,5-9,7638,7013
ES24,Aragón,60194,5-9,30992,29202
ES241,Huesca,10095,5-9,5248,4847
ES242,Teruel,5691,5-9,2902,2789
ES243,Zaragoza,44408,5-9,22842,21566
ES3,Comunidad de Madrid,326737,5-9,167584,159153
ES30,Comunidad de Madrid,326737,5-9,167584,159153
ES300,Madrid,326737,5-9,167584,159153
ES4,Centro (ES),234891,5-9,120825,114066
ES41,Castilla y León,90281,5-9,46504,43777
ES411,Ávila,6162,5-9,3182,2980
ES412,Burgos,14509,5-9,7462,7047
ES413,León,15198,5-9,7864,7334
ES414,Palencia,5988,5-9,3082,2906
ES415,Salamanca,11817,5-9,6038,5779
ES416,Segovia,6493,5-9,3329,3164
ES417,Soria,3658,5-9,1886,1772
ES418,Valladolid,21445,5-9,11036,10409
ES419,Zamora,5011,5-9,2625,2386
ES42,Castilla-La Mancha,99892,5-9,51379,48513
ES421,Albacete,17458,5-9,9100,8358
ES422,Ciudad Real,21643,5-9,11130,10513
ES423,Cuenca,7942,5-9,3996,3946
ES424,Guadalajara,14237,5-9,7260,6977
ES425,Toledo,38612,5-9,19893,18719
ES43,Extremadura,44718,5-9,22942,21776
ES431,Badajoz,29648,5-9,15253,14395
ES432,Cáceres,15070,5-9,7689,7381
ES5,Este,674881,5-9,347590,327291
ES51,Cataluña,373759,5-9,192344,181415
ES511,Barcelona,269361,5-9,138762,130599
ES512,Girona,41018,5-9,21053,19965
ES513,Lleida,21355,5-9,10974,10381
ES514,Tarragona,42025,5-9,21555,20470
ES52,Comunitat Valenciana,243780,5-9,125614,118166
ES521,Alicante/Alacant,92294,5-9,47580,44714
ES522,Castellón/Castelló,28825,5-9,14950,13875
ES523,Valencia/València,122661,5-9,63084,59577
ES53,Illes Balears,57342,5-9,29632,27710
ES531,Eivissa y Formentera,7802,5-9,4081,3721
ES532,Mallorca,45295,5-9,23387,21908
ES533,Menorca,4245,5-9,2164,2081
ES6,Sur,507938,5-9,261523,246415
ES61,Andalucía,412625,5-9,212327,200298
ES611,Almería,41619,5-9,21500,20119
ES612,Cádiz,59542,5-9,30676,28866
