code,label,total,age,male,female
SE,Sweden,557673,LT5,286361,271312
SE1,Östra Sverige,229112,LT5,117482,111630
SE11,Stockholm,137103,LT5,70307,66796
SE110,Stockholms län,137103,LT5,70307,66796
SE12,Östra Mellansverige,92009,LT5,47175,44834
SE121,Uppsala län,21404,LT5,10990,10414
SE122,Södermanlands län,15462,LT5,7900,7562
SE123,Östergötlands län,24317,LT5,12520,11797
SE124,Örebro län,16014,LT5,8142,7872
SE125,Västmanlands län,14812,LT5,7623,7189
SE2,Södra Sverige,244028,LT5,125370,118658
SE21,Småland med öarna,46090,LT5,23764,22326
SE211,Jönköpings län,20260,LT5,10458,9802
SE212,Kronobergs län,11216,LT5,5838,5378
SE213,Kalmar län,12025,LT5,6158,5867
SE214,Gotlands län,2589,LT5,1310,1279
SE22,Sydsverige,84662,LT5,43362,41300
SE221,Blekinge län,7460,LT5,3821,3639
SE224,Skåne län,77202,LT5,39541,37661
SE23,Västsverige,113276,LT5,58244,55032
SE231,Hallands län,18258,LT5,9332,8926
SE232,Västra Götalands län,95018,LT5,48912,46106
SE3,Norra Sverige,84533,LT5,43509,41024
SE31,Norra Mellansverige,40907,LT5,20979,19928
SE311,Värmlands län,13360,LT5,6910,6450
SE312,Dalarnas län,14057,LT5,7158,6899
SE313,Gävleborgs län,13490,LT5,6911,6579
SE32,Mellersta Norrland,17823,LT5,9167,8656
SE321,Västernorrlands län,11374,LT5,5844,5530
SE322,Jämtlands län,6449,LT5,3323,3126
SE33,Övre Norrland,25803,LT5,13363,12440
SE331,Västerbottens län,14136,LT5,7282,6854
SE332,Norrbottens län,11667,LT5,6081,5586
SE,Sweden,615262,5-9,316609,298653
SE1,Östra Sverige,249455,5-9,128288,121167
SE11,Stockholm,144987,5-9,74365,70622
SE110,Stockholms län,144987,5-9,74365,70622
SE12,Östra Mellansverige,104468,5-9,53923,50545
SE121,Uppsala län,24048,5-9,12315,11733
SE122,Södermanlands län,18678,5-9,9621,9057
SE123,Östergötlands län,27247,5-9,14104,13143
SE124,Örebro län,17835,5-9,9211,8624
SE125,Västmanlands län,16660,5-9,8672,7988
SE2,Södra Sverige,268207,5-9,138067,130140
SE21,Småland med öarna,51658,5-9,26355,25303
SE211,Jönköpings län,22503,5-9,11462,11041
SE212,Kronobergs län,12244,5-9,6211,6033
SE213,Kalmar län,13703,5-9,7013,6690
SE214,Gotlands län,3208,5-9,1669,1539
SE22,Sydsverige,93912,5-9,48399,45513
SE221,Blekinge län,8667,5-9,4427,4240
SE224,Skåne län,85245,5-9,43972,41273
SE23,Västsverige,122637,5-9,63313,59324
SE231,Hallands län,20732,5-9,10693,10039
SE232,Västra Götalands län,101905,5-9,52620,49285
SE3,Norra Sverige,97600,5-9,50254,47346
SE31,Norra Mellansverige,48097,5-9,24650,23447
SE311,Värmlands län,15835,5-9,8120,7715
SE312,Dalarnas län,16413,5-9,8442,7971
SE313,Gävleborgs län,15849,5-9,8088,7761
SE32,Mellersta Norrland,21057,5-9,10959,10098
SE321,Västernorrlands län,13391,5-9,6947,6444
SE322,Jämtlands län,7666,5-9,4012,3654
SE33,Övre Norrland,28446,5-9,14645,13801
SE331,Västerbottens län,15621,5-9,8080,7541
SE332,Norrbottens län,12825,5-9,6565,6260
SE,Sweden,630646,10-14,324475,306171
SE1,Östra Sverige,255159,10-14,131598,123561
SE11,Stockholm,149022,10-14,76993,72029
SE110,Stockholms län,149022,10-14,76993,72029
SE12,Östra Mellansverige,106137,10-14,54605,51532
