total,code,female,year,male
11554767,BE,5854293,2021,5700474
1226329,BE1,622670,2021,603659
1226329,BE10,622670,2021,603659
1226329,BE100,622670,2021,603659
6664709,BE2,3362881,2021,3301828
1879318,BE21,945588,2021,933730
1062427,BE211,534939,2021,527488
348999,BE212,177302,2021,171697
467892,BE213,233347,2021,234545
883228,BE22,442777,2021,440451
205913,BE223,103184,2021,102729
423545,BE224,213434,2021,210111
253770,BE225,126159,2021,127611
1533876,BE23,775359,2021,758517
296259,BE231,150545,2021,145714
203110,BE232,103069,2021,100041
86756,BE233,43446,2021,43310
565571,BE234,285005,2021,280566
125095,BE235,63225,2021,61870
257085,BE236,130069,2021,127016
1163186,BE24,592105,2021,571081
649912,BE241,332663,2021,317249
513274,BE242,259442,2021,253832
1205101,BE25,607052,2021,598049
283590,BE251,143783,2021,139807
51800,BE252,25861,2021,25939
106751,BE253,53298,2021,53453
293593,BE254,148207,2021,145386
158320,BE255,80090,2021,78230
155190,BE256,77803,2021,77387
93847,BE257,46651,2021,47196
62010,BE258,31359,2021,30651
3663729,BE3,1868742,2021,1794987
408325,BE31,210026,2021,198299
408325,BE310,210026,2021,198299
1349861,BE32,691339,2021,658522
259351,BE323,133673,2021,125678
225286,BE328,114437,2021,110849
141689,BE329,72860,2021,68829
128732,BE32A,65629,2021,63103
397002,BE32B,204014,2021,192988
105737,BE32C,53961,2021,51776
92064,BE32D,46765,2021,45299
1113324,BE33,567195,2021,546129
114476,BE331,58207,2021,56269
627304,BE332,320553,2021,306751
82393,BE334,42156,2021,40237
210672,BE335,106904,2021,103768
78479,BE336,39375,2021,39104
291730,BE34,145872,2021,145858
64086,BE341,32044,2021,32042
50438,BE342,25026,2021,25412
57971,BE343,28864,2021,29107
64806,BE344,32420,2021,32386
54429,BE345,27518,2021,26911
500489,BE35,254310,2021,246179
113157,BE351,57130,2021,56027
319928,BE352,163255,2021,156673
67404,BE353,33925,2021,33479
6532117,BG,3389807,2021,3142310
3193226,BG3,1652514,2021,1540712
696328,BG31,358558,2021,337770
76166,BG311,39417,2021,36749
120978,BG312,62081,2021,58897
154009,BG313,78975,2021,75034
228051,BG314,117822,2021,110229
117124,BG315,60263,2021,56861
705241,BG32,366998,2021,338243
209158,BG321,108808,2021,100350
99061,BG322,52088,2021,46973
194978,BG323,101710,2021,93268
103632,BG324,53650,2021,49982
98412,BG325,50742,2021,47670
832326,BG33,430442,2021,401884
430784,BG331,223322,2021,207462
151085,BG332,78465,2021,72620
151948,BG333,78115,2021,73833
98509,BG334,50540,2021,47969
959331,BG34,496516,2021,462815
378405,BG341,196001,2021,182404
173110,BG342,89599,2021,83511
110264,BG343,56558,2021,53706
297552,BG344,154358,2021,143194
3338891,BG4,1737293,2021,1601598
2024977,BG41,1055448,2021,969529
1271214,BG411,667616,2021,603598
233785,BG412,119542,2021,114243
292149,BG413,150065,2021,142084
115045,BG414,59795,2021,55250
112784,BG415,58430,2021,54354
1313914,BG42,681845,2021,632069
633757,BG421,331640,2021,302117
212175,BG422,109839,2021,102336
230946,BG423,118699,2021,112247
97217,BG424,50505,2021,46712
139819,BG425,71162,2021,68657
10494836,CZ,5323934,2021,5170902
10494836,CZ0,5323934,2021,5170902
1259413,CZ01,646097,2021,613316
1259413,CZ010,646097,2021,613316
1372588,CZ02,694338,2021,678250
1372588,CZ020,694338,2021,678250
1212780,CZ03,612262,2021,600518
636422,CZ031,321434,2021,314988
576358,CZ032,290828,2021,285530
1086606,CZ04,549394,2021,537212
285020,CZ041,144149,2021,140871
801586,CZ042,405245,2021,396341
1496140,CZ05,756374,2021,739766
437522,CZ051,221560,2021,215962
544205,CZ052,275634,2021,268571
